"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Hue and cry over beef is not about right to choice of food but @_sabanaqvi ,@RahulGandhi and Co. from Kerala and We  ","2018-07-29 08:44:55","FALSE","0","0","-1","Food","Kerala","India",FALSE
"2","@UrbanSaadhu @ZCalcio Kerala food is great. Especially non-veg.","2018-07-29 08:33:04","FALSE","0","0","-1","Food","Kerala","India",FALSE
"3","RT @Homeofspices1: Kerala cashews from land of spices and nuts.  ","2018-07-29 08:17:54","TRUE","1","0","-1","Food","Kerala","India",FALSE
"4","Kerala cashews from land of spices and nuts.  ","2018-07-29 08:15:12","FALSE","1","2","0","Food","Kerala","India",FALSE
"5","RT @islaminind: Humanity First India volunteers distributing food, blankets and mats In the presence of Tahsildar Shankaran Namboodiri and","2018-07-29 08:10:48","TRUE","63","0","-1","Food","Kerala","India",FALSE
"6","RT @islaminind: Humanity First India volunteers distributing food, blankets and mats In the presence of Tahsildar Shankaran Namboodiri and","2018-07-29 07:50:12","TRUE","63","0","3","Food","Kerala","India",TRUE
"7","Please RT! recipes food Chicken Roast Recipe - Kerala Style Chicken Roast Recipe  ","2018-07-29 07:22:54","FALSE","0","1","1","Food","Kerala","India",FALSE
"8","New video by Food N Travel: Pazhankanji and Kizhi Biriyani |   | An Amazing Kerala Break  ","2018-07-29 07:03:27","FALSE","0","0","1","Food","Kerala","India",FALSE
"9","RT @recipe4cuisine: Please RT! recipes food Chukku Kaapi / Dry Ginger Coffee Kerala Style  ","2018-07-29 06:31:07","TRUE","1","0","0","Food","Kerala","India",FALSE
"10","Please RT! recipes food Chukku Kaapi / Dry Ginger Coffee Kerala Style  ","2018-07-29 05:42:49","FALSE","1","0","1","Food","Kerala","India",FALSE
"11","@hoseokfucker420 yo im in kerala and I've eaten the best mendu vada of my life is all of ur food this amazing?????","2018-07-29 05:32:57","FALSE","0","0","1","Food","Kerala","India",FALSE
"12","@ndcnn @OMRcat @DPrasanthNair @srinivasanravi @ramask Reminds me of Thai food. In fact, once you compare the food o  ","2018-07-29 04:48:44","FALSE","0","0","-2","Food","Kerala","India",FALSE
"13","@whimsydaisy @an_usa_bar Yes it is tasty in kerala mostly they use coco oil for food... Btw as for as ur FIL, few p  ","2018-07-29 03:40:24","FALSE","0","0","1","Food","Kerala","India",FALSE
"14","RT @RajewadicheRaje:          ...     ? @CMOMaharashtra @Dev_Fadn","2018-07-29 02:58:24","TRUE","1","0","0","Food","Kerala","India",FALSE
"15","Delicious Chicken Tikka  ","2018-07-29 02:13:03","FALSE","0","0","1","Food","Kerala","India",FALSE
"16","Delicious Chicken Tikka  ","2018-07-29 02:13:02","FALSE","0","0","1","Food","Kerala","India",TRUE
"17","RT @VORdotcom: It is news today that 8 men were arrested in Haryana for gang-raping a pregnant goat. I don't understand what exactly this c","2018-07-29 01:43:48","TRUE","3","0","0","Food","Kerala","India",FALSE
"18","         ...     ? @CMOMaharashtra  ","2018-07-29 01:08:50","FALSE","1","1","1","Food","Kerala","India",FALSE
"19","This dish is a traditional Kerala staple, found commonly in many homes and restaurants. India has been growing thi  ","2018-07-29 01:08:44","FALSE","0","0","1","Food","Kerala","India",FALSE
"20","RT @indiapicturesXL: RT @iRaviSoni: And the servings are ready. Dont be a eye candy be a soul food. kerala  ","2018-07-28 22:23:23","FALSE","0","0","0","Food","Kerala","India",FALSE
"21","Dhaba 15 will shake up the curry scene in Norwich by introducing Indian street food. From the chaotic streets of O  ","2018-07-28 19:42:37","FALSE","0","0","0","Food","Kerala","India",FALSE
"22","RT @anandraaj07: On landing at Keralathe feeling of real INDIA surrounded. Having delicious Indian vedic custom food Beef !","2018-07-28 19:24:57","TRUE","1","0","1","Food","Kerala","India",FALSE
"23","RT @godsonlymistake: If youre a Malayali, chances are, you have a great story about meeting interesting Mallus in some random corner of th","2018-07-28 17:50:34","TRUE","4","0","0","Food","Kerala","India",FALSE
"24","RT @godsonlymistake: If youre a Malayali, chances are, you have a great story about meeting interesting Mallus in some random corner of th","2018-07-28 17:49:25","TRUE","4","0","1","Food","Kerala","India",TRUE
"25","@mathrubhumi @ANI @doolnews Such variety makes sense! Large scope for food processing industry? Minister Madame Kau  ","2018-07-28 17:37:55","FALSE","0","0","0","Food","Kerala","India",FALSE
"26","BunBiriyani Bun Biriyani lunch food foodporn kochi Kerala india oneplus instafood kalamassery  ","2018-07-28 17:13:49","FALSE","0","0","0","Food","Kerala","India",FALSE
"27","Please RT! recipes food dessert Unni Appam - Kerala  onam sadya recipe - Kerala Unni Appam  ","2018-07-28 16:21:45","FALSE","0","0","1","Food","Kerala","India",FALSE
"28","On landing at Keralathe feeling of real INDIA surrounded. Having delicious Indian vedic custom food Beef !","2018-07-28 16:21:03","FALSE","1","1","1","Food","Kerala","India",FALSE
"29","RT @Shameem_dhanush: Our DHANUSH FANS  KENATHPARAMBU UNIT PALAKKAD , KERALA  we will be donating Food To Road Side Beggers as Part of th","2018-07-28 15:55:36","TRUE","15","0","1","Food","Kerala","India",FALSE
"30","    .  ","2018-07-28 13:26:03","FALSE","0","0","1","Food","Kerala","India",FALSE
"31","RT @AnthonyAThomas: Good! The entire school administration and PTA leaders should be mandated to have lunch with the students daily. That w","2018-07-28 13:14:04","TRUE","1","0","1","Food","Kerala","India",FALSE
"32","RT @PeninsulaQatar: Food Control Committee lifts the ban on fruits, vegetable import from Kerala
Qatar India Fruits vegetables 

 ","2018-07-28 13:01:47","TRUE","1","0","0","Food","Kerala","India",FALSE
"33","Food Control Committee lifts the ban on fruits, vegetable import from Kerala
Qatar India Fruits vegetables 

 ","2018-07-28 12:58:41","FALSE","1","1","0","Food","Kerala","India",FALSE
"34","I always seem to be posting prawn curries.  That is because thats what people who come over to my home want to eat  ","2018-07-28 12:36:12","FALSE","0","0","0","Food","Kerala","India",FALSE
"35","@MrNeilB @AutoPap Shulgum is devils food. Kerala with a nice masala stuffing is food from the Gods!","2018-07-28 11:40:04","FALSE","0","1","0","Food","Kerala","India",FALSE
"36","RT @shabeebrehman_c: Chelari India ig_india insta_india Kerala people portrait restaurant group food  ","2018-07-28 10:35:44","FALSE","0","0","1","Food","Kerala","India",FALSE
"37","An easy way to make Onam special Palada Payasam. Try it at home.
 ","2018-07-28 10:26:22","FALSE","0","1","0","Food","Kerala","India",FALSE
"38","RT @iRaviSoni: And the servings are ready. Dont be a eye candy be a soul food. kerala food foodgasm sapada  ","2018-07-28 10:23:31","FALSE","0","2","-2","Food","Kerala","India",FALSE
"39","And the servings are ready. Dont be a eye candy be a soul food. kerala food foodgasm sapada keralafood  ","2018-07-28 09:59:23","FALSE","0","3","0","Food","Kerala","India",FALSE
"40","Chelari India ig_india insta_india Kerala people portrait restaurant group food foodporn foodie  ","2018-07-28 09:20:26","FALSE","0","0","0","Food","Kerala","India",FALSE
"41","Kerala Banana Chips Recipe | Plantain Chips | MUMBAI STREET FOOD | 4K VIDEO street food  ","2018-07-28 09:18:01","FALSE","0","1","0","Food","Kerala","India",FALSE
"42","RT @Shameem_dhanush: Our DHANUSH FANS  KENATHPARAMBU UNIT PALAKKAD , KERALA  we will be donating Food To Road Side Beggers as Part of th","2018-07-28 06:11:00","TRUE","15","0","0","Food","Kerala","India",TRUE
"43","@PiyushGoyal Imposing GST on Fast food hotels are not implemented properly as far as i know in kerala. I felt like  ","2018-07-28 05:59:43","FALSE","0","0","0","Food","Kerala","India",FALSE
"44","Everyone in Kerala is waiting for Onam. To make a perfect Onam sadya you should know how to make Palada Payasam.  ","2018-07-28 05:40:31","FALSE","0","1","-1","Food","Kerala","India",FALSE
"45","Kuttanad,Rice bowl of Kerala isolated by flood. People who hardworking for our food are suffering for water, food,  ","2018-07-28 05:10:25","FALSE","0","0","0","Food","Kerala","India",FALSE
"46","girls fuck with food pubescent movies fucking girls with hiv xxx girl girl movie sample sex teen kerala   ","2018-07-28 05:04:49","FALSE","0","0","0","Food","Kerala","India",FALSE
"47","arayalresort night view infinity pool fishing wayanad hangingbridge travelblogger archery banasuradam  ","2018-07-28 05:02:39","FALSE","0","2","0","Food","Kerala","India",FALSE
"48",".@themanjuwarrier was at the relief camps recently and distributed food and clothing to the flood-stricken people i  ","2018-07-28 04:47:42","FALSE","0","9","0","Food","Kerala","India",FALSE
"49","RT @PartyVillage017: This is Kerala
Not ready to eat with Dalits at relief camp says Xians  
Govt immediately opens a 'Xian only' relief","2018-07-28 04:13:30","TRUE","1426","0","0","Food","Kerala","India",FALSE
"50","RT @Shameem_dhanush: Our DHANUSH FANS  KENATHPARAMBU UNIT PALAKKAD , KERALA  we will be donating Food To Road Side Beggers as Part of th","2018-07-28 03:06:27","TRUE","15","0","0","Food","Kerala","India",TRUE
"51","RT @Shameem_dhanush: Our DHANUSH FANS  KENATHPARAMBU UNIT PALAKKAD , KERALA  we will be donating Food To Road Side Beggers as Part of th","2018-07-28 02:31:17","TRUE","15","0","0","Food","Kerala","India",TRUE
"52","...and good food. Love India Kerala  ","2018-07-28 02:21:47","FALSE","0","0","1","Food","Kerala","India",FALSE
"53","RT @Shameem_dhanush: Our DHANUSH FANS  KENATHPARAMBU UNIT PALAKKAD , KERALA  we will be donating Food To Road Side Beggers as Part of th","2018-07-28 02:04:48","TRUE","15","0","1","Food","Kerala","India",TRUE
"54","RT @bestrecipesclub: Please RT! recipes food dessert Village Style Squid Curry Recipe - Kerala Style Kanava Kuzhambu Recipe  ","2018-07-28 01:16:02","TRUE","4","0","1","Food","Kerala","India",FALSE
