"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","boys nude monster energy girl porno kerala girls naked thump photos naked tennis chicks free sex doctor   ","2018-07-29 09:11:31","FALSE","0","0","-1","Health Care","Kerala","India",FALSE
"2","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-29 09:04:57","TRUE","94","0","-1","Health Care","Kerala","India",FALSE
"3","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-29 07:59:24","TRUE","94","0","-1","Health Care","Kerala","India",TRUE
"4","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-29 03:31:53","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"5","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-29 03:23:46","TRUE","94","0","-1","Health Care","Kerala","India",TRUE
"6","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-29 01:44:25","TRUE","94","0","3","Health Care","Kerala","India",TRUE
"7","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-29 00:25:44","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"8","doctor you porn strapon girl skiing xxx kerala sexy girls pics nude russian women photos parvo virus in   ","2018-07-29 00:01:38","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"9","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 22:29:03","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"10","Kerala's noted oncologist (Specialist Doctor in cancer) and Dr. P.V. Gangadharan, who is fondly referred to as Sai  ","2018-07-28 19:27:39","FALSE","0","0","1","Health Care","Kerala","India",FALSE
"11","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 19:16:38","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"12","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 18:40:40","TRUE","94","0","-2","Health Care","Kerala","India",TRUE
"13","RT @JimmyRehman: @y_postandspread @Bramha13745258 @SweetPoison2000 @MikeIndus @UKNirvana69 @Twomoons20 @Gurmeetk2020 @Nailart54815771 @sikh","2018-07-28 17:58:41","TRUE","1","0","1","Health Care","Kerala","India",FALSE
"14","@y_postandspread @Bramha13745258 @SweetPoison2000 @MikeIndus @UKNirvana69 @Twomoons20 @Gurmeetk2020  ","2018-07-28 17:57:45","FALSE","1","1","0","Health Care","Kerala","India",FALSE
"15","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 17:21:12","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"16","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 16:44:23","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"17","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 16:29:42","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"18","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 16:08:46","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"19","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 16:07:59","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"20","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 16:07:28","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"21","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 15:31:09","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"22","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 14:30:00","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"23","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 14:18:59","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"24","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 13:40:04","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"25","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 13:37:25","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"26","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 13:32:54","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"27","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 13:30:34","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"28","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 13:29:31","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"29","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 13:27:02","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"30","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 13:23:20","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"31","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:57:18","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"32","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:53:24","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"33","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:47:33","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"34","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:44:45","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"35","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:27:30","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"36","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:23:11","TRUE","94","0","1","Health Care","Kerala","India",TRUE
"37","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:19:19","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"38","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:18:38","TRUE","94","0","-2","Health Care","Kerala","India",TRUE
"39","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:14:39","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"40","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:07:00","TRUE","94","0","0","Health Care","Kerala","India",TRUE
"41","RT @prasannavishy: Disgusting.  Dr Hande is the kindest man that one can meet. A doctor who did great public service. Despite being a Kanna","2018-07-28 12:06:31","TRUE","94","0","0","Health Care","Kerala","India",TRUE
