"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 09:09:35","TRUE","50","0","-1","Transportation","Kerala","India",FALSE
"2","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 07:55:29","TRUE","50","0","-1","Transportation","Kerala","India",TRUE
"3","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 07:44:46","TRUE","50","0","-1","Transportation","Kerala","India",TRUE
"4","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 07:40:20","TRUE","50","0","0","Transportation","Kerala","India",TRUE
"5","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 07:35:17","TRUE","50","0","-1","Transportation","Kerala","India",TRUE
"6","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 07:21:35","TRUE","50","0","3","Transportation","Kerala","India",TRUE
"7","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 07:04:16","TRUE","50","0","1","Transportation","Kerala","India",TRUE
"8","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 06:34:26","TRUE","50","0","1","Transportation","Kerala","India",TRUE
"9","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 06:28:16","TRUE","50","0","0","Transportation","Kerala","India",TRUE
"10","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 05:48:16","TRUE","50","0","1","Transportation","Kerala","India",TRUE
"11","RT @SaffronKerala: 2) They own over 150 websites of a high traffic value and are earning millions. This money belongs to Hindus.  The evang","2018-07-29 05:42:35","TRUE","50","0","1","Transportation","Kerala","India",TRUE
