"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @docdiablo23: @karthin800 @PiyushGoyalOffc @DrmSolapur @BhusavalDivn @Central_Railway Unfortunately, this train doesn't get much attenti","2018-07-29 08:46:14","TRUE","3","0","-1","Transportation","Kerala","India",FALSE
"2","@KARailway @SWRRLY Please separate mangalore from Palghat division. Link with @KonkanRailway or @SWRRLY Hubli. Four  ","2018-07-29 07:00:17","FALSE","0","1","-1","Transportation","Kerala","India",FALSE
"3","@vasantshetty81 Please separate mangalore from Palghat division. Link with @KonkanRailway or @SWRRLY Hubli. Four tr  ","2018-07-29 06:52:43","FALSE","0","0","-1","Transportation","Kerala","India",FALSE
"4","@jka66 Unequivocally support you. An additional train connectivity is long overdue. Very happy to meet you.I too vi  ","2018-07-29 06:05:49","FALSE","0","0","0","Transportation","Kerala","India",FALSE
"5","RT @docdiablo23: @karthin800 @PiyushGoyalOffc @DrmSolapur @BhusavalDivn @Central_Railway Unfortunately, this train doesn't get much attenti","2018-07-28 23:36:51","TRUE","3","0","-1","Transportation","Kerala","India",TRUE
"6","RT @docdiablo23: @karthin800 @PiyushGoyalOffc @DrmSolapur @BhusavalDivn @Central_Railway Unfortunately, this train doesn't get much attenti","2018-07-28 16:57:55","TRUE","3","0","3","Transportation","Kerala","India",TRUE
"7","@karthin800 @PiyushGoyalOffc @DrmSolapur @BhusavalDivn @Central_Railway Unfortunately, this train doesn't get much  ","2018-07-28 16:35:26","FALSE","3","3","1","Transportation","Kerala","India",FALSE
"8","Train railway station india  Kasaragod, Kerala, India  ","2018-07-28 14:03:44","FALSE","0","0","1","Transportation","Kerala","India",FALSE
"9","@KTRTRS Good one now Telangana joined the list of other states with Rajasthan, Kerala, Karnataka, Mysuru, Bihar, P  ","2018-07-28 14:01:47","FALSE","0","0","0","Transportation","Kerala","India",FALSE
"10","@vinodboianpalli @trspartyonline @PMOIndia @TelanganaCMO @KTRTRS Good one now Telangana joined the list of other s  ","2018-07-28 14:00:10","FALSE","0","1","1","Transportation","Kerala","India",FALSE
"11","@RailMinIndia y the trains are getting late in Kerala.I am right in in Ernakulam junction more than an hour in 1335  ","2018-07-28 13:36:45","FALSE","0","1","1","Transportation","Kerala","India",FALSE
"12","RT @dharo: There's a lost or abandoned pet dog currently in a CST bound fast train. He looks really scared and fellow commuters tell me he","2018-07-28 08:46:38","TRUE","295","0","-2","Transportation","Kerala","India",FALSE
"13","RT @kohilankodai: @sivamohan1917 @PollachiJ @SPVelumanicbe @VanathiBJP @TNRA_RailNews @Railuser1 @HRajaBJP What happened to MG train restor","2018-07-28 07:52:12","TRUE","1","0","1","Transportation","Kerala","India",FALSE
"14","@sivamohan1917 @PollachiJ @SPVelumanicbe @VanathiBJP @TNRA_RailNews @Railuser1 @HRajaBJP What happened to MG train  ","2018-07-28 07:48:04","FALSE","1","2","0","Transportation","Kerala","India",FALSE
"15","CAPE JP Weekly Express via Konkan proposed by NWR infront of IRTTM.
This Is the only train proposed by NWR to Keral  ","2018-07-28 05:55:36","FALSE","0","0","1","Transportation","Kerala","India",FALSE
"16","RT @Indianrlyinfo: Train services between Ernakulam Junction, Cochin Harbour Terminus to start soon.
 ","2018-07-28 05:48:49","TRUE","3","0","1","Transportation","Kerala","India",FALSE
"17","RT @Indianrlyinfo: Train services between Ernakulam Junction, Cochin Harbour Terminus to start soon.
 ","2018-07-28 05:01:47","TRUE","3","0","0","Transportation","Kerala","India",TRUE
"18","RT @Indianrlyinfo: Train services between Ernakulam Junction, Cochin Harbour Terminus to start soon.
 ","2018-07-28 01:42:00","TRUE","3","0","1","Transportation","Kerala","India",TRUE
