"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","MP Vyapam Recruitment 2018  548 Sub Engineer, Cartographer Posts | Apply Online

Organization Name: Madhya Pradesh  ","2018-07-28 14:17:54","FALSE","0","0","-1","Employment","Madhya Pradesh","India",FALSE
"2"," :                  ","2018-07-27 17:21:09","FALSE","0","0","-1","Employment","Madhya Pradesh","India",FALSE
"3","MPRRDA DEO Recruitment 2018 Madhya Pradesh Rural Road Development Authority Vacancies Notification @  ","2018-07-27 09:26:53","FALSE","0","0","-1","Employment","Madhya Pradesh","India",FALSE
"4","Madhya Pradesh PKVVCL Junior Engineer Trainee Recruitment 2018  12 MPPKVVCL Jr Engineer Trainee Posts @  ","2018-07-27 06:35:58","FALSE","0","0","0","Employment","Madhya Pradesh","India",FALSE
"5","@ChouhanShivraj sir, minister ki wife Ko job aur humko lollipop 
We don't want marry we want employment in Madhya  ","2018-07-26 13:31:01","FALSE","0","0","-1","Employment","Madhya Pradesh","India",FALSE
"6","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-25 17:58:57","TRUE","187","0","3","Employment","Madhya Pradesh","India",FALSE
"7","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-24 20:30:04","TRUE","187","0","1","Employment","Madhya Pradesh","India",TRUE
"8","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-24 15:23:54","TRUE","187","0","1","Employment","Madhya Pradesh","India",TRUE
"9","MPPEB Sub Engineer Recruitment 2018 | Madhya Pradesh Professional Examination Board (MPPEB) Recruitment 2018 for Va  ","2018-07-24 13:32:45","FALSE","0","0","0","Employment","Madhya Pradesh","India",FALSE
"10","MPPEB Sub Engineer Recruitment 2018 | Madhya Pradesh Professional Examination Board (MPPEB) Recruitment 2018 for Va  ","2018-07-24 13:32:41","FALSE","0","0","1","Employment","Madhya Pradesh","India",TRUE
"11","MPPEB Sub Engineer Recruitment 2018 | Madhya Pradesh Professional Examination Board (MPPEB) Recruitment 2018 for Va  ","2018-07-24 13:32:30","FALSE","0","0","1","Employment","Madhya Pradesh","India",TRUE
"12","RT @mygovindia: A member of a Self Help Group from Barwani, Madhya Pradesh, shares how Rural Self Employment Training Institute has made he","2018-07-24 06:02:37","TRUE","40","0","-2","Employment","Madhya Pradesh","India",FALSE
"13","3 Sub Engineer Vacancies in Madhya Pradesh Govt -  ","2018-07-24 04:52:57","FALSE","0","0","1","Employment","Madhya Pradesh","India",FALSE
"14","RT @rsprasad: VLE Deepak from Panna, Madhya Pradesh runs his own CSC Centre and is providing various Govt Services to the people in his are","2018-07-24 04:43:48","TRUE","112","0","0","Employment","Madhya Pradesh","India",FALSE
"15","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-23 13:52:53","TRUE","187","0","1","Employment","Madhya Pradesh","India",TRUE
"16","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-23 10:18:45","TRUE","187","0","1","Employment","Madhya Pradesh","India",TRUE
"17","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-23 06:55:19","TRUE","187","0","0","Employment","Madhya Pradesh","India",TRUE
"18","RT @rsprasad: VLE Deepak from Panna, Madhya Pradesh runs his own CSC Centre and is providing various Govt Services to the people in his are","2018-07-23 06:12:15","TRUE","112","0","1","Employment","Madhya Pradesh","India",TRUE
"19","RT @rsprasad: VLE Deepak from Panna, Madhya Pradesh runs his own CSC Centre and is providing various Govt Services to the people in his are","2018-07-23 04:27:47","TRUE","112","0","1","Employment","Madhya Pradesh","India",TRUE
"20","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-23 01:34:24","TRUE","187","0","0","Employment","Madhya Pradesh","India",TRUE
"21","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-22 22:03:59","TRUE","187","0","0","Employment","Madhya Pradesh","India",TRUE
"22","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-22 21:19:25","TRUE","187","0","1","Employment","Madhya Pradesh","India",TRUE
"23","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-22 17:36:27","TRUE","187","0","0","Employment","Madhya Pradesh","India",TRUE
"24","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-22 16:59:05","TRUE","187","0","1","Employment","Madhya Pradesh","India",TRUE
"25","RT @DaaruBaazMehta: MUST WATCH

AAP Madhya Pradesh Convener and AAP's CM Candidate for upcoming MP elections @iAlokAgarwal talks about the","2018-07-22 16:42:41","TRUE","187","0","0","Employment","Madhya Pradesh","India",TRUE
