"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","MadhyaPradesh Chhattisgarh ""MP:  1        ,     
 ","2018-07-29 07:05:26","FALSE","0","0","-1","Health Care","Madhya Pradesh","India",FALSE
"2","RT @AbhaySingh_Inc:  177                    5   ","2018-07-28 16:29:23","TRUE","8","0","-1","Health Care","Madhya Pradesh","India",FALSE
"3","MP:  1        ,     
 ","2018-07-28 09:59:40","FALSE","0","3","-1","Health Care","Madhya Pradesh","India",FALSE
"4","RT @Bhupesh_Baghel:   ...                 ?

 ","2018-07-27 23:40:35","TRUE","155","0","0","Health Care","Madhya Pradesh","India",FALSE
"5","RT @Bhupesh_Baghel:   ...                 ?

 ","2018-07-26 19:31:16","TRUE","155","0","-1","Health Care","Madhya Pradesh","India",TRUE
"6","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 10:48:28","TRUE","20","0","3","Health Care","Madhya Pradesh","India",FALSE
"7","@sambitswaraj @anjanaomkashyap Patra ji is this the Vikas model of development in Madhya Pradesh after 15 yrs of Bh  ","2018-07-26 10:17:27","FALSE","0","0","1","Health Care","Madhya Pradesh","India",FALSE
"8","      ,      .  ","2018-07-26 08:30:02","FALSE","0","1","1","Health Care","Madhya Pradesh","India",FALSE
"9","RT @nc24x7:       ,     

Read:  ","2018-07-26 07:58:42","TRUE","2","0","0","Health Care","Madhya Pradesh","India",FALSE
"10","RT @nc24x7:       ,     

Read:  ","2018-07-26 07:42:59","TRUE","2","0","1","Health Care","Madhya Pradesh","India",TRUE
"11","      ,     

Read:  ","2018-07-26 07:42:14","FALSE","2","3","1","Health Care","Madhya Pradesh","India",FALSE
"12","No Ambulance, Pregnant Woman Carried On Cot Through Flooded Streets  ","2018-07-26 07:30:07","FALSE","0","0","-2","Health Care","Madhya Pradesh","India",FALSE
"13","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 07:08:14","TRUE","20","0","1","Health Care","Madhya Pradesh","India",TRUE
"14","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 05:29:00","TRUE","20","0","0","Health Care","Madhya Pradesh","India",TRUE
"15","No Ambulance, Pregnant Woman Carried On Cot Through Flooded Streets - NDTV  ","2018-07-26 04:57:18","FALSE","0","0","1","Health Care","Madhya Pradesh","India",FALSE
"16","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:49:59","TRUE","20","0","1","Health Care","Madhya Pradesh","India",TRUE
"17","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:41:20","TRUE","20","0","0","Health Care","Madhya Pradesh","India",TRUE
"18","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:38:57","TRUE","20","0","1","Health Care","Madhya Pradesh","India",TRUE
"19","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:38:06","TRUE","20","0","1","Health Care","Madhya Pradesh","India",TRUE
"20","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:32:37","TRUE","20","0","0","Health Care","Madhya Pradesh","India",TRUE
"21","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:32:13","TRUE","20","0","0","Health Care","Madhya Pradesh","India",TRUE
"22","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:30:47","TRUE","20","0","1","Health Care","Madhya Pradesh","India",TRUE
"23","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:30:41","TRUE","20","0","0","Health Care","Madhya Pradesh","India",TRUE
"24","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:29:14","TRUE","20","0","1","Health Care","Madhya Pradesh","India",TRUE
"25","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:29:04","TRUE","20","0","0","Health Care","Madhya Pradesh","India",TRUE
"26","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:28:24","TRUE","20","0","0","Health Care","Madhya Pradesh","India",TRUE
"27","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:28:07","TRUE","20","0","1","Health Care","Madhya Pradesh","India",TRUE
"28","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:27:46","TRUE","20","0","1","Health Care","Madhya Pradesh","India",TRUE
"29","RT @ndtv: No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:27:16","TRUE","20","0","1","Health Care","Madhya Pradesh","India",TRUE
"30","No ambulance, pregnant woman carried on cot through flooded streets  ","2018-07-26 04:26:45","FALSE","20","46","1","Health Care","Madhya Pradesh","India",FALSE
"31","RT @Bhupesh_Baghel:   ...                 ?

 ","2018-07-25 19:00:57","TRUE","155","0","1","Health Care","Madhya Pradesh","India",TRUE
"32","RT @rkmarar9: Madhya Pradesh: No Ambulance Came, Body Of Class 12 Boy Carried on Handcart To Hospital via @nc24x7  ","2018-07-25 15:48:08","TRUE","1","0","0","Health Care","Madhya Pradesh","India",FALSE
"33","Madhya Pradesh: No Ambulance Came, Body Of Class 12 Boy Carried on Handcart To Hospital via @nc24x7  ","2018-07-25 15:44:43","FALSE","1","1","0","Health Care","Madhya Pradesh","India",FALSE
"34","RT @Bhupesh_Baghel:   ...                 ?

 ","2018-07-25 14:50:22","TRUE","155","0","0","Health Care","Madhya Pradesh","India",TRUE
"35","RT @ZeeMPCG: MP:     ,             ","2018-07-25 07:50:36","TRUE","2","0","0","Health Care","Madhya Pradesh","India",FALSE
