"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ReporterRavish: MadhyaPradesh :              @rahulkanwal
 ","2018-07-27 14:25:55","TRUE","6","0","-1","Transportation","Madhya Pradesh","India",FALSE
"2","RT @ReporterRavish: MadhyaPradesh :              @rahulkanwal
 ","2018-07-27 05:24:11","TRUE","6","0","-1","Transportation","Madhya Pradesh","India",TRUE
"3","RT @ReporterRavish: MadhyaPradesh :              @rahulkanwal
 ","2018-07-27 02:48:26","TRUE","6","0","-1","Transportation","Madhya Pradesh","India",TRUE
"4","RT @aajtak:                     ","2018-07-26 19:40:17","TRUE","16","0","0","Transportation","Madhya Pradesh","India",FALSE
"5","RT @aajtak:                     ","2018-07-26 18:07:20","TRUE","16","0","-1","Transportation","Madhya Pradesh","India",TRUE
"6","RT @aajtak:                     ","2018-07-26 17:03:55","TRUE","16","0","3","Transportation","Madhya Pradesh","India",TRUE
"7","RT @aajtak:                     ","2018-07-26 16:55:53","TRUE","16","0","1","Transportation","Madhya Pradesh","India",TRUE
"8","Indorepolice
@hariips
@DGP_MP
@IndoreWestSp
@mpcyberpolice
            ","2018-07-26 16:44:53","FALSE","0","0","1","Transportation","Madhya Pradesh","India",FALSE
"9","RT @aajtak:                     ","2018-07-26 16:38:17","TRUE","16","0","0","Transportation","Madhya Pradesh","India",TRUE
"10","        
 ","2018-07-26 16:37:38","FALSE","0","1","1","Transportation","Madhya Pradesh","India",FALSE
"11","RT @aajtak:                     ","2018-07-26 16:37:25","TRUE","16","0","1","Transportation","Madhya Pradesh","India",TRUE
"12","RT @aajtak:                     ","2018-07-26 16:34:52","TRUE","16","0","-2","Transportation","Madhya Pradesh","India",TRUE
"13","RT @aajtak:                     ","2018-07-26 16:34:03","TRUE","16","0","1","Transportation","Madhya Pradesh","India",TRUE
"14","RT @aajtak:                     ","2018-07-26 16:33:50","TRUE","16","0","0","Transportation","Madhya Pradesh","India",TRUE
"15","RT @aajtak:                     ","2018-07-26 16:32:19","TRUE","16","0","1","Transportation","Madhya Pradesh","India",TRUE
"16","RT @aajtak:                     ","2018-07-26 16:28:54","TRUE","16","0","1","Transportation","Madhya Pradesh","India",TRUE
"17","RT @aajtak:                     ","2018-07-26 16:25:27","TRUE","16","0","0","Transportation","Madhya Pradesh","India",TRUE
"18","RT @aajtak:                     ","2018-07-26 16:25:20","TRUE","16","0","1","Transportation","Madhya Pradesh","India",TRUE
"19","RT @aajtak:                     ","2018-07-26 16:24:30","TRUE","16","0","1","Transportation","Madhya Pradesh","India",TRUE
"20","RT @aajtak:                     ","2018-07-26 16:23:46","TRUE","16","0","0","Transportation","Madhya Pradesh","India",TRUE
"21","                    ","2018-07-26 16:23:35","FALSE","16","130","0","Transportation","Madhya Pradesh","India",FALSE
"22","RT @ReporterRavish: MadhyaPradesh :              @rahulkanwal
 ","2018-07-26 16:11:15","TRUE","6","0","1","Transportation","Madhya Pradesh","India",TRUE
"23","RT @ReporterRavish: MadhyaPradesh :              @rahulkanwal
 ","2018-07-26 16:05:24","TRUE","6","0","0","Transportation","Madhya Pradesh","India",TRUE
"24","MadhyaPradesh :              @rahulkanwal
 ","2018-07-26 15:45:14","FALSE","6","32","1","Transportation","Madhya Pradesh","India",FALSE
"25","         
 ","2018-07-25 03:09:13","FALSE","0","0","0","Transportation","Madhya Pradesh","India",FALSE
"26","RT @MirrorNow: While one of the accused is a traffic cop, the other is deployed at the Bhopal police control room

 ","2018-07-24 19:47:46","TRUE","3","0","0","Transportation","Madhya Pradesh","India",FALSE
"27","@reliancejio @JioCare sir hamare yaha traffic jyada h is liye net hamesha slow chalta h kai Baar complen ki par kuc  ","2018-07-24 17:50:20","FALSE","0","0","1","Transportation","Madhya Pradesh","India",FALSE
"28","RT @MirrorNow: While one of the accused is a traffic cop, the other is deployed at the Bhopal police control room

 ","2018-07-24 14:28:22","TRUE","3","0","1","Transportation","Madhya Pradesh","India",TRUE
"29","While one of the accused is a traffic cop, the other is deployed at the Bhopal police control room

 ","2018-07-24 14:21:01","FALSE","3","3","1","Transportation","Madhya Pradesh","India",FALSE
"30","-   ,       ChhotaUdaipur Highway Traffic  ","2018-07-23 09:45:04","FALSE","0","0","1","Transportation","Madhya Pradesh","India",FALSE
"31","RT @ReporterRavish: MadhyaPradesh :              @rahulkanwal
 ","2018-07-27 14:25:55","TRUE","6","0","1","Transportation","Madhya Pradesh","India",TRUE
"32","RT @ReporterRavish: MadhyaPradesh :              @rahulkanwal
 ","2018-07-27 05:24:11","TRUE","6","0","0","Transportation","Madhya Pradesh","India",TRUE
