"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @rajshekhar0003: @RailMinIndia @PiyushGoyal @PiyushGoyalOffc @PMOIndia 
RRB ALP Techanician exam 2018
From GAYA Bihar
Exam city Centre :","2018-07-29 10:09:43","TRUE","1","0","-1","Transportation","Madhya Pradesh","India",FALSE
"2","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-29 09:22:39","TRUE","382","0","-1","Transportation","Madhya Pradesh","India",FALSE
"3","@PiyushGoyal Kaisi problem utpann ho gyi h jo bihar se madhya Pradesh exam centre ; kis udesy se rakha gya hh .
Na  ","2018-07-29 07:41:46","FALSE","0","1","-1","Transportation","Madhya Pradesh","India",FALSE
"4","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-29 07:36:00","TRUE","382","0","0","Transportation","Madhya Pradesh","India",TRUE
"5","@PiyushGoyal 
Plz Change Examination Centre
My Home Town Patna (Bihar) But My Examination Centre Is Indore (Madhya  ","2018-07-29 07:09:08","FALSE","0","0","-1","Transportation","Madhya Pradesh","India",FALSE
"6","Sir mai Madhepura BIHAR se hu. Mera ALP ka centre Indore, Madhya Pradesh diya gaya hai. Train k paise nahi hai.Kais  ","2018-07-29 03:30:29","FALSE","0","0","3","Transportation","Madhya Pradesh","India",FALSE
"7","@RailMinIndia @PiyushGoyal @PiyushGoyalOffc @PMOIndia 
RRB ALP Techanician exam 2018
From GAYA Bihar
Exam city Cent  ","2018-07-28 18:34:19","FALSE","1","0","1","Transportation","Madhya Pradesh","India",FALSE
"8","@narendramodi Modi sir mai ek bihar ka student hu  ,mera alp ka center madhya  pradesh de diya gya hai , jo ghar se  ","2018-07-28 14:35:33","FALSE","0","0","1","Transportation","Madhya Pradesh","India",FALSE
"9","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-28 14:19:00","TRUE","382","0","0","Transportation","Madhya Pradesh","India",TRUE
"10","RT @Misikkumar: @PiyushGoyal my dear rail minister sir ji ,i'm from sheikhpura bihar , my railway ALP TECHNICIAN test center is bhopal madh","2018-07-28 13:50:27","TRUE","2","0","1","Transportation","Madhya Pradesh","India",FALSE
"11","RT @Misikkumar: @PiyushGoyal my dear rail minister sir ji ,i'm from sheikhpura bihar , my railway ALP TECHNICIAN test center is bhopal madh","2018-07-28 12:56:45","TRUE","2","0","1","Transportation","Madhya Pradesh","India",TRUE
"12","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-28 11:49:44","TRUE","382","0","-2","Transportation","Madhya Pradesh","India",TRUE
"13","@PiyushGoyal my dear rail minister sir ji ,i'm from sheikhpura bihar , my railway ALP TECHNICIAN test center is bho  ","2018-07-28 05:38:10","FALSE","2","10","1","Transportation","Madhya Pradesh","India",FALSE
"14","@PiyushGoyal 
Hello sir 
          Hm Bihar se hai or Hamra centre Bhopal Madhya Pradesh diya gya hai train Mai tic  ","2018-07-28 04:14:20","FALSE","0","0","0","Transportation","Madhya Pradesh","India",FALSE
"15","@PiyushGoyal    sir mera ""ALP"" k exam centre indor madhya pradesh de diya h.or mera ghar bihar me patna hai.indor j  ","2018-07-27 20:02:29","FALSE","0","0","1","Transportation","Madhya Pradesh","India",FALSE
"16","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-27 15:28:31","TRUE","382","0","1","Transportation","Madhya Pradesh","India",TRUE
"17","@PiyushGoyal @PiyushGoyal Sir, I've my exam of Railway on 17 August at Sagour, Madhya Pradesh. Irony is that only o  ","2018-07-27 11:21:28","FALSE","0","2","0","Transportation","Madhya Pradesh","India",FALSE
"18","@PiyushGoyal @PiyushGoyal Sir, I've my exam of Railway on 17 August at Sagar, Madhya Pradesh. Irony is that only on  ","2018-07-27 02:17:27","FALSE","0","0","1","Transportation","Madhya Pradesh","India",FALSE
"19","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-26 17:15:59","TRUE","382","0","1","Transportation","Madhya Pradesh","India",TRUE
"20","@PiyushGoyal Train no 12190 mahakoshal exp. All the Sleeper -1 full of without ticket passenger , creating adverse  ","2018-07-26 16:25:58","FALSE","0","0","0","Transportation","Madhya Pradesh","India",FALSE
"21","@PiyushGoyal @PiyushGoyal Sir, I've my exam of Railway on 17 August at Sagour, Madhya Pradesh. Irony is that only o  ","2018-07-26 16:21:47","FALSE","0","0","0","Transportation","Madhya Pradesh","India",TRUE
"22","@PiyushGoyal @PiyushGoyal Sir, I've my exam of Railway on 17 August at Sagour, Madhya Pradesh. Irony is that only o  ","2018-07-26 14:24:06","FALSE","0","0","1","Transportation","Madhya Pradesh","India",TRUE
"23","@RailMinIndia, I've my exam on 17 Aug at Sagour, Madhya Pradesh. Irony is that only one train 13423 is running from  ","2018-07-26 12:10:25","FALSE","0","0","0","Transportation","Madhya Pradesh","India",FALSE
"24","@PiyushGoyalOffc Sir, Sir, I've my exam of Technician on 17 August at Sagour, Madhya Pradesh. Irony is that only on  ","2018-07-26 12:05:16","FALSE","0","0","1","Transportation","Madhya Pradesh","India",FALSE
"25","@PiyushGoyal Sir, I've my exam of Railway on 17 August at Sagour, Madhya Pradesh. Irony is that only one train 1342  ","2018-07-26 11:55:32","FALSE","0","0","0","Transportation","Madhya Pradesh","India",FALSE
"26","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-26 10:48:33","TRUE","382","0","0","Transportation","Madhya Pradesh","India",TRUE
"27","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-26 08:30:37","TRUE","382","0","1","Transportation","Madhya Pradesh","India",TRUE
"28","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-26 02:05:08","TRUE","382","0","1","Transportation","Madhya Pradesh","India",TRUE
"29","In an Election Year Ministers PiyushGoyal RakeshSinha sleeping Zzzzzzzzz....

 ","2018-07-25 19:29:22","FALSE","0","0","1","Transportation","Madhya Pradesh","India",FALSE
"30","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-25 17:12:15","TRUE","382","0","1","Transportation","Madhya Pradesh","India",TRUE
"31","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-25 16:26:05","TRUE","382","0","1","Transportation","Madhya Pradesh","India",TRUE
"32","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-25 16:26:02","TRUE","382","0","0","Transportation","Madhya Pradesh","India",TRUE
"33","Kids on their way to Bullet Train (a scene from Madhya Pradesh) 
bjpgovtfail BJP___  ","2018-07-25 15:26:46","FALSE","0","0","0","Transportation","Madhya Pradesh","India",FALSE
"34","RT @IndiaToday: The unidentified miscreants robbed cash, jewellery worth over several lakh rupees from half a dozen passengers.
(@delayedja","2018-07-25 10:38:44","TRUE","6","0","0","Transportation","Madhya Pradesh","India",FALSE
"35","Armed robbers looted second train in Madhya Pradesh within a day ..  ","2018-07-25 10:33:01","FALSE","0","0","0","Transportation","Madhya Pradesh","India",FALSE
"36","Armed robbers looted second train in Madhya Pradesh within a day  ","2018-07-25 09:51:33","FALSE","0","0","1","Transportation","Madhya Pradesh","India",FALSE
"37","RT @IndiaToday: The unidentified miscreants robbed cash, jewellery worth over several lakh rupees from half a dozen passengers.
(@delayedja","2018-07-25 09:43:21","TRUE","6","0","0","Transportation","Madhya Pradesh","India",TRUE
"38","RT @IndiaToday: The unidentified miscreants robbed cash, jewellery worth over several lakh rupees from half a dozen passengers.
(@delayedja","2018-07-25 09:42:37","TRUE","6","0","-2","Transportation","Madhya Pradesh","India",TRUE
"39","RT @IndiaToday: The unidentified miscreants robbed cash, jewellery worth over several lakh rupees from half a dozen passengers.
(@delayedja","2018-07-25 09:36:55","TRUE","6","0","0","Transportation","Madhya Pradesh","India",TRUE
"40","RT @IndiaToday: The unidentified miscreants robbed cash, jewellery worth over several lakh rupees from half a dozen passengers.
(@delayedja","2018-07-25 09:34:03","TRUE","6","0","0","Transportation","Madhya Pradesh","India",TRUE
"41","RT @IndiaToday: The unidentified miscreants robbed cash, jewellery worth over several lakh rupees from half a dozen passengers.
(@delayedja","2018-07-25 09:34:01","TRUE","6","0","0","Transportation","Madhya Pradesh","India",TRUE
"42","The unidentified miscreants robbed cash, jewellery worth over several lakh rupees from half a dozen passengers.
(  ","2018-07-25 09:33:19","FALSE","6","10","0","Transportation","Madhya Pradesh","India",FALSE
"43","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-25 06:53:51","TRUE","382","0","0","Transportation","Madhya Pradesh","India",TRUE
