"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @yawaraijazkhan: the weather today is calm and sunny awesome Pune Maharashtra","2018-07-28 09:58:15","TRUE","3","0","-1","Climate","Maharashtra","India",FALSE
"2","RT @yawaraijazkhan: the weather today is calm and sunny awesome Pune Maharashtra","2018-07-28 09:52:13","TRUE","3","0","-1","Climate","Maharashtra","India",TRUE
"3","   ;   

      . ,   ","2018-07-28 09:40:43","FALSE","0","3","-1","Climate","Maharashtra","India",FALSE
"4","RT @RanjitVDeshmukh: HIDE AND SEEK: It was a cloudy weather as the moon was visible for a very short period during the Eclipses over N","2018-07-27 20:45:23","TRUE","1","0","0","Climate","Maharashtra","India",FALSE
"5","HIDE AND SEEK: It was a cloudy weather as the moon was visible for a very short period during the Eclipses over  ","2018-07-27 18:49:44","FALSE","1","7","-1","Climate","Maharashtra","India",FALSE
"6","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:21:19","FALSE","0","0","3","Climate","Maharashtra","India",FALSE
"7","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:16:35","FALSE","0","0","1","Climate","Maharashtra","India",TRUE
"8","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:13:09","FALSE","0","0","1","Climate","Maharashtra","India",TRUE
"9","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:11:59","FALSE","0","0","0","Climate","Maharashtra","India",TRUE
"10","@ORNL We hv been removing nails pierced in d trees,removed 30k nails in 
Pls let us know scientifically weather i  ","2018-07-27 10:13:42","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"11","      ,        
Delhi NorthIndia heavyrain  ","2018-07-26 05:54:22","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"12","RT @SkymetWeather: Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 11:16:29","TRUE","4","0","-2","Climate","Maharashtra","India",FALSE
"13","RT @SkymetWeather: Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 10:52:15","TRUE","4","0","1","Climate","Maharashtra","India",TRUE
"14","RT @SkymetWeather: Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 09:33:36","TRUE","4","0","0","Climate","Maharashtra","India",TRUE
"15","Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 09:30:18","FALSE","4","9","1","Climate","Maharashtra","India",FALSE
"16","RT @gsgolani: Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?Looking at the maladministration in MJP Decisio","2018-07-25 06:25:17","TRUE","1","0","1","Climate","Maharashtra","India",FALSE
"17","@TawdeVinod Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?
Looking at the maladmini  ","2018-07-24 19:25:02","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"18","Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?Looking at the maladministration in M  ","2018-07-24 19:08:18","FALSE","1","1","1","Climate","Maharashtra","India",FALSE
"19","Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?
Looking at the maladministration in  ","2018-07-24 18:57:25","FALSE","1","2","1","Climate","Maharashtra","India",FALSE
"20","Reduced Intensity Rains To Continue Over Maharashtra, Apply Fertilizers In Crops.  ","2018-07-24 14:00:10","FALSE","0","3","0","Climate","Maharashtra","India",FALSE
"21","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 04:48:09","TRUE","54","0","0","Climate","Maharashtra","India",FALSE
"22","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 03:57:55","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"23","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-24 03:41:08","TRUE","7","0","0","Climate","Maharashtra","India",FALSE
"24","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-24 03:12:44","TRUE","7","0","1","Climate","Maharashtra","India",TRUE
"25","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 03:10:17","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"26","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-24 03:05:24","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"27","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 02:57:13","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"28","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 01:30:20","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"29","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 21:06:21","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"30","RT @SkymetWeather: Rains In Nagpur, Wardha, Akola, Buldhana To Continue, Drain Out Excess Water.   ","2018-07-23 18:14:14","TRUE","2","0","1","Climate","Maharashtra","India",FALSE
"31","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 17:35:21","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"32","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-23 17:33:34","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"33","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-23 16:20:56","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"34","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 16:17:50","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"35","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 16:11:18","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"36","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-23 16:03:17","TRUE","7","0","1","Climate","Maharashtra","India",TRUE
"37","RT @SkymetWeather: Rains In Nagpur, Wardha, Akola, Buldhana To Continue, Drain Out Excess Water.   ","2018-07-23 13:07:57","TRUE","2","0","0","Climate","Maharashtra","India",TRUE
"38","Rains In Nagpur, Wardha, Akola, Buldhana To Continue, Drain Out Excess Water.   ","2018-07-23 13:00:04","FALSE","2","7","-2","Climate","Maharashtra","India",FALSE
"39","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 12:13:27","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"40","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 11:51:35","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"41","Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of  ","2018-07-23 10:56:00","FALSE","7","29","0","Climate","Maharashtra","India",FALSE
"42","A strategic location, excellent weather and a steady rate of appreciation make Nashik a desirable city both for en  ","2018-07-23 10:45:12","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"43","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 10:44:49","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"44","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 10:40:12","TRUE","54","0","-1","Climate","Maharashtra","India",TRUE
"45","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 09:03:32","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"46","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 08:40:36","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"47","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 08:34:49","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"48","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 08:13:12","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"49","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 07:22:11","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"50","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 07:12:28","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"51","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 07:07:45","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"52","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 06:55:24","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"53","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 06:32:28","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
