"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @nandini_idnani: Kudos @PMOIndia @narendramodi hope your appeal for Eco Friendly festival from Idols of Ganesha &amp; pooja samagiri will br","2018-07-29 07:47:01","TRUE","3","0","-1","Culture","Maharashtra","India",FALSE
"2","RT @nandini_idnani: Kudos @PMOIndia @narendramodi hope your appeal for Eco Friendly festival from Idols of Ganesha &amp; pooja samagiri will br","2018-07-29 07:33:07","TRUE","3","0","-1","Culture","Maharashtra","India",TRUE
"3","RT @nandini_idnani: Kudos @PMOIndia @narendramodi hope your appeal for Eco Friendly festival from Idols of Ganesha &amp; pooja samagiri will br","2018-07-29 07:10:08","TRUE","3","0","-1","Culture","Maharashtra","India",TRUE
"4","Kudos @PMOIndia @narendramodi hope your appeal for Eco Friendly festival from Idols of Ganesha &amp; pooja samagiri wil  ","2018-07-29 06:23:09","FALSE","3","6","0","Culture","Maharashtra","India",FALSE
"5","In another news... Maharashtra state environment department (SED) allows the use of the thermocol decorations till  ","2018-07-29 06:06:53","FALSE","0","0","-1","Culture","Maharashtra","India",FALSE
"6","RT @naralokesh: GoAP signed a MoU with the Govt of Maharashtra to synergise the Fintech visions of both the States at the Mumbai Fintech Fe","2018-07-28 14:46:45","TRUE","170","0","3","Culture","Maharashtra","India",FALSE
"7"," ","2018-07-28 10:01:34","FALSE","0","1","1","Culture","Maharashtra","India",FALSE
"8","RT @ani_digital: The plastic ban in Maharashtra is impacting costs of almost everything directly or indirectly, and even the festival of Ga","2018-07-27 17:27:52","TRUE","1","0","1","Culture","Maharashtra","India",FALSE
"9","The plastic ban in Maharashtra is impacting costs of almost everything directly or indirectly, and even the festiva  ","2018-07-27 16:26:03","FALSE","1","11","0","Culture","Maharashtra","India",FALSE
"10","Guru Purnima: guru purnima : why the festival is celebrated -     - Maharashtra Tim  ","2018-07-27 11:32:23","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"11","@zarafshan @Stolen_Empire @s_oworld @MeenakshjD @PunjabiRooh @PropitiousOn3 @fisheyedmeena @WhiteMughalsFan I dont  ","2018-07-26 18:26:05","FALSE","0","1","1","Culture","Maharashtra","India",FALSE
"12","   ,     ","2018-07-26 10:16:53","FALSE","0","10","-2","Culture","Maharashtra","India",FALSE
"13","     ","2018-07-26 06:15:41","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"14","MT:      ","2018-07-26 05:34:04","FALSE","0","0","0","Culture","Maharashtra","India",FALSE
"15","RT @maverickbirdS: olive Ridley Sea turtles velas maharashtra | turtle festival | india | lemonicks -  ","2018-07-26 02:17:55","TRUE","1","0","1","Culture","Maharashtra","India",FALSE
"16","Bail Pola. (Bendur) it's an very exciting, lovely, great festival of Maharashtra. Feeling proud to all farmers.   ","2018-07-25 13:58:17","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"17","Life Isn't About Finding Yourself...Life Is About Creating Yourself....
oneboy
instagram picoftheday marathi  ","2018-07-25 12:21:43","FALSE","0","0","0","Culture","Maharashtra","India",FALSE
"18","MumbaiBandh In Maharashtra the occasion of Asaadh poornima,
All the devotees of vitthal will going to pandharpur  ","2018-07-25 12:10:47","FALSE","0","2","1","Culture","Maharashtra","India",FALSE
"19","Palkhi Festival, Maharashtra.

7.7.2018 @ Pune, Maharashtra  ","2018-07-25 10:02:41","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"20","Thanks to transport strike no dispatched since last 3 days, adding to the tyranny is Maharashtra bandh today. All t  ","2018-07-25 09:02:06","FALSE","0","1","0","Culture","Maharashtra","India",FALSE
"21","RT @NFAIOfficial: To mark the beginning of the centenary of legendary singer-composer SudhirPhadke NFAI and Aashay Film Club have arranged","2018-07-25 08:04:56","TRUE","7","0","0","Culture","Maharashtra","India",FALSE
"22","MT:       ","2018-07-25 04:59:13","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"23","autohash Ratnagiri India Maharashtra portrait people business sign leader arrival wear festival actor  ","2018-07-24 18:44:01","FALSE","0","0","0","Culture","Maharashtra","India",FALSE
"24","olive Ridley Sea turtles velas maharashtra | turtle festival | india | lemonicks -  ","2018-07-24 07:47:47","FALSE","1","1","1","Culture","Maharashtra","India",FALSE
"25","Maharashtra mai Ganpati festival or hamare yaha Kanwadiyo ka Mahakumbh shuru hone vala h.","2018-07-24 02:44:29","FALSE","0","1","0","Culture","Maharashtra","India",FALSE
"26","RT @abuasimazmi: I demand that the festival of Jamnashtami be declared as a Holiday in the State of Maharashtra.

@CMOMaharashtra @Dev_Fa","2018-07-24 00:55:14","TRUE","16","0","0","Culture","Maharashtra","India",FALSE
"27","@vibhor_anand .... I agree with u...on the hypocrisy of @TimesNOW .... I am a media professional...just to inform u  ","2018-07-23 18:05:45","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"28","RT @RoshanSakal:        
 ","2018-07-23 16:41:42","TRUE","4","0","1","Culture","Maharashtra","India",FALSE
"29","BIG marathi festival is AshadhiEkadashi = 1st day of month of ashadh 

PUNDALIKA varada VITTHALA 

goa : vith  ","2018-07-23 15:31:46","FALSE","0","0","1","Culture","Maharashtra","India",FALSE
"30","RT @RoshanSakal:        
 ","2018-07-23 13:16:04","TRUE","4","0","1","Culture","Maharashtra","India",TRUE
"31","RT @RoshanSakal:        
 ","2018-07-23 13:09:13","TRUE","4","0","1","Culture","Maharashtra","India",TRUE
"32","       
 ","2018-07-23 13:00:04","FALSE","4","6","0","Culture","Maharashtra","India",FALSE
"33","    !  ","2018-07-23 12:41:48","FALSE","0","1","0","Culture","Maharashtra","India",FALSE
