"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @aimimofficial1: I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less per","2018-07-29 11:52:15","TRUE","8","0","-1","Education","Maharashtra","India",FALSE
"2","RT @aimimofficial1: I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less per","2018-07-29 11:43:27","TRUE","8","0","-1","Education","Maharashtra","India",TRUE
"3","RT @aimimofficial1: I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less per","2018-07-29 11:25:08","TRUE","8","0","-1","Education","Maharashtra","India",TRUE
"4","RT @SpokesmanTweets: Shah, Bhagwat meet in Mumbai amid Maratha quota stir...  ","2018-07-29 11:15:57","TRUE","1","0","0","Education","Maharashtra","India",FALSE
"5","Shah, Bhagwat meet in Mumbai amid Maratha quota stir...  ","2018-07-29 11:15:03","FALSE","1","1","-1","Education","Maharashtra","India",FALSE
"6","RT @aimimofficial1: I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less per","2018-07-29 11:11:59","TRUE","8","0","3","Education","Maharashtra","India",TRUE
"7","RT @obaidquadri2: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educati","2018-07-29 10:18:29","TRUE","1","0","1","Education","Maharashtra","India",FALSE
"8","RT @apnnewsindia: We're ready to cooperate with colleges if they have any practical problem, but if they deliberately try to trouble Marath","2018-07-29 10:16:52","TRUE","9","0","1","Education","Maharashtra","India",FALSE
"9","RT @aimimofficial1: I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less per","2018-07-29 10:05:31","TRUE","8","0","0","Education","Maharashtra","India",TRUE
"10","RT @aimimofficial1: I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less per","2018-07-29 10:01:00","TRUE","8","0","1","Education","Maharashtra","India",TRUE
"11","RT @aimimofficial1: I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less per","2018-07-29 09:45:36","TRUE","8","0","1","Education","Maharashtra","India",TRUE
"12","RT @aimimofficial1: I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less per","2018-07-29 09:44:26","TRUE","8","0","-2","Education","Maharashtra","India",TRUE
"13","I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less  ","2018-07-29 09:44:00","FALSE","8","16","1","Education","Maharashtra","India",FALSE
"14","I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less  ","2018-07-29 09:41:36","FALSE","1","1","0","Education","Maharashtra","India",TRUE
"15","I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less  ","2018-07-29 09:41:26","FALSE","1","0","1","Education","Maharashtra","India",TRUE
"16","RT @apnnewsindia: We're ready to cooperate with colleges if they have any practical problem, but if they deliberately try to trouble Marath","2018-07-29 09:02:50","TRUE","9","0","1","Education","Maharashtra","India",TRUE
"17","RT @apnnewsindia: We're ready to cooperate with colleges if they have any practical problem, but if they deliberately try to trouble Marath","2018-07-29 08:56:46","TRUE","9","0","0","Education","Maharashtra","India",TRUE
"18","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-29 08:43:19","TRUE","11","0","1","Education","Maharashtra","India",FALSE
"19","RT @HaribabuAmarava: APDharmaPoratam

Coastal Economic Zone moved to 
Maharashtra 

BJPcheatedAP 

 ","2018-07-29 08:40:17","TRUE","34","0","1","Education","Maharashtra","India",FALSE
"20","RT @ahir_hansraj: On occasion of Gurupornima, took a blessings of Guruwarya Shri. KeshawraoKaware Sir who was given me the lessons of edu","2018-07-29 08:32:04","TRUE","17","0","0","Education","Maharashtra","India",FALSE
"21","Maharashtra bandh over Maratha quota protests for reservations in jobs,...

 ","2018-07-29 08:00:58","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"22","Maharashtra bandh over Maratha quota protests for reservations in jobs,...

 ","2018-07-29 07:44:39","FALSE","0","0","1","Education","Maharashtra","India",TRUE
"23","I am not against MarathaReservation give Reservation to Marathas but GOVT can't Neglect Muslims. There is very les  ","2018-07-29 07:11:35","FALSE","0","2","0","Education","Maharashtra","India",FALSE
"24","I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less  ","2018-07-29 06:48:41","FALSE","0","1","1","Education","Maharashtra","India",TRUE
"25","RT @ali_sumaya_khan: I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less pe","2018-07-29 06:47:19","TRUE","1","0","0","Education","Maharashtra","India",FALSE
"26","RT @ali_sumaya_khan: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educ","2018-07-29 06:47:16","TRUE","1","0","0","Education","Maharashtra","India",FALSE
"27","I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less  ","2018-07-29 06:44:03","FALSE","0","0","1","Education","Maharashtra","India",TRUE
"28","I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher E  ","2018-07-29 06:41:51","FALSE","1","4","1","Education","Maharashtra","India",FALSE
"29","I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less  ","2018-07-29 06:41:42","FALSE","1","2","1","Education","Maharashtra","India",TRUE
"30","I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less  ","2018-07-29 06:31:02","FALSE","0","0","1","Education","Maharashtra","India",TRUE
"31","RT @ali_sumaya_khan: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educ","2018-07-29 06:28:13","TRUE","7","0","1","Education","Maharashtra","India",TRUE
"32","MT:    ?  ","2018-07-29 05:54:49","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"33","@AjitPawarSpeaks  ajitdada you need to fight for Maharashtra Muslim community his facility of reservation in educat  ","2018-07-29 05:20:17","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"34","RT @ali_sumaya_khan: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educ","2018-07-29 05:15:51","TRUE","7","0","0","Education","Maharashtra","India",TRUE
"35","RT @Abdulla72747498: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educ","2018-07-29 05:09:56","TRUE","2","0","0","Education","Maharashtra","India",FALSE
"36","RT @ahir_hansraj: On occasion of Gurupornima, took a blessings of Guruwarya Shri. KeshawraoKaware Sir who was given me the lessons of edu","2018-07-29 04:57:30","TRUE","17","0","1","Education","Maharashtra","India",TRUE
"37","RT @ahir_hansraj: On occasion of Gurupornima, took a blessings of Guruwarya Shri. KeshawraoKaware Sir who was given me the lessons of edu","2018-07-29 03:21:15","TRUE","17","0","0","Education","Maharashtra","India",TRUE
"38","RT @syedibrahim967: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educa","2018-07-29 02:54:43","TRUE","1","0","-2","Education","Maharashtra","India",FALSE
"39","RT @syedibrahim967: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educa","2018-07-29 02:52:34","TRUE","1","0","0","Education","Maharashtra","India",TRUE
"40","RT @HaribabuAmarava: APDharmaPoratam

Coastal Economic Zone moved to 
Maharashtra 

BJPcheatedAP 

 ","2018-07-29 01:46:55","TRUE","34","0","0","Education","Maharashtra","India",TRUE
"41","@Abdulla72747498 @AIMIMONLY @asadowaisi @shaukat_aimim @syedibrahim967 @irfankhan1802 @imtiaz_jaleel  ","2018-07-29 00:45:18","FALSE","0","1","0","Education","Maharashtra","India",FALSE
"42","I am not against MarathaReservation give reservation to Marathas but GOVT cant neglect Muslims. There is very less  ","2018-07-29 00:03:29","FALSE","0","0","0","Education","Maharashtra","India",TRUE
"43","I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher E  ","2018-07-28 23:19:50","FALSE","0","4","0","Education","Maharashtra","India",TRUE
"44","I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher E  ","2018-07-28 22:53:14","FALSE","1","1","-1","Education","Maharashtra","India",TRUE
"45","RT @ali_sumaya_khan: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educ","2018-07-28 22:16:48","TRUE","7","0","0","Education","Maharashtra","India",TRUE
"46","RT @Abdulla72747498: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educ","2018-07-28 22:16:20","TRUE","2","0","0","Education","Maharashtra","India",TRUE
"47","I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher E  ","2018-07-28 21:33:42","FALSE","1","1","0","Education","Maharashtra","India",TRUE
"48","RT @ali_sumaya_khan: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educ","2018-07-28 19:53:32","TRUE","7","0","0","Education","Maharashtra","India",TRUE
"49","RT @ali_sumaya_khan: I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher Educ","2018-07-28 19:53:03","TRUE","1","0","0","Education","Maharashtra","India",TRUE
"50","I want to ask why Muslims dont get reservation, in Maharashtra there is very less percentage of Muslims in Higher E  ","2018-07-28 19:43:49","FALSE","2","17","0","Education","Maharashtra","India",TRUE
