"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","MissionEducation Team Mumbai (Maharashtra) placed drop boxes at Holy Family English High School And Jr. College,  ","2018-07-29 11:55:49","FALSE","0","0","-1","Education","Maharashtra","India",FALSE
"2","Maharashtra state board ne 10 passed baccho ka future kharab kar diya.

Nae Nae kanoon lagu aur saare bacche paresh  ","2018-07-29 09:08:03","FALSE","0","0","-1","Education","Maharashtra","India",FALSE
"3","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-29 06:55:04","TRUE","6","0","-1","Education","Maharashtra","India",FALSE
"4","Raigad Maharashtra!
Rest in peace all souls!! Sad accident in Maharashtra !!! All 33 teachers of farm college of R  ","2018-07-29 06:40:33","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"5","Govt. College of engg Chandrapur, Maharashtra-Their no permanent teachers in Every department ,just 1 or 2 teacher  ","2018-07-29 05:01:50","FALSE","0","0","-1","Education","Maharashtra","India",FALSE
"6","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-29 04:42:58","TRUE","6","0","3","Education","Maharashtra","India",TRUE
"7","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-29 03:59:18","TRUE","6","0","1","Education","Maharashtra","India",TRUE
"8","I added a video to a @YouTube playlist  ","2018-07-29 03:52:42","FALSE","0","0","1","Education","Maharashtra","India",FALSE
"9","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-29 02:57:52","TRUE","6","0","0","Education","Maharashtra","India",TRUE
"10","maharashtra college girl porn videos  fakes video hard laura pausini nuda xxx  girls volleyball nice sex   ","2018-07-29 00:56:18","FALSE","0","0","1","Education","Maharashtra","India",FALSE
"11","@Abdulla72747498 @AIMIMONLY @asadowaisi @shaukat_aimim @syedibrahim967 @irfankhan1802 @imtiaz_jaleel  ","2018-07-29 00:45:18","FALSE","0","1","1","Education","Maharashtra","India",FALSE
"12","maharashtra college girl porn videos  fakes video hard laura pausini nuda xxx  girls volleyball nice sex   ","2018-07-29 00:17:14","FALSE","0","0","-2","Education","Maharashtra","India",TRUE
"13","@vimalprakashdu4 @NeetFiles Jitna chahe utna chillao... Supreme court supreme hai isliye easily decision quash nahi  ","2018-07-28 18:52:54","FALSE","0","1","1","Education","Maharashtra","India",FALSE
"14","College Bus Falls into 200-ft Gorge in Maharashtra, 33 Dead in Accident | Belgaum News:  ","2018-07-28 16:32:06","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"15","'' .. ...  ","2018-07-28 16:01:36","FALSE","0","1","1","Education","Maharashtra","India",FALSE
