"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","BJP president AmitShah held a meeting with RSS chief Mohan Bhagwat here in the backdrop of the ongoing agitation  ","2018-07-29 11:35:26","FALSE","0","1","-1","Employment","Maharashtra","India",FALSE
"2","Senior manager - Customer delight and Channel management: Medtronic, India (Maharashtra).  ","2018-07-29 11:00:05","FALSE","0","0","-1","Employment","Maharashtra","India",FALSE
"3","RT @rsprasad: India BPO Promotion Scheme is an initiative of DigitalIndia. Pooja Shukla from Aurangabad, Maharashtra shares her experience","2018-07-29 10:15:55","TRUE","217","0","-1","Employment","Maharashtra","India",FALSE
"4","100  Requirements of Candidates for Telecalling in Navi Mumbai, Maharashtra, India: navi, outbound, hr  ","2018-07-29 09:10:35","FALSE","0","0","0","Employment","Maharashtra","India",FALSE
"5","Business Development Associate in Thane, Maharashtra, India: film, music, fixed, thane, contact   ","2018-07-29 08:00:34","FALSE","0","0","-1","Employment","Maharashtra","India",FALSE
"6","IPS Transfers in Maharashtra:
IPS Shivdeep Lande must be given charge of Anti Corruption Bureau (ACB) of Maharashtr  ","2018-07-29 07:26:10","FALSE","0","0","3","Employment","Maharashtra","India",FALSE
"7","RT @balajisatpute3: 30,000 TET PASS  TEACHER  JOB FOR MAHARASHTRA TAIT (@balajisatpute3) Tweeted:
30,000 shikshak Bharti zali CH pahije...A","2018-07-29 07:11:40","TRUE","2","0","1","Employment","Maharashtra","India",FALSE
"8","@pvthakare @ndtv @PawarSpeaks There r several communities in Maharashtra. @Dev_Fadnavis cannot just favor 1 communi  ","2018-07-29 06:14:36","FALSE","0","0","1","Employment","Maharashtra","India",FALSE
"9","@SuyogSh97198130 @NeetFiles Dear, Suyog, God bless you. I do not mean to tweet for participating in 85% quota. My m  ","2018-07-29 05:58:47","FALSE","0","2","0","Employment","Maharashtra","India",FALSE
"10","ICYMI ExpressExplained | Marathas have called off protests, but agitation continues. Heres why

 ","2018-07-29 05:30:00","FALSE","0","2","1","Employment","Maharashtra","India",FALSE
"11","Python Developer - Pune: Quess Corp (Magna Infotech) - Pune, Maharashtra - We are looking for Python developer (Bac  ","2018-07-29 05:24:04","FALSE","0","0","1","Employment","Maharashtra","India",FALSE
"12","Site Engineer: Talent Corner - Navi Mumbai, Maharashtra - 1. Responsible for Site co-ordination &amp; Site Management.  ","2018-07-29 05:24:03","FALSE","0","0","-2","Employment","Maharashtra","India",FALSE
"13","@AjitPawarSpeaks  ajitdada you need to fight for Maharashtra Muslim community his facility of reservation in educat  ","2018-07-29 05:20:17","FALSE","0","0","1","Employment","Maharashtra","India",FALSE
"14","RT @freejobsnews: Mazagon Dock Recruitment - 382 Posts
Job Location - Maharashtra
Name of Posts - Trade Apprentices Posts
Last Date to Appl","2018-07-29 03:53:44","TRUE","1","0","0","Employment","Maharashtra","India",FALSE
"15","MT:       ","2018-07-29 03:40:07","FALSE","0","0","1","Employment","Maharashtra","India",FALSE
"16","Tourism Promotion- For Part Time Online Work in Aurangabad, Maharashtra, India: tourism, iso  ","2018-07-29 03:25:30","FALSE","0","0","1","Employment","Maharashtra","India",FALSE
"17","@narendramodi @SureshRanaBJP Jhoot bolne wala narendra modi 10 crore job unna kand dalit attack in gujarat maharash  ","2018-07-29 02:17:39","FALSE","0","0","0","Employment","Maharashtra","India",FALSE
