"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @indialegalmedia: The Maharashtra govt has literally raised the bar by allowing moviegoers to bring their own food inside multiplexes.","2018-07-29 11:42:20","TRUE","24","0","-1","Food","Maharashtra","India",FALSE
"2","Aata he mall ani food outlet visit pasun sutka nahi  (@ Burger King in Pune, Maharashtra)  ","2018-07-29 09:33:44","FALSE","0","0","-1","Food","Maharashtra","India",FALSE
"3","RT @anasmohd556: @hydcitypolice @TOIHyderabad. Maharashtra lifts ban on outside food at Cinema halls,I had to pay Rs.282 just for 1 popcorn","2018-07-29 08:48:02","TRUE","3","0","-1","Food","Maharashtra","India",FALSE
"4","RT @ETPrime_com: We've all complained about overpriced popcorn at the movies. But multiplex operators in India depends a lot on it. As th","2018-07-29 08:39:26","TRUE","2","0","0","Food","Maharashtra","India",FALSE
"5","RT @ETPrime_com: We've all complained about overpriced popcorn at the movies. But multiplex operators in India depends a lot on it. As th","2018-07-29 07:41:15","TRUE","2","0","-1","Food","Maharashtra","India",TRUE
"6","We've all complained about overpriced popcorn at the movies. But multiplex operators in India depends a lot on it  ","2018-07-29 07:35:01","FALSE","2","2","3","Food","Maharashtra","India",FALSE
"7","Good Morning. Have A Happy Sunday
.
.
 Jalebi, Fafda, Dhokla with Chillies 
.
.
Follow @rohanvsfood on Instagram,  ","2018-07-29 06:53:05","FALSE","0","0","1","Food","Maharashtra","India",FALSE
"8"," ","2018-07-29 06:00:52","FALSE","0","0","1","Food","Maharashtra","India",FALSE
"9","Navjeevan Super Shop: Pioneers of modern retail in NorthMaharashtra  ","2018-07-29 04:30:34","FALSE","0","1","0","Food","Maharashtra","India",FALSE
"10","Under article 121 of the Maharashtra Cinema Hall rules of 1966 movie goers can not be prevented from carrying own f  ","2018-07-29 04:03:40","FALSE","0","0","1","Food","Maharashtra","India",FALSE
"11","RT @RajewadicheRaje:          ...     ? @CMOMaharashtra @Dev_Fadn","2018-07-29 02:58:24","TRUE","1","0","1","Food","Maharashtra","India",FALSE
