"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @deshdoot:       ","2018-07-29 11:54:54","TRUE","1","0","-1","Health Care","Maharashtra","India",FALSE
"2","RT @BloodDonorsIn: Mumbai Maharashtra Urgently Need Blood O+ve or AB+ve at Breach Candy Hospital. Call 9893043176 via @mittalkapil @bhog","2018-07-29 10:50:35","TRUE","55","0","-1","Health Care","Maharashtra","India",FALSE
"3","RT @BloodDonorsIn: Mumbai Maharashtra Urgently Need Blood O+ve or AB+ve at Breach Candy Hospital. Call 9893043176 via @mittalkapil @bhog","2018-07-29 10:35:45","TRUE","55","0","-1","Health Care","Maharashtra","India",TRUE
"4","RT @BloodDonorsIn: Mumbai Maharashtra Urgently Need Blood O+ve or AB+ve at Breach Candy Hospital. Call 9893043176 via @mittalkapil @bhog","2018-07-29 10:29:06","TRUE","55","0","0","Health Care","Maharashtra","India",TRUE
"5","RT @BloodDonorsIn: Mumbai Maharashtra Urgently Need Blood O+ve or AB+ve at Breach Candy Hospital. Call 9893043176 via @mittalkapil @bhog","2018-07-29 09:52:04","TRUE","55","0","-1","Health Care","Maharashtra","India",TRUE
"6","@RahulGandhi @INCIndia @derekobrienmp KarunanidhiHealth @IYC @GdnDevelopment @CMOMaharashtra  @rashtrapatibhvn 
Ex  ","2018-07-29 09:43:00","FALSE","0","0","3","Health Care","Maharashtra","India",FALSE
"7","RT @BloodDonorsIn: Mumbai Maharashtra Urgently Need Blood O+ve or AB+ve at Breach Candy Hospital. Call 9893043176 via @mittalkapil @bhog","2018-07-29 09:32:42","TRUE","55","0","1","Health Care","Maharashtra","India",TRUE
"8","RT @BloodDonorsIn: Mumbai Maharashtra Urgently Need Blood O+ve or AB+ve at Breach Candy Hospital. Call 9893043176 via @mittalkapil @bhog","2018-07-29 09:02:53","TRUE","55","0","1","Health Care","Maharashtra","India",TRUE
"9","@RehamKhan1 
Expose CSR funds fraud, financial irregularities and sabotage of much needed community hospital with P  ","2018-07-29 08:46:05","FALSE","0","0","0","Health Care","Maharashtra","India",FALSE
"10","*Swachhata Pakhwada-2018-2019*
*""Skill Se Sampurna Swachhata*{ Day-15} 29/7/2018 }
 Celebration By Jan Shikshan San  ","2018-07-29 08:06:18","FALSE","0","0","1","Health Care","Maharashtra","India",FALSE
