"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @DCindianews: congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri Nitin","2018-07-29 06:45:06","TRUE","9","0","-1","Transportation","Maharashtra","India",FALSE
"2","RT @DCindianews: congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri Nitin","2018-07-29 05:32:43","TRUE","9","0","-1","Transportation","Maharashtra","India",TRUE
"3","RT @IAF_MCC: ExPitchBlack18:  Not all who churn the wheels of operations are seen. The Load Master of a transport ac is an essential team","2018-07-29 02:35:30","TRUE","148","0","-1","Transportation","Maharashtra","India",FALSE
"4","RT @DCindianews: congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri Nitin","2018-07-29 02:20:31","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"5","RT @DCindianews: congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri Nitin","2018-07-28 19:10:16","TRUE","9","0","-1","Transportation","Maharashtra","India",TRUE
"6","RT @DCindianews: congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri Nitin","2018-07-28 18:48:59","TRUE","9","0","3","Transportation","Maharashtra","India",TRUE
"7","RT @DCindianews: congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri Nitin","2018-07-28 18:42:44","TRUE","9","0","1","Transportation","Maharashtra","India",TRUE
"8","RT @DCindianews: congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri Nitin","2018-07-28 18:31:00","TRUE","9","0","1","Transportation","Maharashtra","India",TRUE
"9","RT @DCindianews: congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri Nitin","2018-07-28 18:08:34","TRUE","9","0","0","Transportation","Maharashtra","India",TRUE
"10","RT @DCindianews: congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri Nitin","2018-07-28 18:00:08","TRUE","9","0","1","Transportation","Maharashtra","India",TRUE
"11","congratulations Princy goel for winning Maharashtra Gaurav Award by Hon. minister of Road Transport &amp; Highways shri  ","2018-07-28 17:27:09","FALSE","9","35","1","Transportation","Maharashtra","India",FALSE
"12","RT @Inkhabar:  :      ,      
IndiaNewsManch MaharashtraManch nitingadk","2018-07-28 17:13:45","TRUE","1","0","-2","Transportation","Maharashtra","India",FALSE
"13"," :      ,      
IndiaNewsManch MaharashtraManch  ","2018-07-28 17:03:55","FALSE","1","0","1","Transportation","Maharashtra","India",FALSE
"14","RT @MILVETERAN: This is the State of Road Safety in Home State of Nitin Gadkari the Surface Transport Minister.  ","2018-07-28 14:11:50","TRUE","3","0","0","Transportation","Maharashtra","India",FALSE
"15","RT @MILVETERAN: This is the State of Road Safety in Home State of Nitin Gadkari the Surface Transport Minister.  ","2018-07-28 10:06:15","TRUE","3","0","1","Transportation","Maharashtra","India",TRUE
"16","RT @MILVETERAN: This is the State of Road Safety in Home State of Nitin Gadkari the Surface Transport Minister.  ","2018-07-28 09:55:24","TRUE","3","0","1","Transportation","Maharashtra","India",TRUE
"17","This is the State of Road Safety in Home State of Nitin Gadkari the Surface Transport Minister.  ","2018-07-28 09:50:09","FALSE","3","2","0","Transportation","Maharashtra","India",FALSE
"18","RT @MumbaiPolice: @Anubhavaga Please share the details of your complaint here :  ","2018-07-28 09:40:01","TRUE","1","0","1","Transportation","Maharashtra","India",FALSE
"19","@sureshpprabhu MAHARASHTRA AIR TRANSPORT SERVICE","2018-07-28 09:17:49","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"20","Heavy traffic on roads after strike over of transport association in Maharashtra","2018-07-28 08:37:26","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"21","@Anubhavaga Please share the details of your complaint here :  ","2018-07-28 07:14:01","FALSE","1","6","0","Transportation","Maharashtra","India",FALSE
"22","@ssujitdube Please share the details of your complaint here :  ","2018-07-28 05:56:03","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"23","     ","2018-07-28 04:57:54","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"24","MT:      ","2018-07-28 04:55:46","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"25","Gadkari welcomes end of truckers' strike...  ","2018-07-28 04:55:35","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"26","MT:      ","2018-07-28 04:52:46","FALSE","0","1","0","Transportation","Maharashtra","India",TRUE
"27","RT @latestly: All-India Motor Transport Congress Calls Off Nationwide Transport Strike After Seven Days
AIMTC TransportStrike Maharashtr","2018-07-28 04:34:25","TRUE","2","0","1","Transportation","Maharashtra","India",FALSE
"28","MT:       ","2018-07-28 04:03:33","FALSE","0","1","1","Transportation","Maharashtra","India",FALSE
"29","Maharashtra lost Rs 5,000 crore due to transport stir  ","2018-07-28 01:38:51","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"30","Maharashtra lost Rs 5,000 crore due to transport stir  ","2018-07-28 01:36:03","FALSE","0","2","1","Transportation","Maharashtra","India",TRUE
"31","     ","2018-07-27 16:42:37","FALSE","0","0","1","Transportation","Maharashtra","India",TRUE
"32","All-India Motor Transport Congress Calls Off Nationwide Transport Strike After Seven Days
AIMTC TransportStrike  ","2018-07-27 16:30:39","FALSE","2","1","0","Transportation","Maharashtra","India",FALSE
"33","@nileshsamel      ","2018-07-27 12:51:06","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"34","I request @PMOIndia @nitin_gadkari should form a panel to look into this matter.. in Maharashtra @Dev_Fadnavis got  ","2018-07-27 10:25:44","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"35","@yashbaharse Please share the details of your complaint here :  ","2018-07-27 10:11:40","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"36","@ThePuneMirror @Dev_Fadnavis @PMOIndia @nitin_gadkari this is the real of Public transport in Pune Maharashtra one  ","2018-07-27 07:44:11","FALSE","0","0","1","Transportation","Maharashtra","India",FALSE
"37","@nitin_datey Please share the details of your complaint here :-  ","2018-07-27 07:02:23","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"38","RT @trafficngp: Today 26 July, we created Green Corridor for urgent transport of donated organs from Mayo Hospital to three hospitals in ve","2018-07-27 06:59:35","TRUE","36","0","-2","Transportation","Maharashtra","India",FALSE
"39","@AnjanaOmKashap  @aajtak there is stike of transport in maharashtra from last 4-5 days. Im amazed der iz no news in  ","2018-07-27 06:07:07","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"40","@FriendsPehle Please share the details of your complaint here :-  ","2018-07-27 05:50:13","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"41","MT:     ","2018-07-27 03:49:04","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"42","RT @TOIMumbai: Mumbai: Protesters pelted stones on two Brihanmumbai Electric Supply and Transport (BEST) buses near Navi Mumbai's Ghansoli","2018-07-26 15:29:01","TRUE","29","0","0","Transportation","Maharashtra","India",FALSE
"43","RT @TOIMumbai: Maharashtra: Around 27 Thane municipal transport buses were damaged in the violence during the MarathaKrantiMorcha protest","2018-07-26 11:24:56","TRUE","6","0","0","Transportation","Maharashtra","India",FALSE
"44","VideoNews :      52    
 ","2018-07-26 10:42:38","FALSE","0","3","-1","Transportation","Maharashtra","India",FALSE
"45","RT @dineshayan1: Maratha Reservation stir in Maharashtra destruction of public  property.Govt should impose collective area penal fine in a","2018-07-26 06:21:22","TRUE","3","0","0","Transportation","Maharashtra","India",FALSE
"46","CG wants us to come offc on time evn in this kind of strikes for reservation even aftr knowing that entire Maharash  ","2018-07-26 05:58:56","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"47","RT @sakaltimes: NewsAlert: Maharashtra State transport buses affected due to MarathaKrantiMorcha.

Bus service in Sangli, Satara and Kolh","2018-07-26 03:52:31","TRUE","2","0","0","Transportation","Maharashtra","India",FALSE
"48","RT @PiyushGoyal: Along with Maharashtra's CM @Dev_Fadnavis signed a MoU between Railways &amp; Maha Metro, inaugurated Pipe Conveyor Coal trans","2018-07-26 03:19:13","TRUE","190","0","0","Transportation","Maharashtra","India",FALSE
"49","Maharashtra bandh: agitators vent anger on public transport ..  ","2018-07-26 02:57:39","FALSE","0","0","0","Transportation","Maharashtra","India",FALSE
"50","RT @TOIMumbai: Mumbai: Protesters pelted stones on two Brihanmumbai Electric Supply and Transport (BEST) buses near Navi Mumbai's Ghansoli","2018-07-26 01:32:59","TRUE","29","0","0","Transportation","Maharashtra","India",TRUE
"51","RT @j_hul: Maratha People's who were Pointing Fingers at Dalit Morcha -&gt;  Maharashtra Bandh on 3 Jan...
""Blocking Roads / Transport"" is No","2018-07-25 19:57:59","TRUE","1","0","0","Transportation","Maharashtra","India",FALSE
