"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SkymetWeather: Light to moderate rains are likely over Jammu and Kashmir, HimachalPradesh, North Punjab, North Haryana, West Utta","2018-07-29 11:54:48","TRUE","3","0","-1","Climate","Punjab","India",FALSE
"2","RT @SkymetWeather: Light to moderate rains are likely over Jammu and Kashmir, HimachalPradesh, North Punjab, North Haryana, West Utta","2018-07-29 10:39:01","TRUE","3","0","-1","Climate","Punjab","India",TRUE
"3","RT @SkymetWeather: Light to moderate rains are likely over Jammu and Kashmir, HimachalPradesh, North Punjab, North Haryana, West Utta","2018-07-29 10:30:07","TRUE","3","0","-1","Climate","Punjab","India",TRUE
"4","Light to moderate rains are likely over Jammu and Kashmir, HimachalPradesh, North Punjab, North Haryana, West  ","2018-07-29 10:30:07","FALSE","3","5","0","Climate","Punjab","India",FALSE
"5","        
 ","2018-07-29 08:11:03","FALSE","0","7","-1","Climate","Punjab","India",FALSE
"6","awesome monsoon weather rainydays summer july punjab dasuya @ Duggal Dawa Khri  ","2018-07-29 06:36:04","FALSE","0","0","3","Climate","Punjab","India",FALSE
"7","RT @Nawaiwaqt_: BreakingNews
       
Punjab Weather Rain PleasantWeather @WeatherPK @pid_gov  ","2018-07-29 04:17:48","TRUE","2","0","1","Climate","Punjab","India",FALSE
"8","BreakingNews
       
Punjab Weather Rain PleasantWeather @WeatherPK  ","2018-07-29 04:15:46","FALSE","2","27","1","Climate","Punjab","India",FALSE
"9","Weather sahiwal punjab monsoon  ","2018-07-29 02:35:05","FALSE","0","0","0","Climate","Punjab","India",FALSE
"10","RT @Skardu_GB: Murree Snowfall Season
Murree is a famous hill station in Punjab, Pakistan. It is located 30 Km northeast of Islamabad the c","2018-07-28 20:23:58","TRUE","1","0","1","Climate","Punjab","India",FALSE
"11","In love with weather always Jashandubai jashandubaiproductions jashandubaiproductionandevents  ","2018-07-28 20:12:56","FALSE","0","0","1","Climate","Punjab","India",FALSE
"12","Air India blames weather for bed bugs infestation 
  ","2018-07-28 19:37:25","FALSE","0","0","-2","Climate","Punjab","India",FALSE
"13","Murree Snowfall Season
Murree is a famous hill station in Punjab, Pakistan. It is located 30 Km northeast of Islama  ","2018-07-28 19:18:48","FALSE","1","1","1","Climate","Punjab","India",FALSE
"14","RT @SkymetWeather: Rain in Delhi to reduce; moderate rain in parts of Haryana, Punjab will continue:  ","2018-07-28 11:38:14","TRUE","1","0","0","Climate","Punjab","India",FALSE
"15","Rain in Delhi to reduce; moderate rain in parts of Haryana, Punjab will continue:  ","2018-07-28 10:30:07","FALSE","1","5","1","Climate","Punjab","India",FALSE
"16","RT @SkymetWeather: Monsoon will remain normal over Odisha, Chhattisgarh, and parts of East MadhyaPradesh Haryana, Punjab, Jammu and K","2018-07-28 07:44:15","TRUE","1","0","1","Climate","Punjab","India",FALSE
"17","Monsoon will remain normal over Odisha, Chhattisgarh, and parts of East MadhyaPradesh Haryana, Punjab, Jammu  ","2018-07-28 07:30:08","FALSE","1","6","0","Climate","Punjab","India",FALSE
"18","Weather: Ainda 12 Genton K Douran FATA GB Zhob Quetta Kashmir Punjab Awr Lakki Marwat Samet Kpk K Aksar Elaqon Me Barish Ka Imkan Hai. MET","2018-07-28 05:33:06","FALSE","0","0","1","Climate","Punjab","India",FALSE
"19","Weather: Ainda 12 Genton K Douran FATA GB Zhob Quetta Kashmir Punjab Awr Lakki Marwat Samet Kpk K Aksar Elaqon Me Barish Ka Imkan Hai. MET","2018-07-28 05:32:30","FALSE","0","0","1","Climate","Punjab","India",TRUE
"20","RT @Nawaiwaqt_: BreakingNews
:      
Lahore Rain Weather Punjab @WeatherPK  ","2018-07-28 04:08:17","TRUE","1","0","0","Climate","Punjab","India",FALSE
"21","BreakingNews
:      
Lahore Rain Weather Punjab @WeatherPK  ","2018-07-28 04:03:51","FALSE","1","11","0","Climate","Punjab","India",FALSE
"22","@MoeedNj Abhi to im worried weather pti wud manage to form govt in punjab i think she must let her prove her worth rather than words","2018-07-27 22:31:59","FALSE","0","0","1","Climate","Punjab","India",FALSE
"23","RT @SkymetWeather: Good rains will be seen over Indo Gangetic Plains including foothills of Punjab, Haryana, UttarPradesh, Bihar, West","2018-07-27 15:01:43","TRUE","2","0","0","Climate","Punjab","India",FALSE
"24","It had been a long and exciting journey to see the southern most part of Punjab Province. We reached in Vehari, Pun  ","2018-07-27 15:00:28","FALSE","0","0","1","Climate","Punjab","India",FALSE
"25","Good rains will be seen over Indo Gangetic Plains including foothills of Punjab, Haryana, UttarPradesh, Bihar,  ","2018-07-27 15:00:15","FALSE","2","10","0","Climate","Punjab","India",FALSE
"26","RT @RajeshThind: Dad
It's very hot. I've never experienced such heat in the UK.

Me
Yeah but you grew up in this kind of heat in Punjab.

D","2018-07-27 13:05:37","TRUE","1","0","0","Climate","Punjab","India",FALSE
"27","Dad
It's very hot. I've never experienced such heat in the UK.

Me
Yeah but you grew up in this kind of heat in Pun  ","2018-07-27 11:50:51","FALSE","1","2","1","Climate","Punjab","India",FALSE
"28","RT @Nawaiwaqt_:            
 ","2018-07-27 10:04:32","TRUE","1","0","1","Climate","Punjab","India",FALSE
"29","           
 ","2018-07-27 10:01:42","FALSE","1","13","1","Climate","Punjab","India",FALSE
"30","BreakingNews
              
Islamabad Punjab  ","2018-07-27 05:40:38","FALSE","0","11","1","Climate","Punjab","India",FALSE
"31","Rain graces Lahore as
weather in Punjab turns
pleasant
@ARYNEWSFAN","2018-07-27 01:24:56","FALSE","0","0","1","Climate","Punjab","India",FALSE
"32","Rain graces Lahore as weather in Punjab turns pleasant  ","2018-07-27 01:19:22","FALSE","1","14","0","Climate","Punjab","India",FALSE
"33","RT @SkymetWeather: Punjab and Haryana: Moderate rain with isolated heavy falls over both the states during the next 24 hours.  ","2018-07-27 00:29:48","TRUE","3","0","0","Climate","Punjab","India",FALSE
"34","RT @SkymetWeather: Hindi: , ,         I  ","2018-07-27 00:28:39","TRUE","1","0","0","Climate","Punjab","India",FALSE
"35","Hindi: , ,         I  ","2018-07-26 15:30:17","FALSE","1","7","0","Climate","Punjab","India",FALSE
"36","RT @pmln_progress: It has 21 bus stations, with 14 stations at elevated and seven stations at ground level. The bus stations have been cons","2018-07-26 14:12:53","TRUE","31","0","1","Climate","Punjab","India",FALSE
"37","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-26 13:35:20","TRUE","169","0","0","Climate","Punjab","India",FALSE
"38","RT @SkymetWeather: Monsoon will remain vigorous over WestBengal, North MadhyaPradesh, parts of Punjab, Delhi, Uttarakhand, and Himac","2018-07-26 12:49:33","TRUE","4","0","-2","Climate","Punjab","India",FALSE
"39","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-26 12:08:10","TRUE","169","0","0","Climate","Punjab","India",TRUE
"40","RT @SkymetWeather: Monsoon will remain vigorous over WestBengal, North MadhyaPradesh, parts of Punjab, Delhi, Uttarakhand, and Himac","2018-07-26 11:42:07","TRUE","4","0","0","Climate","Punjab","India",TRUE
"41","RT @SkymetWeather: Monsoon will remain vigorous over WestBengal, North MadhyaPradesh, parts of Punjab, Delhi, Uttarakhand, and Himac","2018-07-26 11:41:14","TRUE","4","0","0","Climate","Punjab","India",TRUE
"42","RT @SkymetWeather: Monsoon will remain vigorous over WestBengal, North MadhyaPradesh, parts of Punjab, Delhi, Uttarakhand, and Himac","2018-07-26 11:40:50","TRUE","4","0","0","Climate","Punjab","India",TRUE
"43","Monsoon will remain vigorous over WestBengal, North MadhyaPradesh, parts of Punjab, Delhi, Uttarakhand, and  ","2018-07-26 11:40:49","FALSE","4","16","0","Climate","Punjab","India",FALSE
"44","RT @SkymetWeather: Fairly widespread rain is expected over North MadhyaPradesh, West UttarPradesh, East Rajasthan, Punjab, Haryana, C","2018-07-26 10:44:54","TRUE","6","0","-1","Climate","Punjab","India",FALSE
"45","RT @SkymetWeather: Punjab and Haryana: Moderate rain with isolated heavy falls over both the states during the next 24 hours.  ","2018-07-26 09:15:59","TRUE","3","0","0","Climate","Punjab","India",TRUE
"46","Rains lash parts of Punjab, Haryana...  ","2018-07-26 08:49:11","FALSE","0","0","0","Climate","Punjab","India",FALSE
"47","Punjab and Haryana: Moderate rain with isolated heavy falls over both the states during the next 24 hours.  ","2018-07-26 08:31:34","FALSE","3","11","0","Climate","Punjab","India",FALSE
"48","RT @SkymetWeather: Fairly widespread rain is expected over North MadhyaPradesh, West UttarPradesh, East Rajasthan, Punjab, Haryana, C","2018-07-26 08:01:55","TRUE","6","0","0","Climate","Punjab","India",TRUE
"49","RT @SkymetWeather: Fairly widespread rain is expected over North MadhyaPradesh, West UttarPradesh, East Rajasthan, Punjab, Haryana, C","2018-07-26 08:01:46","TRUE","6","0","0","Climate","Punjab","India",TRUE
"50","RT @SkymetWeather: Fairly widespread rain is expected over North MadhyaPradesh, West UttarPradesh, East Rajasthan, Punjab, Haryana, C","2018-07-26 08:00:18","TRUE","6","0","0","Climate","Punjab","India",TRUE
"51","Fairly widespread rain is expected over North MadhyaPradesh, West UttarPradesh, East Rajasthan, Punjab,  ","2018-07-26 08:00:18","FALSE","6","7","0","Climate","Punjab","India",FALSE
"52","RT @Micks_it: A big thank you to all polling staff across the country, for working in different weather conditions, 
In Punjab especially s","2018-07-26 07:58:07","TRUE","4","0","1","Climate","Punjab","India",FALSE
"53","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-26 07:00:30","TRUE","169","0","1","Climate","Punjab","India",TRUE
"54","Same! I gotta talk to them about what theyre eating, their health, the damn time difference and the weather. The s  ","2018-07-26 05:53:37","FALSE","0","0","1","Climate","Punjab","India",FALSE
"55","Yeh dhandhli nahi dhandhala hai. Weather forecast dekho sab, pooray punjab main kaheen mausam kharab nahin hai. Yeh  ","2018-07-25 23:13:18","FALSE","0","3","0","Climate","Punjab","India",FALSE
"56","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 22:27:08","TRUE","169","0","1","Climate","Punjab","India",TRUE
"57","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 19:08:52","TRUE","169","0","0","Climate","Punjab","India",TRUE
"58","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 18:19:47","TRUE","169","0","0","Climate","Punjab","India",TRUE
"59","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 18:18:40","TRUE","169","0","0","Climate","Punjab","India",TRUE
"60","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 16:24:25","TRUE","169","0","0","Climate","Punjab","India",TRUE
"61","RT @SkymetWeather: Monsoon performance in Punjab so far:  ","2018-07-25 15:31:53","TRUE","1","0","0","Climate","Punjab","India",FALSE
"62","Monsoon performance in Punjab so far:  ","2018-07-25 15:30:02","FALSE","1","7","0","Climate","Punjab","India",FALSE
"63","RT @Micks_it: A big thank you to all polling staff across the country, for working in different weather conditions, 
In Punjab especially s","2018-07-25 14:48:53","TRUE","4","0","0","Climate","Punjab","India",TRUE
"64","RT @Micks_it: A big thank you to all polling staff across the country, for working in different weather conditions, 
In Punjab especially s","2018-07-25 14:36:21","TRUE","4","0","0","Climate","Punjab","India",TRUE
"65","RT @Micks_it: A big thank you to all polling staff across the country, for working in different weather conditions, 
In Punjab especially s","2018-07-25 14:20:44","TRUE","4","0","0","Climate","Punjab","India",TRUE
"66","A big thank you to all polling staff across the country, for working in different weather conditions, 
In Punjab es  ","2018-07-25 13:58:25","FALSE","4","36","0","Climate","Punjab","India",FALSE
"67","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 13:47:31","TRUE","169","0","0","Climate","Punjab","India",TRUE
"68","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 13:47:00","TRUE","169","0","0","Climate","Punjab","India",TRUE
"69","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 13:33:29","TRUE","169","0","-2","Climate","Punjab","India",TRUE
"70","@husainhaqqani Who told you its extreme hot it was raining &amp; soft season not sure if u are referring to Baluchista  ","2018-07-25 13:32:31","FALSE","0","0","2","Climate","Punjab","India",FALSE
"71","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 13:15:09","TRUE","169","0","0","Climate","Punjab","India",TRUE
"72","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 13:14:32","TRUE","169","0","0","Climate","Punjab","India",TRUE
"73","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 13:11:46","TRUE","169","0","1","Climate","Punjab","India",TRUE
"74","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 13:09:56","TRUE","169","0","0","Climate","Punjab","India",TRUE
"75","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 12:55:40","TRUE","169","0","1","Climate","Punjab","India",TRUE
"76","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 12:54:27","TRUE","169","0","0","Climate","Punjab","India",TRUE
"77","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 12:49:57","TRUE","169","0","0","Climate","Punjab","India",TRUE
"78","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 12:42:42","TRUE","169","0","0","Climate","Punjab","India",TRUE
"79","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 12:24:18","TRUE","169","0","0","Climate","Punjab","India",TRUE
"80","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 12:23:27","TRUE","169","0","0","Climate","Punjab","India",TRUE
"81","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 12:07:18","TRUE","169","0","0","Climate","Punjab","India",TRUE
"82","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 12:00:34","TRUE","169","0","0","Climate","Punjab","India",TRUE
"83","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 11:54:18","TRUE","169","0","0","Climate","Punjab","India",TRUE
"84","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 11:49:18","TRUE","169","0","1","Climate","Punjab","India",TRUE
"85","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 11:44:15","TRUE","169","0","0","Climate","Punjab","India",TRUE
"86","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 11:43:54","TRUE","169","0","0","Climate","Punjab","India",TRUE
"87","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 11:38:58","TRUE","169","0","1","Climate","Punjab","India",TRUE
"88","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 11:32:24","TRUE","169","0","0","Climate","Punjab","India",TRUE
"89","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 11:29:44","TRUE","169","0","1","Climate","Punjab","India",TRUE
"90","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 11:28:51","TRUE","169","0","1","Climate","Punjab","India",TRUE
"91","RT @ranjha001: Rain started in different parts of Punjab, weather is very pleasant .. Get out and vote .. Make it a 60% turnout  .. SherAa","2018-07-25 11:24:55","TRUE","169","0","0","Climate","Punjab","India",TRUE
