"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 11:45:49","TRUE","5","0","-1","Culture","Punjab","India",FALSE
"2","@afatqiamat @odysseuslahori @ashweenii @Chohan1954 Punjab should not be bisected. Our religious and cultural differ  ","2018-07-29 11:31:53","FALSE","0","0","-1","Culture","Punjab","India",FALSE
"3","Roots and spices: A saga of Punjabs food and culture | The Indian Express  ","2018-07-29 10:55:02","FALSE","0","0","-1","Culture","Punjab","India",FALSE
"4","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 10:40:21","TRUE","5","0","0","Culture","Punjab","India",TRUE
"5","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 10:39:00","TRUE","5","0","-1","Culture","Punjab","India",TRUE
"6","@TanveerMasoodDK Bhai honestly abb Khan ka vote Bank bn gya h..Next election m. Show o ga.. Q k Khan sb IA deliver  ","2018-07-29 10:05:35","FALSE","0","1","3","Culture","Punjab","India",FALSE
"7","RT @IndianExpress: SundayEYE | Food is the centrepiece of any journey that you associate with Punjab. It is a saga of Punjabs culture, he","2018-07-29 09:40:18","TRUE","8","0","1","Culture","Punjab","India",FALSE
"8","RT @IndianExpress: SundayEYE | Food is the centrepiece of any journey that you associate with Punjab. It is a saga of Punjabs culture, he","2018-07-29 09:18:06","TRUE","8","0","1","Culture","Punjab","India",TRUE
"9","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 09:00:36","TRUE","5","0","0","Culture","Punjab","India",TRUE
"10","RT @virkamu: I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer. The food, m","2018-07-29 08:58:41","TRUE","5","0","1","Culture","Punjab","India",TRUE
"11","I meet so many punjabis from both India n Pakistan n I feel that division thru Punjab has made all parties poorer.  ","2018-07-29 08:57:42","FALSE","5","8","1","Culture","Punjab","India",FALSE
"12","Dog Race In Bhakkar Punjab Pakistan 2018 | Kuton Ki Dour | Best Muqabala | Punjab Culture Part 6:  ","2018-07-29 08:32:35","FALSE","0","0","-2","Culture","Punjab","India",FALSE
"13","RT @IndianExpress: SundayEYE | Food is the centrepiece of any journey that you associate with Punjab. It is a saga of Punjabs culture, he","2018-07-29 08:02:04","TRUE","8","0","1","Culture","Punjab","India",TRUE
"14","@situationsarah @PTIofficial An urban design policy is in order. We need to formalise Urban design and Landscape Ar  ","2018-07-29 06:56:46","FALSE","0","0","0","Culture","Punjab","India",FALSE
"15","Finding Punjabs food history, beyond the stereotypes. Food is the centrepiece of any journey that you associate wi  ","2018-07-29 06:38:39","FALSE","0","5","1","Culture","Punjab","India",FALSE
