"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @KhanAmerKhan: Salute Maam. You are truly an Iron Lady. Pakistan really deserves your services at much larger scale and platform. We ho","2018-07-29 12:27:15","TRUE","96","0","-1","Education","Punjab","India",FALSE
"2","RT @KhanAmerKhan: Salute Maam. You are truly an Iron Lady. Pakistan really deserves your services at much larger scale and platform. We ho","2018-07-29 11:41:08","TRUE","96","0","-1","Education","Punjab","India",TRUE
"3","RT @KhanAmerKhan: Salute Maam. You are truly an Iron Lady. Pakistan really deserves your services at much larger scale and platform. We ho","2018-07-29 11:37:32","TRUE","96","0","-1","Education","Punjab","India",TRUE
"4","Jobs Punjab Ranjer..
Age..18 to 30 
 ","2018-07-29 11:06:39","FALSE","0","0","0","Education","Punjab","India",FALSE
"5","In my point of view, PTI leadership should bestow Ministry of Education to Dr.Yasmeen Rashid because the constituen  ","2018-07-29 11:05:42","FALSE","0","0","-1","Education","Punjab","India",FALSE
"6","@AimenZahraKhan Budget abadi k hisab se bara h yaar bht se development hove h health, education, hr hisab se punjab  ","2018-07-29 11:04:00","FALSE","0","1","3","Education","Punjab","India",FALSE
"7","RT @KhanAmerKhan: Salute Maam. You are truly an Iron Lady. Pakistan really deserves your services at much larger scale and platform. We ho","2018-07-29 11:02:52","TRUE","96","0","1","Education","Punjab","India",TRUE
"8","@hansbadvi @khan_ki_cheeti President Justice Nasira Iqbal ko hona chahiye

Naeem Bokhati Governor Punjab

Education  ","2018-07-29 10:04:10","FALSE","0","0","1","Education","Punjab","India",FALSE
"9","RT @KhanAmerKhan: Salute Maam. You are truly an Iron Lady. Pakistan really deserves your services at much larger scale and platform. We ho","2018-07-29 10:02:29","TRUE","96","0","0","Education","Punjab","India",TRUE
"10","RT @KhanAmerKhan: Salute Maam. You are truly an Iron Lady. Pakistan really deserves your services at much larger scale and platform. We ho","2018-07-29 09:44:11","TRUE","96","0","1","Education","Punjab","India",TRUE
"11","AND YEH LOG PUNJAB KO KITNA KHRAB KARENGA! AT LEAST KEEP EDUCATION STANDARD UP. -  ","2018-07-29 09:37:46","FALSE","0","0","1","Education","Punjab","India",FALSE
"12","Teachers Training Session on Drug Use Prevention held at Punjab School K.K.S, organized by Drug Advisory Training H  ","2018-07-29 09:15:37","FALSE","0","0","-2","Education","Punjab","India",FALSE
"13","Teachers Training Session on Drug Use Prevention held at Punjab School K.K.S, organized by Drug Advisory Training H  ","2018-07-29 09:14:39","FALSE","0","0","1","Education","Punjab","India",TRUE
"14","Teachers Training Session on Drug Use Prevention held at Punjab School K.K.S, organized by Drug Advisory Training H  ","2018-07-29 09:13:34","FALSE","0","1","0","Education","Punjab","India",TRUE
"15","Teachers Training Session on Drug Use Prevention held at Punjab School K.K.S, organized by Drug Advisory Training H  ","2018-07-29 09:12:17","FALSE","0","2","1","Education","Punjab","India",TRUE
"16","@iamhamzaabbasi @Naghman11774533 I am not a big fan of PTI but I wish PTI's government in Punjab. May be they compu  ","2018-07-29 09:05:37","FALSE","0","0","1","Education","Punjab","India",FALSE
"17","RT @KhanAmerKhan: Salute Maam. You are truly an Iron Lady. Pakistan really deserves your services at much larger scale and platform. We ho","2018-07-29 09:01:45","TRUE","96","0","0","Education","Punjab","India",TRUE
"18","Dr Yasmeen Rashid is a brave lady, highly educated and, an honest politician.
In my opinion, she is the best candid  ","2018-07-29 08:55:21","FALSE","0","0","1","Education","Punjab","India",FALSE
"19","Dr Yasmeen Rashid is a brave lady, highly educated and, an honest politician.
In my opinion, she is the best candid  ","2018-07-29 08:52:21","FALSE","0","0","1","Education","Punjab","India",TRUE
"20","@CMShehbaz What about legal right of each Pakistani.were u able to provide free health education job security clean  ","2018-07-29 08:32:10","FALSE","0","0","0","Education","Punjab","India",FALSE
"21","RT @KhanAmerKhan: Salute Maam. You are truly an Iron Lady. Pakistan really deserves your services at much larger scale and platform. We ho","2018-07-29 08:19:29","TRUE","96","0","0","Education","Punjab","India",TRUE
"22","@w_saeed108 @Nid0_0 @aleemkhan_pti If theres no option of CM from central punjab or south punjab..... and Cm should  ","2018-07-29 08:17:55","FALSE","0","2","1","Education","Punjab","India",FALSE
"23","@hillbilly_28 @Fahdhusain he chanted it because dollar to pkr ratio was up to 130, punjab police performance is not  ","2018-07-29 07:57:10","FALSE","0","0","0","Education","Punjab","India",FALSE
"24","punjab Ranjers jobs 2018 
Dara Ghazi Khan Divion Last date 10,11,13, August 2018
age 18-30  Education 10th  qad 5.7  ","2018-07-29 06:45:44","FALSE","0","0","1","Education","Punjab","India",FALSE
"25","RT @shebazfotostet: Jobs in Pakistan Ranger Punjab 
Post Sapahi
Education 
Matric
FA
Age : 18 to 30
Last Date Mianwali City 
13 August to 1","2018-07-29 05:58:08","TRUE","1","0","0","Education","Punjab","India",FALSE
