"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @HTPunjab: Neighbour couple held for murder of retired govt music teacher in Amritsar
 ","2018-07-29 11:27:35","TRUE","1","0","-1","Education","Punjab","India",FALSE
"2","Neighbour couple held for murder of retired govt music teacher in Amritsar
 ","2018-07-29 09:10:00","FALSE","1","1","-1","Education","Punjab","India",FALSE
"3","RT @HTPunjab: Neighbour couple held for murder of retired govt music teacher in Amritsar
 ","2018-07-29 06:09:05","TRUE","1","0","-1","Education","Punjab","India",TRUE
"4","Neighbour couple held for murder of retired govt music teacher in Amritsar
 ","2018-07-29 05:43:44","FALSE","1","0","0","Education","Punjab","India",TRUE
"5","Neighbour couple held for murder of retired govt music teacher in Amritsar - Hindustan Times  ","2018-07-29 05:40:27","FALSE","0","0","-1","Education","Punjab","India",FALSE
"6","Secy raids schools, suspends teacher for using mobile phone  ","2018-07-29 02:50:30","FALSE","0","0","3","Education","Punjab","India",FALSE
"7","Punjab: Secy raids schools, suspends teacher for using mobile phone
 ","2018-07-28 22:30:11","FALSE","0","0","1","Education","Punjab","India",FALSE
"8","As a teacher, doctor, intellectual &amp; politician Professor @Dr_YasminRashid deserves to be next Chief Minister of Pu  ","2018-07-28 20:10:02","FALSE","0","0","1","Education","Punjab","India",FALSE
"9","Secy raids schools, suspends teacher for using mobile phone - The Tribune  ","2018-07-28 20:07:34","FALSE","0","0","0","Education","Punjab","India",FALSE
"10","RT @HabibSulemani: @BhittaniKhannnn As a teacher, doctor, intellectual &amp; politician Professor @Dr_YasminRashid deserves to be next Chief Mi","2018-07-28 19:54:39","TRUE","2","0","1","Education","Punjab","India",FALSE
"11","RT @HabibSulemani: @BhittaniKhannnn As a teacher, doctor, intellectual &amp; politician Professor @Dr_YasminRashid deserves to be next Chief Mi","2018-07-28 19:49:46","TRUE","2","0","1","Education","Punjab","India",TRUE
"12","@BhittaniKhannnn As a teacher, doctor, intellectual &amp; politician Professor @Dr_YasminRashid deserves to be next Chi  ","2018-07-28 19:45:22","FALSE","2","3","-2","Education","Punjab","India",FALSE
"13","RT @masumarana: dryasmeenforCM I fully support my teacher and mentor @imrankhanpti She has the best administrative abilities CM Punjab! @D","2018-07-28 19:28:20","TRUE","1","0","1","Education","Punjab","India",FALSE
"14","dryasmeenforCM I fully support my teacher and mentor @imrankhanpti She has the best administrative abilities CM Punjab! @Dr_YasminRashid","2018-07-28 18:10:35","FALSE","1","4","0","Education","Punjab","India",FALSE
"15","@RehamKhan1 This lady is proud of Pakistan and teacher of many renowned surgeons in punjab .Yasmeen Rashid CMPunjan","2018-07-28 17:32:42","FALSE","0","1","1","Education","Punjab","India",FALSE
"16","@capt_amarinder @INCPunjab @PunjabPolice               ","2018-07-28 17:29:17","FALSE","0","0","1","Education","Punjab","India",FALSE
"17","RT @umair13344: DrYasminRashid The teacher of all the teachers, educated and dedicated. Who served the nation for 4 decades she should be","2018-07-28 11:35:10","TRUE","1","0","0","Education","Punjab","India",FALSE
"18","DrYasminRashid The teacher of all the teachers, educated and dedicated. Who served the nation for 4 decades she sh  ","2018-07-28 10:54:34","FALSE","1","1","1","Education","Punjab","India",FALSE
"19","JHANJAR TV NEWS FROM PUNJAB GIDARBAHA ITT TEACHER SHOT HIMSELF WHILE IN THE CAR IN GIDARBAHA JULY,27:  ","2018-07-27 18:30:53","FALSE","0","0","1","Education","Punjab","India",FALSE
"20","Strongly condemn these political statements from PMLN, PPPP, MMA, TLP, MQM etc.
If you are TEACHER , and you are ag  ","2018-07-27 16:52:56","FALSE","0","0","0","Education","Punjab","India",FALSE
"21","Boss I am a student of punjab college...Hamary college mn bhi darakhat lagany ky liey August ka 2nd week selected h  ","2018-07-27 14:00:07","FALSE","0","1","0","Education","Punjab","India",FALSE
"22","@OfficeOfRSP @rsprasad @ndtv @ZeeNews @timesofindia @republic @aajtak @the_hindu @htTweets @DAINIKJAGRANdel 34-year  ","2018-07-27 08:06:18","FALSE","0","0","1","Education","Punjab","India",FALSE
"23","we demand atleast one Hec recognized University (not campus) in every district of punjab. its is very necessary to  ","2018-07-27 03:27:40","FALSE","0","0","0","Education","Punjab","India",FALSE
"24","Free and fair election has done.we request to election commision and Punjab govt,plz left the bane on transfers of  ","2018-07-27 03:24:07","FALSE","0","1","1","Education","Punjab","India",FALSE
"25","Teacher shoots self in car Gidderbaha Muktsar Punjab @thetribunechd  ","2018-07-27 01:25:36","FALSE","0","0","0","Education","Punjab","India",FALSE
"26","@Asad_Umar   sir main punjab govt main as a school teacher 
Senior elementery school teacher BPS 15 kam kar rha hon  ","2018-07-26 17:55:05","FALSE","0","0","0","Education","Punjab","India",FALSE
"27","@inspiringaffan   aslam o alikum dear shah sahib kesy han ap???
sir kia apka personal contact imran khan sahib sy h  ","2018-07-26 17:43:31","FALSE","0","0","1","Education","Punjab","India",FALSE
"28","@PrakashJavdekar m a school teacher in punjab just few kms from border line. My school lack classrooms. Students si  ","2018-07-26 16:39:23","FALSE","0","0","1","Education","Punjab","India",FALSE
"29"," ","2018-07-26 09:01:04","FALSE","0","0","1","Education","Punjab","India",FALSE
"30","Ludhiana Govt teacher booked for sexually harassing class X girl 
Education Punjab

 ","2018-07-26 08:59:52","FALSE","0","1","1","Education","Punjab","India",FALSE
"31","@passportsevamea My mom was born in Punjab and got job as a teacher in Punjab state before marriage. Afterwards she  ","2018-07-26 05:53:31","FALSE","0","0","1","Education","Punjab","India",FALSE
"32","RT @sifchandigarh: After doing heinous crime n booked under POCSO a teacher got bail for being a lady.
No merits f d case looked at, no s","2018-07-26 03:04:20","TRUE","93","0","0","Education","Punjab","India",FALSE
"33","           ,       ","2018-07-26 02:43:37","FALSE","0","3","0","Education","Punjab","India",FALSE
"34","RT @sifchandigarh: After doing heinous crime n booked under POCSO a teacher got bail for being a lady.
No merits f d case looked at, no s","2018-07-25 17:29:31","TRUE","93","0","0","Education","Punjab","India",TRUE
"35","PSEB Notice regarding Station Allotment to candidates of Master Cadre 3582 posts. Check here. TeachMatters.  ","2018-07-25 16:48:10","FALSE","0","1","0","Education","Punjab","India",FALSE
"36","RT @thetribunechd: Punjab: Policy on hold, yet teacher transfers on
 ","2018-07-25 14:20:32","TRUE","1","0","1","Education","Punjab","India",FALSE
"37","RT @sifchandigarh: After doing heinous crime n booked under POCSO a teacher got bail for being a lady.
No merits f d case looked at, no s","2018-07-25 12:40:48","TRUE","93","0","0","Education","Punjab","India",TRUE
"38","      
 ","2018-07-25 10:19:54","FALSE","0","0","-2","Education","Punjab","India",FALSE
"39","Punjab: Policy on hold, yet teacher transfers on
 ","2018-07-25 04:37:43","FALSE","1","1","0","Education","Punjab","India",FALSE
"40","RT @sifchandigarh: After doing heinous crime n booked under POCSO a teacher got bail for being a lady.
No merits f d case looked at, no s","2018-07-24 17:13:57","TRUE","93","0","0","Education","Punjab","India",TRUE
"41","Govt school teacher accused of harassing class 10 student in Punjab  ","2018-07-24 15:51:18","FALSE","0","0","0","Education","Punjab","India",FALSE
"42","@UjaLa1391993 @jigrrrrrr @diyar_e_dill99 @MaryamM57096688 @queen_of_punjab @Rasib635 @MirzaIm36830569 @IMTIAZ__MHR  ","2018-07-24 14:38:58","FALSE","0","2","0","Education","Punjab","India",FALSE
"43","[Punjab]

Teacher- beta bolo O
Kid- O
Teacher- haan aage bolo
Kid- O meri Bottle  kithe Gayi oye","2018-07-24 14:20:41","FALSE","0","0","0","Education","Punjab","India",FALSE
"44","[Punjab]

Teacher- beta bolo O
Kid- O
Teacher- haan aage bolo
Kid- O mayijhawa kithe Gaya oye","2018-07-24 14:13:09","FALSE","0","0","-1","Education","Punjab","India",FALSE
"45","RT @NabheWalaRaman: [Punjab]

Teacher- beta bolo O
Kid- O
Teacher- haan aage bolo
Kid- Oye hoye k kurian shehar diyan  ","2018-07-24 13:45:03","TRUE","1","0","0","Education","Punjab","India",FALSE
"46","'Eh Feminism??!  ","2018-07-24 12:58:30","FALSE","0","0","0","Education","Punjab","India",FALSE
"47","[Punjab]

Teacher - Beta bolo 'Patiala'
Kid - Patiala
Teacher - Haan aage bolo
Kid - Patiala Peg   ","2018-07-24 12:56:30","FALSE","0","0","0","Education","Punjab","India",FALSE
"48","[Punjab]

Teacher- beta bolo O
Kid- O
Teacher- haan aage bolo
Kid- Oye hoye k kurian shehar diyan  ","2018-07-24 12:46:05","FALSE","1","7","0","Education","Punjab","India",FALSE
"49","RT @SACHKAHOON:         
DIFFERENCE BEAUTIFICATION GOVT SCHOOL MAKING PUNJAB: TEACHE","2018-07-24 04:31:21","TRUE","26","0","0","Education","Punjab","India",FALSE
"50","RT @sifchandigarh: After doing heinous crime n booked under POCSO a teacher got bail for being a lady.
No merits f d case looked at, no s","2018-07-24 02:28:10","TRUE","93","0","0","Education","Punjab","India",TRUE
"51","RT @sifchandigarh: After doing heinous crime n booked under POCSO a teacher got bail for being a lady.
No merits f d case looked at, no s","2018-07-23 14:28:36","TRUE","93","0","0","Education","Punjab","India",TRUE
"52","RT @SACHKAHOON:         
DIFFERENCE BEAUTIFICATION GOVT SCHOOL MAKING PUNJAB: TEACHE","2018-07-23 12:28:11","TRUE","26","0","1","Education","Punjab","India",TRUE
"53","RT @indiacorenews:      15      ,    ","2018-07-23 10:01:32","TRUE","1","0","1","Education","Punjab","India",FALSE
"54","     15      ,    ","2018-07-23 09:48:47","FALSE","1","1","1","Education","Punjab","India",FALSE
