"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","DHFW Recruitment Notification 2018  11 Punjab Psychiatrist Jobs @ ","2018-07-29 12:32:25","FALSE","0","0","-1","Employment","Punjab","India",FALSE
"2","RT @HarsimratBadal_: Inaugurated LOTS Wholesale Solutions first mega store New Delhi.LOTS has committed Rs 1000 Cr to establish operations","2018-07-28 03:15:03","TRUE","142","0","-1","Employment","Punjab","India",FALSE
"3","RT @ashk_sunita: News: 'khadi's self employed and employment generation' | '       ', State News in Hindi","2018-07-27 19:05:16","TRUE","3","0","-1","Employment","Punjab","India",FALSE
"4","RT @ashk_sunita: News: 'khadi's self employed and employment generation' | '       ', State News in Hindi","2018-07-27 18:58:30","TRUE","3","0","0","Employment","Punjab","India",TRUE
"5","RT @ashk_sunita: News: 'khadi's self employed and employment generation' | '       ', State News in Hindi","2018-07-27 18:28:42","TRUE","3","0","-1","Employment","Punjab","India",TRUE
"6","News: 'khadi's self employed and employment generation' | '       ', State News in  ","2018-07-27 18:28:27","FALSE","3","3","3","Employment","Punjab","India",FALSE
"7","RT @girirajsinghbjp:          ","2018-07-27 17:27:34","TRUE","39","0","1","Employment","Punjab","India",FALSE
"8","@Areeshahaha Why not?
Do you know the stats about quota system?
Do you the employment % of karachites?
Punjab main  ","2018-07-27 17:24:05","FALSE","0","0","1","Employment","Punjab","India",FALSE
"9","RT @girirajsinghbjp:          ","2018-07-27 16:59:43","TRUE","39","0","0","Employment","Punjab","India",TRUE
"10","RT @girirajsinghbjp:          ","2018-07-27 16:47:10","TRUE","39","0","1","Employment","Punjab","India",TRUE
"11","Election khatam, election ka result bhi aagaya ab NayaPakistan ki baat shuro karte hai country problem ki baat kar  ","2018-07-27 13:31:26","FALSE","0","0","1","Employment","Punjab","India",FALSE
"12","RT @girirajsinghbjp:          ","2018-07-27 08:36:08","TRUE","39","0","-2","Employment","Punjab","India",TRUE
"13","RT @girirajsinghbjp:          ","2018-07-27 08:04:40","TRUE","39","0","1","Employment","Punjab","India",TRUE
"14","RT @girirajsinghbjp:          ","2018-07-27 08:03:11","TRUE","39","0","0","Employment","Punjab","India",TRUE
"15","RT @girirajsinghbjp:          ","2018-07-27 07:42:00","TRUE","39","0","1","Employment","Punjab","India",TRUE
"16","RT @girirajsinghbjp:          ","2018-07-27 06:57:01","TRUE","39","0","1","Employment","Punjab","India",TRUE
"17","RT @girirajsinghbjp:          ","2018-07-27 05:31:06","TRUE","39","0","0","Employment","Punjab","India",TRUE
"18","RT @girirajsinghbjp:          ","2018-07-27 05:27:59","TRUE","39","0","1","Employment","Punjab","India",TRUE
"19","RT @girirajsinghbjp:          ","2018-07-27 05:00:35","TRUE","39","0","1","Employment","Punjab","India",TRUE
"20","RT @girirajsinghbjp:          ","2018-07-27 04:14:56","TRUE","39","0","0","Employment","Punjab","India",TRUE
"21","RT @girirajsinghbjp:          ","2018-07-27 04:03:19","TRUE","39","0","0","Employment","Punjab","India",TRUE
"22","RT @girirajsinghbjp:          ","2018-07-27 03:26:54","TRUE","39","0","1","Employment","Punjab","India",TRUE
"23","RT @girirajsinghbjp:          ","2018-07-27 03:17:03","TRUE","39","0","0","Employment","Punjab","India",TRUE
"24","RT @girirajsinghbjp:          ","2018-07-27 03:09:59","TRUE","39","0","1","Employment","Punjab","India",TRUE
"25","RT @girirajsinghbjp:          ","2018-07-27 02:43:29","TRUE","39","0","0","Employment","Punjab","India",TRUE
"26","RT @girirajsinghbjp:          ","2018-07-27 02:39:03","TRUE","39","0","0","Employment","Punjab","India",TRUE
"27","RT @girirajsinghbjp:          ","2018-07-27 02:35:40","TRUE","39","0","1","Employment","Punjab","India",TRUE
"28","RT @girirajsinghbjp:          ","2018-07-27 02:34:19","TRUE","39","0","1","Employment","Punjab","India",TRUE
"29","RT @girirajsinghbjp:          ","2018-07-27 02:31:58","TRUE","39","0","1","Employment","Punjab","India",TRUE
"30","RT @girirajsinghbjp:          ","2018-07-27 02:29:15","TRUE","39","0","1","Employment","Punjab","India",TRUE
"31","RT @girirajsinghbjp:          ","2018-07-27 02:29:12","TRUE","39","0","1","Employment","Punjab","India",TRUE
"32","RT @girirajsinghbjp:          ","2018-07-27 02:28:59","TRUE","39","0","0","Employment","Punjab","India",TRUE
"33","RT @girirajsinghbjp:          ","2018-07-27 02:26:07","TRUE","39","0","0","Employment","Punjab","India",TRUE
"34","RT @girirajsinghbjp:          ","2018-07-27 02:25:14","TRUE","39","0","0","Employment","Punjab","India",TRUE
"35","RT @girirajsinghbjp:          ","2018-07-27 02:18:20","TRUE","39","0","0","Employment","Punjab","India",TRUE
"36","RT @girirajsinghbjp:          ","2018-07-27 02:15:56","TRUE","39","0","1","Employment","Punjab","India",TRUE
"37","RT @girirajsinghbjp:          ","2018-07-27 02:12:52","TRUE","39","0","0","Employment","Punjab","India",TRUE
"38","RT @girirajsinghbjp:          ","2018-07-27 02:12:49","TRUE","39","0","-2","Employment","Punjab","India",TRUE
"39","RT @girirajsinghbjp:          ","2018-07-27 02:12:10","TRUE","39","0","0","Employment","Punjab","India",TRUE
"40","RT @girirajsinghbjp:          ","2018-07-27 02:12:10","TRUE","39","0","0","Employment","Punjab","India",TRUE
