"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","1 kanal house available for sale in Block K, Valencia Housing Society, Lahore

 ","2018-07-29 12:00:01","FALSE","0","0","-1","Real Estate Value","Punjab","India",FALSE
"2","According to property dealers the net worth of Governor Punjab House is worth multi billions. Some say for around 5  ","2018-07-29 10:01:19","FALSE","0","1","-1","Real Estate Value","Punjab","India",FALSE
"3","RT @ItsSumiyya: Check the mentality.. Punjab is not their personal property  ","2018-07-29 09:48:07","TRUE","9","0","-1","Real Estate Value","Punjab","India",FALSE
"4","@satiawais Yes he has become hot property after Punjab Elections results","2018-07-29 09:15:34","FALSE","0","0","0","Real Estate Value","Punjab","India",FALSE
"5","ETRealty | Punjab completes 1.4 lakh online property registrations  ","2018-07-29 09:00:31","FALSE","0","0","-1","Real Estate Value","Punjab","India",FALSE
"6","10 marla house available for sale in Block L, Phase 6, DHA, Lahore

 ","2018-07-29 09:00:12","FALSE","0","0","3","Real Estate Value","Punjab","India",FALSE
"7","@INCIndia @narendramodi @narendramodi_in @PMOIndia @ArvindKejriwal @ANI @ndtv @asaadowaisi @sambitswaraj  ","2018-07-29 06:55:23","FALSE","0","0","1","Real Estate Value","Punjab","India",FALSE
"8","1 kanal house available for rent in Block E, Jubilee Town

 ","2018-07-29 06:00:01","FALSE","0","0","1","Real Estate Value","Punjab","India",FALSE
"9","@capt_amarinder hello sir main naveen mahajan  punjab president incr team. captain sab n.o.c nu band kita jaye tus  ","2018-07-29 03:56:50","FALSE","0","1","0","Real Estate Value","Punjab","India",FALSE
"10","Punjab completes 1.4 lakh online property registrations  ","2018-07-29 03:45:41","FALSE","0","1","1","Real Estate Value","Punjab","India",FALSE
"11","RT @ItsSumiyya: Check the mentality.. Punjab is not their personal property  ","2018-07-28 15:18:13","TRUE","9","0","1","Real Estate Value","Punjab","India",TRUE
"12","5 marla house available for sale in Rose Garden-Bahria Town, Near Eden Canal Villas

 ","2018-07-28 15:00:13","FALSE","0","1","-2","Real Estate Value","Punjab","India",FALSE
"13","RT @ItsSumiyya: Check the mentality.. Punjab is not their personal property  ","2018-07-28 14:32:49","TRUE","9","0","1","Real Estate Value","Punjab","India",TRUE
"14","RT @ItsSumiyya: Check the mentality.. Punjab is not their personal property  ","2018-07-28 14:11:19","TRUE","9","0","0","Real Estate Value","Punjab","India",TRUE
"15","RT @ItsSumiyya: Check the mentality.. Punjab is not their personal property  ","2018-07-28 14:05:16","TRUE","9","0","1","Real Estate Value","Punjab","India",TRUE
"16","RT @ItsSumiyya: Check the mentality.. Punjab is not their personal property  ","2018-07-28 14:00:53","TRUE","9","0","1","Real Estate Value","Punjab","India",TRUE
"17","RT @ItsSumiyya: Check the mentality.. Punjab is not their personal property  ","2018-07-28 14:00:52","TRUE","9","0","0","Real Estate Value","Punjab","India",TRUE
"18","RT @ItsSumiyya: Check the mentality.. Punjab is not their personal property  ","2018-07-28 14:00:26","TRUE","9","0","1","Real Estate Value","Punjab","India",TRUE
"19","Check the mentality.. Punjab is not their personal property  ","2018-07-28 13:57:02","FALSE","9","19","1","Real Estate Value","Punjab","India",FALSE
"20","2 kanal house available for sale in Block D, Valencia Housing Society, Lahore

 ","2018-07-28 12:00:14","FALSE","0","0","0","Real Estate Value","Punjab","India",FALSE
"21","@RahulGandhi control corruption in Punjab Mandi Board rajinder pal singh sandhu who has 200 time excess property th  ","2018-07-28 10:51:44","FALSE","0","0","0","Real Estate Value","Punjab","India",FALSE
"22","RT @ArsalaanNazar: Qabza maafia, Property Dealer, NAB Mulzim Aleem Khan next CM Punjab? Then tata to PTi from my side

@geonews_urdu @ARYNE","2018-07-28 10:04:18","TRUE","2","0","1","Real Estate Value","Punjab","India",FALSE
"23","RT @ArsalaanNazar: Qabza maafia, Property Dealer, NAB Mulzim Aleem Khan next CM Punjab? Then tata to PTi from my side

@geonews_urdu @ARYNE","2018-07-28 09:27:58","TRUE","2","0","0","Real Estate Value","Punjab","India",TRUE
"24","8 kanal plot available for sale in Chaudhary Farm House Society, Barki Road, Lahore

 ","2018-07-28 09:00:00","FALSE","0","2","1","Real Estate Value","Punjab","India",FALSE
"25"," @RahulGandhi       NiravModi      property ()   ","2018-07-28 08:58:24","FALSE","0","0","0","Real Estate Value","Punjab","India",FALSE
"26","1 kanal house available for sale in Block L, Phase 6, DHA, Lahore

 ","2018-07-28 06:00:30","FALSE","0","0","0","Real Estate Value","Punjab","India",FALSE
"27","We want PTI government in Punjab also.
PTI  LovePak LoveArmedForces LoveIK
Good Bye Plmn Pakistan is not your property.","2018-07-28 04:00:55","FALSE","0","0","1","Real Estate Value","Punjab","India",FALSE
"28","Qabza maafia, Property Dealer, NAB Mulzim Aleem Khan next CM Punjab? Then tata to PTi from my side

@geonews_urdu  ","2018-07-27 20:09:29","FALSE","2","2","1","Real Estate Value","Punjab","India",FALSE
"29","Qabza maafia, Property Dealer, NAB Mulzim Aleem Khan next CM Punjab? Then tata to PTi from my side","2018-07-27 20:07:30","FALSE","0","1","1","Real Estate Value","Punjab","India",FALSE
"30","RT @rearthought29: @soldier7867 @TanvirAmmad Is the law same for both..even Aleem Khan..
What come out of this case....he is also found gui","2018-07-27 19:02:07","TRUE","1","0","1","Real Estate Value","Punjab","India",FALSE
"31","@soldier7867 @TanvirAmmad Is the law same for both..even Aleem Khan..
What come out of this case....he is also foun  ","2018-07-27 18:50:17","FALSE","1","0","1","Real Estate Value","Punjab","India",FALSE
