"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Back to Lahore :-) (@ Allama Iqbal International Airport (LHE)       in Lahore, Punjab  ","2018-07-29 11:35:20","FALSE","0","1","-1","Transportation","Punjab","India",FALSE
"2","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-29 08:45:42","TRUE","50","0","-1","Transportation","Punjab","India",FALSE
"3","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-29 07:02:02","TRUE","50","0","-1","Transportation","Punjab","India",TRUE
"4","Punjab govt should also start Volvo bus service from key cites of Punjab to Amritsar international Airport  ","2018-07-29 05:46:26","FALSE","1","5","0","Transportation","Punjab","India",FALSE
"5","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-29 05:37:15","TRUE","50","0","-1","Transportation","Punjab","India",TRUE
"6","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-29 05:26:03","TRUE","50","0","3","Transportation","Punjab","India",TRUE
"7","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-29 05:21:26","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"8","200 square feet plot available :

Sector 74A , Mohali ( Punjab )
North East facing 
Park in front 
Near to Airport  ","2018-07-29 04:31:34","FALSE","0","1","1","Transportation","Punjab","India",FALSE
"9","@ArifAlvi Karachi Airport FIA do same always! It happened with me before and asked that why Punjab Residence use to  ","2018-07-28 17:40:48","FALSE","0","0","0","Transportation","Punjab","India",FALSE
"10","@Umerfarooqrana4 @pmln_org_punjab Party he Ganwa de Jab Party RehNuMa Sy Airport MiLny Nahi Ja Saky LoGo Ny to Phir  ","2018-07-28 15:50:40","FALSE","0","0","1","Transportation","Punjab","India",FALSE
"11","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 15:50:33","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"12","Punjab Vidhan Sabha Speaker Rana K.P Singh wrote to the Minister of External Affairs, Sushma Swaraj, seeking an act  ","2018-07-28 14:51:54","FALSE","0","0","-2","Transportation","Punjab","India",FALSE
"13","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 14:47:13","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"14","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 14:40:20","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"15","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 14:09:05","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"16","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 14:00:50","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"17","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 13:15:20","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"18","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 13:14:30","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"19","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 13:07:19","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"20","@CMShehbaz has a mindset of a CM. He still believes that he is CM Punjab and not President of PML-N. He was unable  ","2018-07-28 12:40:16","FALSE","0","0","0","Transportation","Punjab","India",FALSE
"21","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 10:24:30","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"22","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 10:22:30","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"23","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 10:13:02","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"24","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 10:11:00","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"25","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 10:10:00","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"26","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 09:57:56","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"27","@CMShehbaz I really feel shame that I was kissing your car I a rally to lahore airport couple of weeks ago. My lead  ","2018-07-28 09:21:01","FALSE","0","0","1","Transportation","Punjab","India",FALSE
"28","I'm at Muhammad Bin Qasim International Airport (MUX)        in Multn, Punjab  ","2018-07-28 09:07:17","FALSE","0","0","1","Transportation","Punjab","India",FALSE
"29","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 08:53:55","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"30","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 08:43:50","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"31","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 08:42:48","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"32","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 08:42:38","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"33","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 08:31:02","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"34","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 08:08:31","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"35","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 07:43:14","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"36","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 07:42:40","TRUE","50","0","1","Transportation","Punjab","India",TRUE
"37","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 07:08:21","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"38","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 05:28:31","TRUE","50","0","-2","Transportation","Punjab","India",TRUE
"39","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 05:06:21","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"40","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 04:54:58","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"41","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 04:51:57","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"42","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 04:48:52","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"43","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 04:48:12","TRUE","50","0","0","Transportation","Punjab","India",TRUE
"44","RT @shwait_malik: Overwhelmed to see the love of people Of Amritsar who gathered in Thousands of numbers at my Arrival at Amritsar Airport.","2018-07-28 04:45:45","TRUE","50","0","-1","Transportation","Punjab","India",TRUE
