"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @RajasthanPMC: Law &amp; order situation is one of the most neglected aspects in Rajasthan and Govt is unable to control the crime or goons","2018-07-29 14:01:35","TRUE","34","0","-1","Crime Rate","Rajasthan","India",FALSE
"2","RT @ChhattisgarhPMC:   18  44       ,          RajasthanHo","2018-07-29 13:59:44","TRUE","57","0","-1","Crime Rate","Rajasthan","India",FALSE
"3","RT @RajasthanPMC: Law &amp; order situation is one of the most neglected aspects in Rajasthan and Govt is unable to control the crime or goons","2018-07-29 13:59:22","TRUE","34","0","-1","Crime Rate","Rajasthan","India",TRUE
"4","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 13:45:47","TRUE","38","0","0","Crime Rate","Rajasthan","India",FALSE
"5","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 12:23:59","TRUE","38","0","-1","Crime Rate","Rajasthan","India",TRUE
"6","RT @hisamuddink51:                          ","2018-07-29 12:13:46","TRUE","13","0","3","Crime Rate","Rajasthan","India",FALSE
"7","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 12:12:32","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"8","         7     ,        ","2018-07-29 11:46:56","FALSE","0","0","1","Crime Rate","Rajasthan","India",FALSE
"9","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 11:27:54","TRUE","38","0","0","Crime Rate","Rajasthan","India",TRUE
"10","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 11:24:52","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"11","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 11:10:40","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"12","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 11:05:34","TRUE","38","0","-2","Crime Rate","Rajasthan","India",TRUE
"13","RT @hisamuddink51:                          ","2018-07-29 10:57:56","TRUE","13","0","1","Crime Rate","Rajasthan","India",TRUE
"14","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:46:20","TRUE","38","0","0","Crime Rate","Rajasthan","India",TRUE
"15","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:45:44","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"16","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:39:59","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"17","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:39:50","TRUE","38","0","0","Crime Rate","Rajasthan","India",TRUE
"18","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:34:47","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"19","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:31:57","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"20","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:28:49","TRUE","38","0","0","Crime Rate","Rajasthan","India",TRUE
"21","RT @srdarapuri:      !  ","2018-07-29 10:27:48","TRUE","1","0","0","Crime Rate","Rajasthan","India",FALSE
"22","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:26:53","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"23","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:22:56","TRUE","38","0","0","Crime Rate","Rajasthan","India",TRUE
"24","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:22:36","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"25","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:21:28","TRUE","38","0","0","Crime Rate","Rajasthan","India",TRUE
"26","     ,     
 ","2018-07-29 10:18:49","FALSE","0","0","0","Crime Rate","Rajasthan","India",FALSE
"27","PCPNDT :        ,  
 ","2018-07-29 10:17:37","FALSE","0","0","1","Crime Rate","Rajasthan","India",FALSE
"28","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 10:13:32","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"29","         ,          
rape Rajasthan  ","2018-07-29 10:07:11","FALSE","0","1","1","Crime Rate","Rajasthan","India",FALSE
"30","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 09:57:00","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"31","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 09:55:59","TRUE","38","0","1","Crime Rate","Rajasthan","India",TRUE
"32","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 09:54:23","TRUE","38","0","0","Crime Rate","Rajasthan","India",TRUE
"33","RT @VirginBhaijaan: Difference between two people who has done crime.

Sanjay Dutt : accepts openly he has done Mistakes.

Criminal Chakka","2018-07-29 09:44:18","TRUE","38","0","0","Crime Rate","Rajasthan","India",TRUE
