"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Dk_sainii114: @KTRTRS Govt school alwar Rajasthan  ","2018-07-29 13:42:41","TRUE","10","0","-1","Education","Rajasthan","India",FALSE
"2","RT @Dk_sainii114: @KTRTRS Govt school alwar Rajasthan  ","2018-07-29 13:24:06","TRUE","10","0","-1","Education","Rajasthan","India",TRUE
"3","RT @Zoheb_Sh: :, ,    

 ","2018-07-29 13:23:59","TRUE","56","0","-1","Education","Rajasthan","India",FALSE
"4","RT @Dk_sainii114: @KTRTRS Govt school alwar Rajasthan  ","2018-07-29 13:23:27","TRUE","10","0","0","Education","Rajasthan","India",TRUE
"5","RT @Dk_sainii114: @KTRTRS Govt school alwar Rajasthan  ","2018-07-29 13:22:49","TRUE","10","0","-1","Education","Rajasthan","India",TRUE
"6","@shyamlee_r @ashu3page Shyamlee ji,ye sab jhoota propaganda hai media+AAP ka,is corrupt saanp KEJRIWAL ne barbaad k  ","2018-07-29 10:27:09","FALSE","0","0","3","Education","Rajasthan","India",FALSE
"7","@Shehzad_Ind @PositiveInd2019 Please @Shehzad_Ind bhai! Help these poor kids by tweeting this to @VasundharaBJP.Poo  ","2018-07-29 10:08:42","FALSE","0","0","1","Education","Rajasthan","India",FALSE
"8","RT @1stIndiaNews: _              Jodhpur Rajasthan  ","2018-07-29 10:02:49","TRUE","5","0","1","Education","Rajasthan","India",FALSE
"9","@ArvindKejriwal This is library of model school of small town of rajasthan ...and there are many more model schools  ","2018-07-29 08:47:42","FALSE","0","0","0","Education","Rajasthan","India",FALSE
"10","RT @JainNirmal: IIFL CSR intuitive to educate out-of-school girls in Rajasthan villages covered in Times Now programme to be telecast tomor","2018-07-29 08:07:05","TRUE","15","0","1","Education","Rajasthan","India",FALSE
"11","RT @1stIndiaNews: _              Jodhpur Rajasthan  ","2018-07-29 06:47:14","TRUE","5","0","1","Education","Rajasthan","India",TRUE
"12","      ,          ","2018-07-29 06:02:49","FALSE","0","4","-2","Education","Rajasthan","India",FALSE
"13","RT @Dk_sainii114: @KTRTRS Govt school alwar Rajasthan  ","2018-07-29 04:44:28","TRUE","10","0","1","Education","Rajasthan","India",TRUE
"14","RT @1stIndiaNews: _              Jodhpur Rajasthan  ","2018-07-29 04:42:36","TRUE","5","0","0","Education","Rajasthan","India",TRUE
"15","_              Jodhpur Rajasthan  ","2018-07-29 04:19:19","FALSE","5","7","1","Education","Rajasthan","India",FALSE
"16","RT @JainNirmal: IIFL CSR intuitive to educate out-of-school girls in Rajasthan villages covered in Times Now programme to be telecast tomor","2018-07-29 04:18:45","TRUE","15","0","1","Education","Rajasthan","India",TRUE
"17","RT @JainNirmal: IIFL CSR intuitive to educate out-of-school girls in Rajasthan villages covered in Times Now programme to be telecast tomor","2018-07-29 02:41:16","TRUE","15","0","0","Education","Rajasthan","India",TRUE
"18","RT @ZeeNewsHindi:           ,   

 ","2018-07-29 01:37:52","TRUE","5","0","1","Education","Rajasthan","India",FALSE
"19","RT @Dk_sainii114: @KTRTRS Govt school alwar Rajasthan  ","2018-07-29 00:51:45","TRUE","10","0","1","Education","Rajasthan","India",TRUE
