"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @1stIndiaNews: Jaipur Rajasthan : -  AnandpalSingh     @IncomeTaxIndia    ","2018-07-29 06:52:29","TRUE","7","0","-1","Real Estate Value","Rajasthan","India",FALSE
"2","RT @rstaxconsultant: How to calculate income from house property for income tax purposes Taxconsultant charteredaccountant gstconsulta","2018-07-29 05:18:47","TRUE","1","0","-1","Real Estate Value","Rajasthan","India",FALSE
"3","RT @1stIndiaNews: Jaipur Rajasthan : -  AnandpalSingh     @IncomeTaxIndia    ","2018-07-29 00:52:57","TRUE","7","0","-1","Real Estate Value","Rajasthan","India",TRUE
"4","RT @1stIndiaNews: Jaipur Rajasthan : -  AnandpalSingh     @IncomeTaxIndia    ","2018-07-28 11:41:29","TRUE","7","0","0","Real Estate Value","Rajasthan","India",TRUE
"5","Jaipur Rajasthan : -  AnandpalSingh     @IncomeTaxIndia    ","2018-07-28 11:31:17","FALSE","7","13","-1","Real Estate Value","Rajasthan","India",FALSE
"6","RT @rstaxconsultant: How to calculate income from house property for income tax purposes Taxconsultant charteredaccountant gstconsulta","2018-07-28 04:40:18","TRUE","2","0","3","Real Estate Value","Rajasthan","India",TRUE
"7","RT @anilsharma45: What is happening to law and order situation in Rajasthan...it is turning from bad to worse.... 
 ","2018-07-27 20:16:56","TRUE","1","0","1","Real Estate Value","Rajasthan","India",FALSE
"8","       -  ,    ,     churu  ","2018-07-27 16:50:00","FALSE","0","5","1","Real Estate Value","Rajasthan","India",FALSE
"9","What is happening to law and order situation in Rajasthan...it is turning from bad to worse....  ","2018-07-27 16:25:55","FALSE","1","2","0","Real Estate Value","Rajasthan","India",FALSE
"10","        ,        ","2018-07-27 13:54:20","FALSE","0","0","1","Real Estate Value","Rajasthan","India",FALSE
"11","Hi, we are happy to share with you that the coverage of our project Vardhmans Horizon would be telecasted on comin  ","2018-07-27 09:34:32","FALSE","0","1","1","Real Estate Value","Rajasthan","India",FALSE
"12","Commercial Property for Purchase, Sale and Lease !!

Search offices, shops, retail, industrial, development and  ","2018-07-27 06:13:59","FALSE","0","1","-2","Real Estate Value","Rajasthan","India",FALSE
"13","RT @ShankhNaad: Confessions of Cow Smugglers maybe now you can take action against Cow killers. It's sad when common MAN has to take justic","2018-07-26 19:00:44","TRUE","96","0","1","Real Estate Value","Rajasthan","India",FALSE
"14","Looking for Agricultural Properties in Jaipur, Rajasthan ?

If you are wanting to buy some rural property and lan  ","2018-07-26 10:35:58","FALSE","0","1","0","Real Estate Value","Rajasthan","India",FALSE
"15","RT @tanmayj41128048: Second- Take a strong stand on Cow Smuggling &amp; ensure that Cow protectors should not left to fend for themselves regar","2018-07-26 07:00:48","TRUE","1","0","1","Real Estate Value","Rajasthan","India",FALSE
"16","Second- Take a strong stand on Cow Smuggling &amp; ensure that Cow protectors should not left to fend for themselves re  ","2018-07-26 06:57:49","FALSE","1","1","1","Real Estate Value","Rajasthan","India",FALSE
"17","RT @rstaxconsultant: How to calculate income from house property for income tax purposes Taxconsultant charteredaccountant gstconsulta","2018-07-26 00:32:55","TRUE","2","0","0","Real Estate Value","Rajasthan","India",TRUE
"18","RT @rstaxconsultant: How to calculate income from house property for income tax purposes Taxconsultant charteredaccountant gstconsulta","2018-07-26 00:32:51","TRUE","1","0","1","Real Estate Value","Rajasthan","India",TRUE
