"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Panchkuta is now ready to be served with poori, rice , plain paratha.

Search out best restaurant in Jaipur, Rajast  ","2018-07-28 09:42:20","FALSE","0","0","-1","Food","Rajasthan","India",FALSE
"2","Who would like to spend their weekend at this beautiful heritage restaurant build inside a monument? Raise your han  ","2018-07-28 05:51:19","FALSE","0","0","-1","Food","Rajasthan","India",FALSE
"3","Restaurant Management Software Market Top Companies, Business Opportunities, Leading Players, Insights Shared In De  ","2018-07-27 04:47:04","FALSE","0","0","-1","Food","Rajasthan","India",FALSE
"4","(c) apologize and offer to improve
Increasingly, many service providers are trying out a 4th option - fighting back  ","2018-07-27 04:42:39","FALSE","0","0","0","Food","Rajasthan","India",FALSE
"5","Foodiefriday
FoodLove Foodcoma Foodgasm friday fridaymotivation TravelQuote Travel Brand TravelDiaries  ","2018-07-27 04:30:00","FALSE","0","0","-1","Food","Rajasthan","India",FALSE
"6","Leaving everything you're doing and read the negative reviews of this restaurant at Sarjapur. On @Zomato Savagery a  ","2018-07-25 15:33:54","FALSE","0","4","3","Food","Rajasthan","India",FALSE
"7","RT @HybridKashmiri: Petrol is more valuable? How come? I thought cow piss is the most miraculous and precious nectar. 
And this Rajasthan i","2018-07-25 13:35:50","TRUE","1","0","1","Food","Rajasthan","India",FALSE
"8",". Jayant Kripalani says ""Sign in Rajasthan restaurant: OPEN FOR BREAKFAST, LYNCH AND DINNER""  ","2018-07-25 06:39:47","FALSE","0","0","1","Food","Rajasthan","India",FALSE
"9","RT @JayantKripalani: Sign in Rajasthan restaurant:
OPEN FOR BREAKFAST, LYNCH AND DINNER","2018-07-25 04:34:43","TRUE","1","0","0","Food","Rajasthan","India",FALSE
"10","Sign in Rajasthan restaurant:
OPEN FOR BREAKFAST, LYNCH AND DINNER","2018-07-25 01:43:11","FALSE","1","7","1","Food","Rajasthan","India",FALSE
"11","This customer service reply from RRajasthan restaurant in Sarjapur on @ZomatoIN is pure arrogance.  Zomato 

 ","2018-07-24 14:17:49","FALSE","0","0","1","Food","Rajasthan","India",FALSE
"12","Govindam retreat pure veg. restaurant..!!
Contact Us  9929949258
Visit Us -  ","2018-07-24 09:19:41","FALSE","0","0","-2","Food","Rajasthan","India",FALSE
"13","Petrol is more valuable? How come? I thought cow piss is the most miraculous and precious nectar. 
And this Rajasth  ","2018-07-24 08:10:04","FALSE","1","2","1","Food","Rajasthan","India",FALSE
"14","Enjoy the delightful Rajasthani cuisine at our restaurant in a serene ambience and add a new chapter to your explor  ","2018-07-24 05:19:26","FALSE","0","3","0","Food","Rajasthan","India",FALSE
"15","Give your taste/stommy the full freedom, Experiece the dining buffet at @LordsJodhpur

Reserve your table now:  ","2018-07-24 03:30:01","FALSE","0","2","1","Food","Rajasthan","India",FALSE
"16","Alwar is the place in Rajasthan where I stayed for a month and literally went mad searching for red meat. Also, alm  ","2018-07-22 06:01:45","FALSE","0","0","1","Food","Rajasthan","India",FALSE
"17","@Divya190697 Good that u already have restaurant to try new dishes. I will visit ur restaurant someday in my family vacation to Rajasthan.","2018-07-21 19:01:21","FALSE","0","1","0","Food","Rajasthan","India",FALSE
"18"," :          ","2018-07-21 15:08:16","FALSE","0","0","1","Food","Rajasthan","India",FALSE
"19","Govindam Retreat preserving the significance of Rajasthani culture and heritage. 
DINE WITH YOUR FAMILY &amp; FRIENDS A  ","2018-07-21 08:11:45","FALSE","0","0","1","Food","Rajasthan","India",FALSE
"20","Its a indian project about hotel and restaurant having office in Rajasthan, so all those who wanted to buy please g  ","2018-07-20 21:56:11","FALSE","0","0","0","Food","Rajasthan","India",FALSE
"21","RT @hariyani_india: As You Are In Rajasthan 
Your Weight Increase 
(Rajasthan Is My AMA home )  feeling full at Virasat Heritage Resta","2018-07-20 19:09:35","TRUE","1","0","0","Food","Rajasthan","India",FALSE
"22","As You Are In Rajasthan 
Your Weight Increase 
(Rajasthan Is My AMA home )  feeling full at Virasat Heritage R  ","2018-07-20 18:58:15","FALSE","1","0","1","Food","Rajasthan","India",FALSE
"23","Foodiefriday
FoodLove Foodcoma Foodgasm friday fridaymotivation TravelQuote Travel Brand TravelDiaries  ","2018-07-20 04:30:00","FALSE","0","1","0","Food","Rajasthan","India",TRUE
"24","Panchkuta is now ready to be served with poori, rice , plain paratha.

Search out best restaurant in Jaipur, Rajast  ","2018-07-28 09:42:20","FALSE","0","0","1","Food","Rajasthan","India",TRUE
"25","Who would like to spend their weekend at this beautiful heritage restaurant build inside a monument? Raise your han  ","2018-07-28 05:51:19","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"26","Restaurant Management Software Market Top Companies, Business Opportunities, Leading Players, Insights Shared In De  ","2018-07-27 04:47:04","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"27","(c) apologize and offer to improve
Increasingly, many service providers are trying out a 4th option - fighting back  ","2018-07-27 04:42:39","FALSE","0","0","1","Food","Rajasthan","India",TRUE
"28","Foodiefriday
FoodLove Foodcoma Foodgasm friday fridaymotivation TravelQuote Travel Brand TravelDiaries  ","2018-07-27 04:30:00","FALSE","0","0","1","Food","Rajasthan","India",TRUE
"29","Leaving everything you're doing and read the negative reviews of this restaurant at Sarjapur. On @Zomato Savagery a  ","2018-07-25 15:33:54","FALSE","0","4","1","Food","Rajasthan","India",TRUE
"30","RT @HybridKashmiri: Petrol is more valuable? How come? I thought cow piss is the most miraculous and precious nectar. 
And this Rajasthan i","2018-07-25 13:35:50","TRUE","1","0","1","Food","Rajasthan","India",TRUE
"31",". Jayant Kripalani says ""Sign in Rajasthan restaurant: OPEN FOR BREAKFAST, LYNCH AND DINNER""  ","2018-07-25 06:39:47","FALSE","0","0","1","Food","Rajasthan","India",TRUE
"32","RT @JayantKripalani: Sign in Rajasthan restaurant:
OPEN FOR BREAKFAST, LYNCH AND DINNER","2018-07-25 04:34:43","TRUE","1","0","0","Food","Rajasthan","India",TRUE
"33","Sign in Rajasthan restaurant:
OPEN FOR BREAKFAST, LYNCH AND DINNER","2018-07-25 01:43:11","FALSE","1","7","0","Food","Rajasthan","India",TRUE
"34","This customer service reply from RRajasthan restaurant in Sarjapur on @ZomatoIN is pure arrogance.  Zomato 

 ","2018-07-24 14:17:49","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"35","Govindam retreat pure veg. restaurant..!!
Contact Us  9929949258
Visit Us -  ","2018-07-24 09:19:41","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"36","Petrol is more valuable? How come? I thought cow piss is the most miraculous and precious nectar. 
And this Rajasth  ","2018-07-24 08:10:04","FALSE","1","2","1","Food","Rajasthan","India",TRUE
"37","Enjoy the delightful Rajasthani cuisine at our restaurant in a serene ambience and add a new chapter to your explor  ","2018-07-24 05:19:26","FALSE","0","3","0","Food","Rajasthan","India",TRUE
"38","Give your taste/stommy the full freedom, Experiece the dining buffet at @LordsJodhpur

Reserve your table now:  ","2018-07-24 03:30:01","FALSE","0","2","-2","Food","Rajasthan","India",TRUE
"39","Alwar is the place in Rajasthan where I stayed for a month and literally went mad searching for red meat. Also, alm  ","2018-07-22 06:01:45","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"40","@Divya190697 Good that u already have restaurant to try new dishes. I will visit ur restaurant someday in my family vacation to Rajasthan.","2018-07-21 19:01:21","FALSE","0","1","0","Food","Rajasthan","India",TRUE
"41"," :          ","2018-07-21 15:08:16","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"42","Govindam Retreat preserving the significance of Rajasthani culture and heritage. 
DINE WITH YOUR FAMILY &amp; FRIENDS A  ","2018-07-21 08:11:45","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"43","Its a indian project about hotel and restaurant having office in Rajasthan, so all those who wanted to buy please g  ","2018-07-20 21:56:11","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"44","RT @hariyani_india: As You Are In Rajasthan 
Your Weight Increase 
(Rajasthan Is My AMA home )  feeling full at Virasat Heritage Resta","2018-07-20 19:09:35","TRUE","1","0","-1","Food","Rajasthan","India",TRUE
"45","As You Are In Rajasthan 
Your Weight Increase 
(Rajasthan Is My AMA home )  feeling full at Virasat Heritage R  ","2018-07-20 18:58:15","FALSE","1","0","0","Food","Rajasthan","India",TRUE
"46","Foodiefriday
FoodLove Foodcoma Foodgasm friday fridaymotivation TravelQuote Travel Brand TravelDiaries  ","2018-07-20 04:30:00","FALSE","0","1","0","Food","Rajasthan","India",TRUE
"47","Panchkuta is now ready to be served with poori, rice , plain paratha.

Search out best restaurant in Jaipur, Rajast  ","2018-07-28 09:42:20","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"48","Who would like to spend their weekend at this beautiful heritage restaurant build inside a monument? Raise your han  ","2018-07-28 05:51:19","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"49","Restaurant Management Software Market Top Companies, Business Opportunities, Leading Players, Insights Shared In De  ","2018-07-27 04:47:04","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"50","(c) apologize and offer to improve
Increasingly, many service providers are trying out a 4th option - fighting back  ","2018-07-27 04:42:39","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"51","Foodiefriday
FoodLove Foodcoma Foodgasm friday fridaymotivation TravelQuote Travel Brand TravelDiaries  ","2018-07-27 04:30:00","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"52","Leaving everything you're doing and read the negative reviews of this restaurant at Sarjapur. On @Zomato Savagery a  ","2018-07-25 15:33:54","FALSE","0","4","1","Food","Rajasthan","India",TRUE
"53","RT @HybridKashmiri: Petrol is more valuable? How come? I thought cow piss is the most miraculous and precious nectar. 
And this Rajasthan i","2018-07-25 13:35:50","TRUE","1","0","1","Food","Rajasthan","India",TRUE
"54",". Jayant Kripalani says ""Sign in Rajasthan restaurant: OPEN FOR BREAKFAST, LYNCH AND DINNER""  ","2018-07-25 06:39:47","FALSE","0","0","1","Food","Rajasthan","India",TRUE
"55","RT @JayantKripalani: Sign in Rajasthan restaurant:
OPEN FOR BREAKFAST, LYNCH AND DINNER","2018-07-25 04:34:43","TRUE","1","0","0","Food","Rajasthan","India",TRUE
"56","Sign in Rajasthan restaurant:
OPEN FOR BREAKFAST, LYNCH AND DINNER","2018-07-25 01:43:11","FALSE","1","7","1","Food","Rajasthan","India",TRUE
"57","This customer service reply from RRajasthan restaurant in Sarjapur on @ZomatoIN is pure arrogance.  Zomato 

 ","2018-07-24 14:17:49","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"58","Govindam retreat pure veg. restaurant..!!
Contact Us  9929949258
Visit Us -  ","2018-07-24 09:19:41","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"59","Petrol is more valuable? How come? I thought cow piss is the most miraculous and precious nectar. 
And this Rajasth  ","2018-07-24 08:10:04","FALSE","1","2","0","Food","Rajasthan","India",TRUE
"60","Enjoy the delightful Rajasthani cuisine at our restaurant in a serene ambience and add a new chapter to your explor  ","2018-07-24 05:19:26","FALSE","0","3","0","Food","Rajasthan","India",TRUE
"61","Give your taste/stommy the full freedom, Experiece the dining buffet at @LordsJodhpur

Reserve your table now:  ","2018-07-24 03:30:01","FALSE","0","2","0","Food","Rajasthan","India",TRUE
"62","Alwar is the place in Rajasthan where I stayed for a month and literally went mad searching for red meat. Also, alm  ","2018-07-22 06:01:45","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"63","@Divya190697 Good that u already have restaurant to try new dishes. I will visit ur restaurant someday in my family vacation to Rajasthan.","2018-07-21 19:01:21","FALSE","0","1","0","Food","Rajasthan","India",TRUE
"64"," :          ","2018-07-21 15:08:16","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"65","Govindam Retreat preserving the significance of Rajasthani culture and heritage. 
DINE WITH YOUR FAMILY &amp; FRIENDS A  ","2018-07-21 08:11:45","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"66","Its a indian project about hotel and restaurant having office in Rajasthan, so all those who wanted to buy please g  ","2018-07-20 21:56:11","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"67","RT @hariyani_india: As You Are In Rajasthan 
Your Weight Increase 
(Rajasthan Is My AMA home )  feeling full at Virasat Heritage Resta","2018-07-20 19:09:35","TRUE","1","0","0","Food","Rajasthan","India",TRUE
"68","As You Are In Rajasthan 
Your Weight Increase 
(Rajasthan Is My AMA home )  feeling full at Virasat Heritage R  ","2018-07-20 18:58:15","FALSE","1","0","0","Food","Rajasthan","India",TRUE
"69","Foodiefriday
FoodLove Foodcoma Foodgasm friday fridaymotivation TravelQuote Travel Brand TravelDiaries  ","2018-07-20 04:30:00","FALSE","0","1","-2","Food","Rajasthan","India",TRUE
"70","Panchkuta is now ready to be served with poori, rice , plain paratha.

Search out best restaurant in Jaipur, Rajast  ","2018-07-28 09:42:20","FALSE","0","0","2","Food","Rajasthan","India",TRUE
"71","Who would like to spend their weekend at this beautiful heritage restaurant build inside a monument? Raise your han  ","2018-07-28 05:51:19","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"72","Restaurant Management Software Market Top Companies, Business Opportunities, Leading Players, Insights Shared In De  ","2018-07-27 04:47:04","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"73","(c) apologize and offer to improve
Increasingly, many service providers are trying out a 4th option - fighting back  ","2018-07-27 04:42:39","FALSE","0","0","1","Food","Rajasthan","India",TRUE
"74","Foodiefriday
FoodLove Foodcoma Foodgasm friday fridaymotivation TravelQuote Travel Brand TravelDiaries  ","2018-07-27 04:30:00","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"75","Leaving everything you're doing and read the negative reviews of this restaurant at Sarjapur. On @Zomato Savagery a  ","2018-07-25 15:33:54","FALSE","0","4","1","Food","Rajasthan","India",TRUE
"76","RT @HybridKashmiri: Petrol is more valuable? How come? I thought cow piss is the most miraculous and precious nectar. 
And this Rajasthan i","2018-07-25 13:35:50","TRUE","1","0","0","Food","Rajasthan","India",TRUE
"77",". Jayant Kripalani says ""Sign in Rajasthan restaurant: OPEN FOR BREAKFAST, LYNCH AND DINNER""  ","2018-07-25 06:39:47","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"78","RT @JayantKripalani: Sign in Rajasthan restaurant:
OPEN FOR BREAKFAST, LYNCH AND DINNER","2018-07-25 04:34:43","TRUE","1","0","0","Food","Rajasthan","India",TRUE
"79","Sign in Rajasthan restaurant:
OPEN FOR BREAKFAST, LYNCH AND DINNER","2018-07-25 01:43:11","FALSE","1","7","0","Food","Rajasthan","India",TRUE
"80","This customer service reply from RRajasthan restaurant in Sarjapur on @ZomatoIN is pure arrogance.  Zomato 

 ","2018-07-24 14:17:49","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"81","Govindam retreat pure veg. restaurant..!!
Contact Us  9929949258
Visit Us -  ","2018-07-24 09:19:41","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"82","Petrol is more valuable? How come? I thought cow piss is the most miraculous and precious nectar. 
And this Rajasth  ","2018-07-24 08:10:04","FALSE","1","2","0","Food","Rajasthan","India",TRUE
"83","Enjoy the delightful Rajasthani cuisine at our restaurant in a serene ambience and add a new chapter to your explor  ","2018-07-24 05:19:26","FALSE","0","3","0","Food","Rajasthan","India",TRUE
"84","Give your taste/stommy the full freedom, Experiece the dining buffet at @LordsJodhpur

Reserve your table now:  ","2018-07-24 03:30:01","FALSE","0","2","1","Food","Rajasthan","India",TRUE
"85","Alwar is the place in Rajasthan where I stayed for a month and literally went mad searching for red meat. Also, alm  ","2018-07-22 06:01:45","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"86","@Divya190697 Good that u already have restaurant to try new dishes. I will visit ur restaurant someday in my family vacation to Rajasthan.","2018-07-21 19:01:21","FALSE","0","1","0","Food","Rajasthan","India",TRUE
"87"," :          ","2018-07-21 15:08:16","FALSE","0","0","1","Food","Rajasthan","India",TRUE
"88","Govindam Retreat preserving the significance of Rajasthani culture and heritage. 
DINE WITH YOUR FAMILY &amp; FRIENDS A  ","2018-07-21 08:11:45","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"89","Its a indian project about hotel and restaurant having office in Rajasthan, so all those who wanted to buy please g  ","2018-07-20 21:56:11","FALSE","0","0","1","Food","Rajasthan","India",TRUE
"90","RT @hariyani_india: As You Are In Rajasthan 
Your Weight Increase 
(Rajasthan Is My AMA home )  feeling full at Virasat Heritage Resta","2018-07-20 19:09:35","TRUE","1","0","1","Food","Rajasthan","India",TRUE
"91","As You Are In Rajasthan 
Your Weight Increase 
(Rajasthan Is My AMA home )  feeling full at Virasat Heritage R  ","2018-07-20 18:58:15","FALSE","1","0","0","Food","Rajasthan","India",TRUE
"92","Foodiefriday
FoodLove Foodcoma Foodgasm friday fridaymotivation TravelQuote Travel Brand TravelDiaries  ","2018-07-20 04:30:00","FALSE","0","1","1","Food","Rajasthan","India",TRUE
"93","Panchkuta is now ready to be served with poori, rice , plain paratha.

Search out best restaurant in Jaipur, Rajast  ","2018-07-28 09:42:20","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"94","Who would like to spend their weekend at this beautiful heritage restaurant build inside a monument? Raise your han  ","2018-07-28 05:51:19","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"95","Restaurant Management Software Market Top Companies, Business Opportunities, Leading Players, Insights Shared In De  ","2018-07-27 04:47:04","FALSE","0","0","0","Food","Rajasthan","India",TRUE
"96","(c) apologize and offer to improve
Increasingly, many service providers are trying out a 4th option - fighting back  ","2018-07-27 04:42:39","FALSE","0","0","0","Food","Rajasthan","India",TRUE
