"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-29 07:48:35","TRUE","121","0","-1","Transportation","Rajasthan","India",FALSE
"2","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-29 04:16:14","TRUE","121","0","-1","Transportation","Rajasthan","India",TRUE
"3","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 18:37:20","TRUE","121","0","-1","Transportation","Rajasthan","India",TRUE
"4","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 18:28:01","TRUE","121","0","0","Transportation","Rajasthan","India",TRUE
"5","RT @OffficeRGFan: Example of RajasthanHorror
That Before Taking Mob Victim To Hospital, Rajasthan Cops Arranged Cow Shelter - NDTV   ","2018-07-28 18:23:55","TRUE","17","0","-1","Transportation","Rajasthan","India",FALSE
"6","RT @abhasbhatnagar: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajas","2018-07-28 17:44:09","TRUE","27","0","3","Transportation","Rajasthan","India",FALSE
"7","RT @abhasbhatnagar: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajas","2018-07-28 17:20:48","TRUE","27","0","1","Transportation","Rajasthan","India",TRUE
"8","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 16:11:49","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"9","This is Rajasthan 's Transport deptt. Chalaan for not wearing helmet of vehical BOLERO Educated staff or not  ","2018-07-28 14:06:04","FALSE","0","0","0","Transportation","Rajasthan","India",FALSE
"10","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 13:06:29","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"11","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 12:35:41","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"12","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 12:18:12","TRUE","121","0","-2","Transportation","Rajasthan","India",TRUE
"13","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 11:43:55","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"14","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 11:33:30","TRUE","121","0","0","Transportation","Rajasthan","India",TRUE
"15","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 11:16:52","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"16","RT @INCIndia_Ankush: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Raja","2018-07-28 11:03:09","TRUE","2","0","1","Transportation","Rajasthan","India",FALSE
"17","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 10:54:55","TRUE","121","0","0","Transportation","Rajasthan","India",TRUE
"18","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 10:16:56","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"19","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 10:05:53","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"20","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 10:02:05","TRUE","121","0","0","Transportation","Rajasthan","India",TRUE
"21","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 09:47:46","TRUE","121","0","0","Transportation","Rajasthan","India",TRUE
"22","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 09:40:02","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"23","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 09:30:54","TRUE","121","0","0","Transportation","Rajasthan","India",TRUE
"24","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 09:22:21","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"25","RT @sumitbhukal4: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasth","2018-07-28 09:18:54","TRUE","8","0","0","Transportation","Rajasthan","India",FALSE
"26","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 09:17:57","TRUE","121","0","0","Transportation","Rajasthan","India",TRUE
"27","RT @UmangSharmaINC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajas","2018-07-28 09:17:33","TRUE","50","0","1","Transportation","Rajasthan","India",FALSE
"28","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 09:15:20","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"29","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 09:13:43","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"30","RT @PunjabPMC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajasthan","2018-07-28 09:07:15","TRUE","121","0","1","Transportation","Rajasthan","India",TRUE
"31","RT @UmangSharmaINC: In BJP's NewIndia, Cow's life is considered more valuable than human life. Before Taking Mob Victim To Hospital, Rajas","2018-07-28 09:05:40","TRUE","50","0","1","Transportation","Rajasthan","India",TRUE
