"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 13:25:21","TRUE","156","0","-1","Transportation","Rajasthan","India",FALSE
"2","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 13:20:55","TRUE","156","0","-1","Transportation","Rajasthan","India",TRUE
"3","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 12:07:54","TRUE","156","0","-1","Transportation","Rajasthan","India",TRUE
"4","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 11:53:39","TRUE","156","0","0","Transportation","Rajasthan","India",TRUE
"5","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 11:43:34","TRUE","156","0","-1","Transportation","Rajasthan","India",TRUE
"6","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 11:34:06","TRUE","156","0","3","Transportation","Rajasthan","India",TRUE
"7","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 11:18:18","TRUE","156","0","1","Transportation","Rajasthan","India",TRUE
"8","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 10:42:19","TRUE","156","0","1","Transportation","Rajasthan","India",TRUE
"9","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 10:42:00","TRUE","156","0","0","Transportation","Rajasthan","India",TRUE
"10","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 10:40:17","TRUE","156","0","1","Transportation","Rajasthan","India",TRUE
"11","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 10:34:45","TRUE","156","0","1","Transportation","Rajasthan","India",TRUE
"12","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 10:29:30","TRUE","156","0","-2","Transportation","Rajasthan","India",TRUE
"13","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 09:36:18","TRUE","156","0","1","Transportation","Rajasthan","India",TRUE
"14","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 09:18:48","TRUE","156","0","0","Transportation","Rajasthan","India",TRUE
"15","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 09:01:45","TRUE","156","0","1","Transportation","Rajasthan","India",TRUE
"16","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 09:01:37","TRUE","156","0","1","Transportation","Rajasthan","India",TRUE
"17","RT @drcpjoshi: Overwhelmed with the people present at the Udaipur airport at the time of my arrival. I feel honored for such love that th","2018-07-29 08:48:26","TRUE","156","0","0","Transportation","Rajasthan","India",TRUE
