"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 14:21:16","TRUE","233","0","-1","Climate","Tamil Nadu","India",FALSE
"2","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 13:58:49","TRUE","233","0","-1","Climate","Tamil Nadu","India",TRUE
"3","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 13:50:30","TRUE","233","0","-1","Climate","Tamil Nadu","India",TRUE
"4","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 13:40:40","TRUE","233","0","0","Climate","Tamil Nadu","India",TRUE
"5","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 13:32:16","TRUE","233","0","-1","Climate","Tamil Nadu","India",TRUE
"6","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 13:22:18","TRUE","233","0","3","Climate","Tamil Nadu","India",TRUE
"7","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 13:22:16","TRUE","233","0","1","Climate","Tamil Nadu","India",TRUE
"8","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 13:12:44","TRUE","233","0","1","Climate","Tamil Nadu","India",TRUE
"9","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 13:03:25","TRUE","233","0","0","Climate","Tamil Nadu","India",TRUE
"10","RT @Ethirajans: PCBL forced to rethink it's proposed 600 Cr investment plans in Tamil Nadu in the wake of protests climate in the state, ma","2018-07-29 12:58:00","TRUE","233","0","1","Climate","Tamil Nadu","India",TRUE
