"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","    -  !

Tamilnadu
weatheraware
weather

 ","2018-07-27 13:00:00","FALSE","1","3","-1","Climate","Tamil Nadu","India",FALSE
"2","    -  !  ","2018-07-27 12:44:34","FALSE","0","0","-1","Climate","Tamil Nadu","India",FALSE
"3","     
Tamilnadu | Rain | Chennai
 ","2018-07-27 10:43:57","FALSE","1","2","-1","Climate","Tamil Nadu","India",FALSE
"4","RT @SkymetWeather: Monsoon rains likely over Chennai, parts of TamilNadu.  ","2018-07-27 00:28:48","TRUE","1","0","0","Climate","Tamil Nadu","India",FALSE
"5","Monsoon rains likely over Chennai, parts of TamilNadu.  ","2018-07-26 14:30:01","FALSE","1","10","-1","Climate","Tamil Nadu","India",FALSE
"6","     - !

TamilNadu
TamilNews
weather

 ","2018-07-26 13:30:00","FALSE","0","0","3","Climate","Tamil Nadu","India",FALSE
"7","     - !  ","2018-07-26 12:18:04","FALSE","0","0","1","Climate","Tamil Nadu","India",FALSE
"8","   -   !

weather
WeatherAlert
WeatherUpdate
India
rain 

 ","2018-07-23 09:30:00","FALSE","0","2","1","Climate","Tamil Nadu","India",FALSE
"9","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient.  Poss","2018-07-23 08:38:51","TRUE","8","0","0","Climate","Tamil Nadu","India",FALSE
"10","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient. Possi","2018-07-23 04:26:47","TRUE","5","0","1","Climate","Tamil Nadu","India",FALSE
"11","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient. Possi","2018-07-23 03:42:35","TRUE","5","0","1","Climate","Tamil Nadu","India",TRUE
"12","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient.  Poss","2018-07-23 03:41:57","TRUE","8","0","-2","Climate","Tamil Nadu","India",TRUE
"13","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient.  Poss","2018-07-23 03:09:20","TRUE","8","0","1","Climate","Tamil Nadu","India",TRUE
"14","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient.  Poss","2018-07-23 02:41:06","TRUE","8","0","0","Climate","Tamil Nadu","India",TRUE
"15","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient.  Poss","2018-07-23 02:31:53","TRUE","8","0","1","Climate","Tamil Nadu","India",TRUE
"16","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient. Possi","2018-07-23 02:31:33","TRUE","5","0","1","Climate","Tamil Nadu","India",TRUE
"17","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient. Possi","2018-07-23 02:27:46","TRUE","5","0","0","Climate","Tamil Nadu","India",TRUE
"18","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient.  Poss","2018-07-23 02:24:17","TRUE","8","0","1","Climate","Tamil Nadu","India",TRUE
"19","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient.  Poss","2018-07-23 02:20:56","TRUE","8","0","1","Climate","Tamil Nadu","India",TRUE
"20","RT @ChennaiRains: Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient. Possi","2018-07-23 02:20:47","TRUE","5","0","0","Climate","Tamil Nadu","India",TRUE
"21","Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient.  ","2018-07-23 02:16:39","FALSE","8","27","0","Climate","Tamil Nadu","India",FALSE
"22","Hot Weather in TamilNadu likely as more clearer skies compared to the past few days could increase heat quotient.  ","2018-07-23 02:16:04","FALSE","5","15","1","Climate","Tamil Nadu","India",TRUE
"23","  ,    !

TamilNadu
Weather
rain

 ","2018-07-22 10:30:00","FALSE","0","0","0","Climate","Tamil Nadu","India",FALSE
"24","I think we should first go for Referendum in each and every state Weather they wnat to stay with Banana Republic or  ","2018-07-21 14:02:53","FALSE","0","2","1","Climate","Tamil Nadu","India",FALSE
"25","RT @news7tamil:     :    !

:  ","2018-07-21 02:59:44","TRUE","1","0","0","Climate","Tamil Nadu","India",FALSE
"26","    :    !

:  ","2018-07-20 11:40:51","FALSE","1","16","0","Climate","Tamil Nadu","India",FALSE
"27","Weather Salem India: 30C; Light rain shower; Wind: 14 Km/h;   ","2018-07-19 16:25:46","FALSE","0","0","1","Climate","Tamil Nadu","India",FALSE
"28","Weather Salem India: 30C; Light rain shower; Wind: 14 Km/h;   ","2018-07-19 16:25:25","FALSE","0","0","1","Climate","Tamil Nadu","India",TRUE
"29","Weather Salem India: 30C; Light rain shower; Wind: 14 Km/h;   ","2018-07-19 16:23:23","FALSE","0","0","1","Climate","Tamil Nadu","India",TRUE
"30","Weather Salem India: 30C; Light rain shower; Wind: 14 Km/h;   ","2018-07-19 16:16:51","FALSE","0","0","1","Climate","Tamil Nadu","India",TRUE
"31","The weather centre has informed that there are strong prospects of heavy rains in 4 districts of Tamil Nadu.  ","2018-07-19 06:34:17","FALSE","0","0","1","Climate","Tamil Nadu","India",FALSE
"32","    -  !

Tamilnadu
weatheraware
weather

 ","2018-07-27 13:00:00","FALSE","1","3","0","Climate","Tamil Nadu","India",TRUE
"33","    -  !  ","2018-07-27 12:44:34","FALSE","0","0","0","Climate","Tamil Nadu","India",TRUE
"34","     
Tamilnadu | Rain | Chennai
 ","2018-07-27 10:43:57","FALSE","1","2","0","Climate","Tamil Nadu","India",TRUE
"35","RT @SkymetWeather: Monsoon rains likely over Chennai, parts of TamilNadu.  ","2018-07-27 00:28:48","TRUE","1","0","0","Climate","Tamil Nadu","India",TRUE
