"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-29 13:16:42","TRUE","1","0","-1","Education","Tamil Nadu","India",FALSE
"2","Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In par  ","2018-07-29 13:15:00","FALSE","1","3","-1","Education","Tamil Nadu","India",FALSE
"3","RT @aswinc: @greatshekhs @nitinmathur @HarvardHBS @Harvard @HarvardUniv By that logic, Raj Bhavan right next to IIT Madras casts aspersions","2018-07-29 12:41:47","TRUE","1","0","-1","Education","Tamil Nadu","India",FALSE
"4","@TrueIndology Traditionally Education is started on Vidyarambham (Vijayadashami day) in Kerala,Tamil Nadu and coast  ","2018-07-29 10:49:45","FALSE","0","0","0","Education","Tamil Nadu","India",FALSE
"5","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-29 08:43:19","TRUE","11","0","-1","Education","Tamil Nadu","India",TRUE
"6","@greatshekhs @nitinmathur @HarvardHBS @Harvard @HarvardUniv By that logic, Raj Bhavan right next to IIT Madras cast  ","2018-07-29 08:08:55","FALSE","1","1","3","Education","Tamil Nadu","India",FALSE
"7","@sarvamshivamm Not just Tamil Nadu except for Telanaga there is no other state wch can come close to Delhi. Ven ppl  ","2018-07-29 01:59:33","FALSE","0","0","1","Education","Tamil Nadu","India",FALSE
"8","@samirsng @ndtv Sahi baat hai apki  Lekin Kiya Apne ek Baat notice Kara hai
Telangana state or Andhra Pradesh or Ta  ","2018-07-28 16:20:23","FALSE","0","0","1","Education","Tamil Nadu","India",FALSE
"9","tamil nadu education system, the health care that prevails in our state, the social equality that our dravidian pol  ","2018-07-28 16:01:46","FALSE","0","0","0","Education","Tamil Nadu","India",FALSE
"10","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-28 14:58:24","TRUE","11","0","1","Education","Tamil Nadu","India",TRUE
"11","RT @prasannavishy: Menstruating Deities And Cultural Illiteracy: There Is A Need To Heal TN Of Social Diseases. 
Tamil TV anchors are mere","2018-07-28 08:44:47","TRUE","36","0","1","Education","Tamil Nadu","India",FALSE
"12","RT @MahilaCongress: The 'Result' of GoBackModi  ??

NEET authorities fail to provide adequate no. of exam centres in the state forcing nea","2018-07-27 13:58:00","TRUE","120","0","-2","Education","Tamil Nadu","India",FALSE
"13","@HRDMinistry @MoHFW_INDIA @PrakashJavdekar @CMOTamilNadu
Un constitutional and unethical by tamil nadu directrotae  ","2018-07-27 09:39:21","FALSE","0","0","1","Education","Tamil Nadu","India",FALSE
"14","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-27 09:18:15","TRUE","11","0","0","Education","Tamil Nadu","India",TRUE
"15","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-27 08:08:06","TRUE","11","0","1","Education","Tamil Nadu","India",TRUE
"16","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-27 07:33:02","TRUE","11","0","1","Education","Tamil Nadu","India",TRUE
"17","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-27 07:19:01","TRUE","11","0","0","Education","Tamil Nadu","India",TRUE
"18","RT @nagamuni_g: @SowmyaSankarga1 @HRajaBJP @PMOIndia SSM its excellent institute in Chennai compare to all over in Tamil Nadu since its m","2018-07-27 05:50:58","TRUE","2","0","1","Education","Tamil Nadu","India",FALSE
