"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","tamil nadu xxx free sex video download free videos sex with teacher old women teen pic marathi school   ","2018-07-29 13:31:14","FALSE","0","0","-1","Education","Tamil Nadu","India",FALSE
"2","fhoto nude japanese school teen  pussy sexy videos gratis  tamil nadu school girls pregnant  beautiful punk   ","2018-07-29 09:28:27","FALSE","0","0","-1","Education","Tamil Nadu","India",FALSE
"3","RT @mid_day: KatrinaKaif And Mother Are Helping TamilNadu School For Underprivileged

@upalakbr999

middaybollywood BollywoodCelebs Bo","2018-07-29 09:00:11","TRUE","49","0","-1","Education","Tamil Nadu","India",FALSE
"4","photos xx  teen lesbian anal penetration aggressive  tamil nadu school girl showing boobs  galleries   ","2018-07-29 08:42:15","FALSE","0","0","0","Education","Tamil Nadu","India",FALSE
"5","tamil nadu school teens sexual photos only kendra jade nude preppy porn videos free toni sweets free porn   ","2018-07-29 08:21:11","FALSE","0","0","-1","Education","Tamil Nadu","India",FALSE
"6","@ambedkar_voice @ImKarikaalan @maalaimalar Mr.Karunanidhi who was CM of Tamil Nadu 5 times couldn't bring such a ch  ","2018-07-29 06:57:24","FALSE","0","1","3","Education","Tamil Nadu","India",FALSE
"7","@ThanthiTV @NaamTamilarOrg Mr.Karunanidhi who was CM of Tamil Nadu 5 times couldn't bring such a change even  in o  ","2018-07-29 06:46:45","FALSE","0","2","1","Education","Tamil Nadu","India",FALSE
"8","@ambedkar_voice @maalaimalar Mr.Karunanidhi who was CM of Tamil Nadu 5 times couldn't bring such a change even  in  ","2018-07-29 06:46:10","FALSE","0","1","1","Education","Tamil Nadu","India",FALSE
"9","@Mahesh_SPKovil @PTTVOnlineNews Mr.Karunanidhi who was CM of Tamil Nadu 5 times couldn't bring such a change even  ","2018-07-29 06:35:55","FALSE","0","0","0","Education","Tamil Nadu","India",FALSE
"10","RT @KatrinaKaifAFC:         Mountain View School   Tamil Nadu .  ","2018-07-29 03:12:13","TRUE","11","0","1","Education","Tamil Nadu","India",FALSE
"11","Inplant Training Sec School in Chennai, Tamil Nadu, India: inplant, inplant training, sec school  ","2018-07-29 03:10:29","FALSE","0","0","1","Education","Tamil Nadu","India",FALSE
"12","RT @KatrinaKaifAFC:         Mountain View School   Tamil Nadu .  ","2018-07-29 02:48:49","TRUE","11","0","-2","Education","Tamil Nadu","India",TRUE
"13","RT @ISee_Truth: Mr.Karunanidhi who was CM of Tamil Nadu 5 times couldn't bring such a change even  in one Government school in TN why?
Pe","2018-07-29 02:45:01","TRUE","11","0","1","Education","Tamil Nadu","India",FALSE
"14","RT @KatrinaKaifAFC:         Mountain View School   Tamil Nadu .  ","2018-07-28 23:24:15","TRUE","11","0","0","Education","Tamil Nadu","India",TRUE
"15","RT @ISee_Truth: Mr.Karunanidhi who was CM of Tamil Nadu 5 times couldn't bring such a change even  in one Government school in TN why?
Pe","2018-07-28 21:52:59","TRUE","11","0","1","Education","Tamil Nadu","India",TRUE
"16","@gautm_buddha Dude he is the only reason casteism was uprooted very early from Tamil nadu.Low caste ppl had no equa  ","2018-07-28 21:23:39","FALSE","0","0","1","Education","Tamil Nadu","India",FALSE
"17","RT @KatrinaKaifAFC:         Mountain View School   Tamil Nadu .  ","2018-07-28 20:50:17","TRUE","11","0","0","Education","Tamil Nadu","India",TRUE
"18","RT @KatrinaKaifAFC:         Mountain View School   Tamil Nadu .  ","2018-07-28 20:23:33","TRUE","11","0","1","Education","Tamil Nadu","India",TRUE
