"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @hotelbrandnew: Saibala Budget Hotel: Year property opened: 2018, City: Chennai, Rate from: USD25 The post Saibala Budget Hotel appear","2018-07-29 01:20:47","TRUE","1","0","-1","Real Estate Value","Tamil Nadu","India",FALSE
"2","Saibala Budget Hotel: Year property opened: 2018, City: Chennai, Rate from: USD25 The post Saibala Budget Hotel a  ","2018-07-29 01:00:11","FALSE","1","0","-1","Real Estate Value","Tamil Nadu","India",FALSE
"3","RE: Chennai increases property tax after 20 years, residents ask - why now? | @shalinilobo93 |  ","2018-07-27 21:30:09","FALSE","0","0","-1","Real Estate Value","Tamil Nadu","India",FALSE
"4","Property tax hike reduced for rented residential buildings in Tamil Nadu's urban areas, Real Estate News, ET RealEs  ","2018-07-27 17:19:17","FALSE","0","1","0","Real Estate Value","Tamil Nadu","India",FALSE
"5","Hike in property tax on rented residential buildings cut by half  ","2018-07-27 13:30:11","FALSE","0","0","-1","Real Estate Value","Tamil Nadu","India",FALSE
"6","Our very own Mr.Malayappan Murali, MD of ShriramProperties is sharing his thoughts on How TamilNadu can evolve as  ","2018-07-27 09:50:13","FALSE","0","2","3","Real Estate Value","Tamil Nadu","India",FALSE
"7","RT @DailyO_: Chennai increases property tax after 20 years, residents ask - why now? | @shalinilobo93 |  ","2018-07-27 08:18:04","TRUE","2","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"8","RT DailyO_: Chennai increases property tax after 20 years, residents ask - why now? | shalinilobo93 |  ","2018-07-27 08:12:16","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"9","RT @DailyO_: Chennai increases property tax after 20 years, residents ask - why now? | @shalinilobo93 |  ","2018-07-27 08:08:47","TRUE","2","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"10","Chennai increases property tax after 20 years, residents ask - why now? - DailyO  ","2018-07-27 08:03:09","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"11","Chennai increases property tax after 20 years, residents ask - why now? | @shalinilobo93 |  ","2018-07-27 07:58:55","FALSE","2","5","1","Real Estate Value","Tamil Nadu","India",FALSE
"12","RT DailyO_: Chennai increases property tax after 20 years, residents ask - why now? | lobo_shalini |  ","2018-07-27 07:52:07","FALSE","0","0","-2","Real Estate Value","Tamil Nadu","India",FALSE
"13","In Tamil Nadu's urban areas Property tax hike reduced for rented residential buildings 

To read full news :  ","2018-07-26 20:03:20","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"14","RT @Realty_Et: ETRealty | Property tax hike reduced for rented residential buildings in Tamil Nadu's urban areas  ","2018-07-26 17:26:35","TRUE","3","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"15","PropertyTaxHike TamilNaduGovt RentedResidentialBuildings
 ","2018-07-26 13:03:45","FALSE","0","29","1","Real Estate Value","Tamil Nadu","India",FALSE
"16","RT @Realty_Et: ETRealty | Property tax hike reduced for rented residential buildings in Tamil Nadu's urban areas  ","2018-07-26 12:53:48","TRUE","3","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"17","ETRealty | Property tax hike reduced for rented residential buildings in Tamil Nadu's urban areas  ","2018-07-26 12:30:22","FALSE","3","1","0","Real Estate Value","Tamil Nadu","India",FALSE
"18","   ...       ...

 ","2018-07-26 12:24:51","FALSE","0","7","1","Real Estate Value","Tamil Nadu","India",FALSE
"19","The increase in property tax was earlier advised to shore up the revenue for local bodies, which are now struggling  ","2018-07-26 11:37:36","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"20","     - !

TamilNadu
EdappadiKPalaniswami
TamilNews  ","2018-07-26 11:30:00","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"21","     - !  ","2018-07-26 11:14:33","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"22","After two decades, Chennai Corporation increases property tax rates  ","2018-07-26 06:40:43","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"23","   ,         :    ","2018-07-25 07:32:08","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"24","    ?:    

 ","2018-07-25 05:52:45","FALSE","0","13","1","Real Estate Value","Tamil Nadu","India",FALSE
"25","RT @News18TamilNadu:  :    27 

 ","2018-07-25 05:33:26","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"26"," :    27 

 ","2018-07-25 03:59:40","FALSE","1","15","0","Real Estate Value","Tamil Nadu","India",FALSE
"27","After two decades, Chennai Corporation increases property tax rates..  ","2018-07-25 02:59:00","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"28","After two decades, Corporation increases property tax rates..  ","2018-07-24 22:48:36","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"29","Tamil Nadu govt increases property tax rates - The Hindu - The Hindu  ","2018-07-24 22:28:51","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"30","RT @HRBlockIndia: Tamil Nadu Govt Hikes Property Tax in Urban Local Bodies, DMK Slams Move  ","2018-07-24 16:53:31","TRUE","1","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"31","Tamil Nadu Govt Hikes Property Tax in Urban Local Bodies, DMK Slams Move  ","2018-07-24 15:00:51","FALSE","1","1","1","Real Estate Value","Tamil Nadu","India",FALSE
"32","After two decades, Chennai Corporation increases property tax rates..  ","2018-07-24 14:45:25","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"33","After two decades, Corporation increases property tax rates  ","2018-07-24 14:30:04","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"34","After two decades, Corporation increases property tax rates - The Hindu  ","2018-07-24 13:33:27","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"35","Tami_Nadu government property_tax in urbanlocal bodies Chennai income properties taxes indiantaxes  ","2018-07-24 12:10:04","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"36","After two decades, Corporation increases property tax rates  ","2018-07-24 08:27:21","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"37","After two decades, Corporation increases property tax rates  ","2018-07-24 08:21:25","FALSE","0","1","0","Real Estate Value","Tamil Nadu","India",TRUE
"38","After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the propert  ","2018-07-24 06:10:31","FALSE","0","0","-2","Real Estate Value","Tamil Nadu","India",FALSE
"39","After two decades, Corporation increases property tax rates  ","2018-07-24 04:30:39","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"40","After two decades, Corporationincreases property tax rates  ","2018-07-24 03:36:51","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"41","RT @the_hindu: After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the property tax rat","2018-07-24 03:30:19","TRUE","4","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"42","RT @venkat_200910: After two decades, Government / Corporation increases Property tax rates  ","2018-07-24 03:27:55","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"43","RT @the_hindu: After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the property tax rat","2018-07-24 03:25:18","TRUE","4","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"44","After two decades, Government / Corporation increases Property tax rates  ","2018-07-24 03:11:36","FALSE","1","1","-1","Real Estate Value","Tamil Nadu","India",FALSE
"45","RT @the_hindu: After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the property tax rat","2018-07-24 02:59:12","TRUE","4","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"46","After two decades, Corporationincreases property tax rates..  ","2018-07-24 02:51:14","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"47","After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the propert  ","2018-07-24 02:41:04","FALSE","4","20","0","Real Estate Value","Tamil Nadu","India",TRUE
"48","After two decades, Corporation increases property tax rates..  ","2018-07-24 02:40:54","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"49","RT @News18TamilNadu:  50%-100%    ..

 ","2018-07-24 01:51:43","TRUE","3","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"50","RT @TOIChennai: Tamil Nadu govt okays revision of property tax in urban local bodies  ","2018-07-24 00:58:01","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"51","RT @GowharGaudy: Tamil Nadu Govt Hikes Property Tax in Urban Local Bodies, DMK Slams Move  ","2018-07-24 00:57:34","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"52","RT @RealtyMedia01: In urban local bodies Tamil Nadu govt okays revision of property tax 

To read full news :   ","2018-07-24 00:57:09","TRUE","1","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"53","After two decades, Corporation increases property tax rates - The Hindu  ","2018-07-23 21:45:57","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"54","After two decades, Corporation increases property tax rates  ","2018-07-23 21:25:51","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"55","After two decades, Chennai Corporation increases property tax rates - The Hindu  ","2018-07-23 20:20:42","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"56","In urban local bodies Tamil Nadu govt okays revision of property tax 

To read full news :   ","2018-07-23 18:32:58","FALSE","1","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"57","Tamil Nadu Govt Hikes Property Tax in Urban Local Bodies, DMK Slams Move..  ","2018-07-23 18:26:09","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"58","Tamil Nadu Govt Hikes Property Tax in Urban Local Bodies, DMK Slams Move  ","2018-07-23 18:14:40","FALSE","1","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"59","RT @moorthycbe: 50%  100%    :   
  .  ","2018-07-23 16:30:55","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"60","RT @CNNnews18: Tamil Nadu Govt Hikes Property Tax in Urban Local Bodies, DMK Slams Move | @nimumurali  ","2018-07-23 15:34:14","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"61","Tamil Nadu Govt Hikes Property Tax in Urban Local Bodies, DMK Slams Move | @nimumurali  ","2018-07-23 15:25:37","FALSE","1","5","0","Real Estate Value","Tamil Nadu","India",FALSE
"62","   100%  -    -    ","2018-07-23 13:09:21","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"63","   100%  -     ","2018-07-23 12:46:30","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"64","RT @thatsTamil:    100%  -     ","2018-07-23 12:02:37","TRUE","2","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"65","RT @thatsTamil:    100%  -     ","2018-07-23 11:51:45","TRUE","2","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"66","   100%  -     ","2018-07-23 11:49:57","FALSE","2","1","0","Real Estate Value","Tamil Nadu","India",TRUE
"67"," ","2018-07-23 11:44:19","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"68","ETRealty | Tamil Nadu govt okays revision of property tax in urban local bodies  ","2018-07-23 11:00:22","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"69","    ...

   -      ","2018-07-23 10:38:41","FALSE","1","1","-2","Real Estate Value","Tamil Nadu","India",FALSE
"70","    !

TamilNadu
incometax
property
propertytax

 ","2018-07-23 10:30:00","FALSE","0","1","2","Real Estate Value","Tamil Nadu","India",FALSE
"71","RT @maalaimalar:    100        .  50  ","2018-07-23 09:53:55","TRUE","4","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"72","RT @maalaimalar:    100        .  50  ","2018-07-23 09:52:30","TRUE","4","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"73","   100        .  50   ","2018-07-23 09:48:54","FALSE","4","1","1","Real Estate Value","Tamil Nadu","India",FALSE
"74","Tamil Nadu govt okays revision of property tax in urban local bodies  ","2018-07-23 08:50:42","FALSE","0","1","0","Real Estate Value","Tamil Nadu","India",FALSE
"75","Tamil Nadu govt okays revision of property tax in urban local bodies  ","2018-07-23 08:40:03","FALSE","1","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"76","RT @News18TamilNadu:  50%-100%    ..

 ","2018-07-23 08:09:38","TRUE","3","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"77","    :   - ","2018-07-23 08:06:35","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"78","50%  100%    :   
  .    ","2018-07-23 07:32:31","FALSE","1","1","0","Real Estate Value","Tamil Nadu","India",FALSE
"79"," 50%-100%    ..

 ","2018-07-23 07:28:51","FALSE","3","8","0","Real Estate Value","Tamil Nadu","India",FALSE
"80","RT @mydaymywin: Gave away Katcha theevu to another country. Does it treat tamil nadu as one family property? ","2018-07-22 06:49:09","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"81","Gave away Katcha theevu to another country. Does it treat tamil nadu as one family property? ","2018-07-22 06:20:32","FALSE","1","1","0","Real Estate Value","Tamil Nadu","India",FALSE
"82","@news7tamil No use in the admk government
In Tamil Nadu.
No implement  after  x cm jaya dea.

Where  is yaya proper  ","2018-07-21 18:19:38","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"83","How to post your Property or Land for sale in Tamil Nadu?

 ...  ","2018-07-20 06:42:38","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"84","In Tamil Nadu Collectors delay procedure, banks unable to attach defaulters' property

To read full news :  ","2018-07-19 19:08:37","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",FALSE
"85","RT @Realty_Et: ETRealty | Collectors delay procedure, banks in Tamil Nadu unable to attach defaulters' property  ","2018-07-19 12:05:15","TRUE","2","0","0","Real Estate Value","Tamil Nadu","India",FALSE
"86","RT @Realty_Et: ETRealty | Collectors delay procedure, banks in Tamil Nadu unable to attach defaulters' property  ","2018-07-19 11:42:21","TRUE","2","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"87","ETRealty | Collectors delay procedure, banks in Tamil Nadu unable to attach defaulters' property  ","2018-07-19 09:00:23","FALSE","2","2","1","Real Estate Value","Tamil Nadu","India",FALSE
"88","RT @hotelbrandnew: Saibala Budget Hotel: Year property opened: 2018, City: Chennai, Rate from: USD25 The post Saibala Budget Hotel appear","2018-07-29 01:20:47","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"89","Saibala Budget Hotel: Year property opened: 2018, City: Chennai, Rate from: USD25 The post Saibala Budget Hotel a  ","2018-07-29 01:00:11","FALSE","1","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"90","RE: Chennai increases property tax after 20 years, residents ask - why now? | @shalinilobo93 |  ","2018-07-27 21:30:09","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"91","Property tax hike reduced for rented residential buildings in Tamil Nadu's urban areas, Real Estate News, ET RealEs  ","2018-07-27 17:19:17","FALSE","0","1","0","Real Estate Value","Tamil Nadu","India",TRUE
"92","Hike in property tax on rented residential buildings cut by half  ","2018-07-27 13:30:11","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"93","Our very own Mr.Malayappan Murali, MD of ShriramProperties is sharing his thoughts on How TamilNadu can evolve as  ","2018-07-27 09:50:13","FALSE","0","2","0","Real Estate Value","Tamil Nadu","India",TRUE
"94","RT @DailyO_: Chennai increases property tax after 20 years, residents ask - why now? | @shalinilobo93 |  ","2018-07-27 08:18:04","TRUE","2","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"95","RT DailyO_: Chennai increases property tax after 20 years, residents ask - why now? | shalinilobo93 |  ","2018-07-27 08:12:16","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"96","RT @DailyO_: Chennai increases property tax after 20 years, residents ask - why now? | @shalinilobo93 |  ","2018-07-27 08:08:47","TRUE","2","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"97","Chennai increases property tax after 20 years, residents ask - why now? - DailyO  ","2018-07-27 08:03:09","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"98","Chennai increases property tax after 20 years, residents ask - why now? | @shalinilobo93 |  ","2018-07-27 07:58:55","FALSE","2","5","0","Real Estate Value","Tamil Nadu","India",TRUE
"99","RT DailyO_: Chennai increases property tax after 20 years, residents ask - why now? | lobo_shalini |  ","2018-07-27 07:52:07","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"100","In Tamil Nadu's urban areas Property tax hike reduced for rented residential buildings 

To read full news :  ","2018-07-26 20:03:20","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"101","RT @Realty_Et: ETRealty | Property tax hike reduced for rented residential buildings in Tamil Nadu's urban areas  ","2018-07-26 17:26:35","TRUE","3","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"102","PropertyTaxHike TamilNaduGovt RentedResidentialBuildings
 ","2018-07-26 13:03:45","FALSE","0","29","1","Real Estate Value","Tamil Nadu","India",TRUE
"103","RT @Realty_Et: ETRealty | Property tax hike reduced for rented residential buildings in Tamil Nadu's urban areas  ","2018-07-26 12:53:48","TRUE","3","0","-2","Real Estate Value","Tamil Nadu","India",TRUE
"104","ETRealty | Property tax hike reduced for rented residential buildings in Tamil Nadu's urban areas  ","2018-07-26 12:30:22","FALSE","3","1","0","Real Estate Value","Tamil Nadu","India",TRUE
"105","   ...       ...

 ","2018-07-26 12:24:51","FALSE","0","7","0","Real Estate Value","Tamil Nadu","India",TRUE
"106","The increase in property tax was earlier advised to shore up the revenue for local bodies, which are now struggling  ","2018-07-26 11:37:36","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"107","     - !

TamilNadu
EdappadiKPalaniswami
TamilNews  ","2018-07-26 11:30:00","FALSE","0","0","-1","Real Estate Value","Tamil Nadu","India",TRUE
"108","     - !  ","2018-07-26 11:14:33","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"109","After two decades, Chennai Corporation increases property tax rates  ","2018-07-26 06:40:43","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"110","   ,         :    ","2018-07-25 07:32:08","FALSE","0","0","-1","Real Estate Value","Tamil Nadu","India",TRUE
"111","    ?:    

 ","2018-07-25 05:52:45","FALSE","0","13","-1","Real Estate Value","Tamil Nadu","India",TRUE
"112","RT @News18TamilNadu:  :    27 

 ","2018-07-25 05:33:26","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"113"," :    27 

 ","2018-07-25 03:59:40","FALSE","1","15","1","Real Estate Value","Tamil Nadu","India",TRUE
"114","After two decades, Chennai Corporation increases property tax rates..  ","2018-07-25 02:59:00","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"115","After two decades, Corporation increases property tax rates..  ","2018-07-24 22:48:36","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"116","Tamil Nadu govt increases property tax rates - The Hindu - The Hindu  ","2018-07-24 22:28:51","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"117","RT @HRBlockIndia: Tamil Nadu Govt Hikes Property Tax in Urban Local Bodies, DMK Slams Move  ","2018-07-24 16:53:31","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"118","Tamil Nadu Govt Hikes Property Tax in Urban Local Bodies, DMK Slams Move  ","2018-07-24 15:00:51","FALSE","1","1","0","Real Estate Value","Tamil Nadu","India",TRUE
"119","After two decades, Chennai Corporation increases property tax rates..  ","2018-07-24 14:45:25","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"120","After two decades, Corporation increases property tax rates  ","2018-07-24 14:30:04","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"121","After two decades, Corporation increases property tax rates - The Hindu  ","2018-07-24 13:33:27","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"122","Tami_Nadu government property_tax in urbanlocal bodies Chennai income properties taxes indiantaxes  ","2018-07-24 12:10:04","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"123","After two decades, Corporation increases property tax rates  ","2018-07-24 08:27:21","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"124","After two decades, Corporation increases property tax rates  ","2018-07-24 08:21:25","FALSE","0","1","0","Real Estate Value","Tamil Nadu","India",TRUE
"125","After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the propert  ","2018-07-24 06:10:31","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"126","After two decades, Corporation increases property tax rates  ","2018-07-24 04:30:39","FALSE","0","0","-2","Real Estate Value","Tamil Nadu","India",TRUE
"127","After two decades, Corporationincreases property tax rates  ","2018-07-24 03:36:51","FALSE","0","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"128","RT @the_hindu: After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the property tax rat","2018-07-24 03:30:19","TRUE","4","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"129","RT @venkat_200910: After two decades, Government / Corporation increases Property tax rates  ","2018-07-24 03:27:55","TRUE","1","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"130","RT @the_hindu: After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the property tax rat","2018-07-24 03:25:18","TRUE","4","0","0","Real Estate Value","Tamil Nadu","India",TRUE
"131","After two decades, Government / Corporation increases Property tax rates  ","2018-07-24 03:11:36","FALSE","1","1","-1","Real Estate Value","Tamil Nadu","India",TRUE
"132","RT @the_hindu: After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the property tax rat","2018-07-24 02:59:12","TRUE","4","0","-2","Real Estate Value","Tamil Nadu","India",TRUE
"133","After two decades, Corporationincreases property tax rates..  ","2018-07-24 02:51:14","FALSE","0","0","1","Real Estate Value","Tamil Nadu","India",TRUE
"134","After years of inertia, the Chennai Corporation and other urban local bodies in Tamil Nadu have revised the propert  ","2018-07-24 02:41:04","FALSE","4","20","0","Real Estate Value","Tamil Nadu","India",TRUE
