"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Morning Breaking: Robot's serve food in Tamil Nadu's Coimbatore restaurant
 ","2018-07-28 13:01:06","FALSE","0","0","-1","Food","Tamil Nadu","India",FALSE
"2","I'm at Ayyappas Restaurant in Coimbatore, Tamil Nadu  ","2018-07-26 04:27:43","FALSE","0","0","-1","Food","Tamil Nadu","India",FALSE
"3","Feels good to know that you're not the only one in the restaurant who doesn't know Tamil.  (@ Hotel Saravana Bhava  ","2018-07-24 14:16:49","FALSE","0","0","-1","Food","Tamil Nadu","India",FALSE
"4"," :      ,       
 ","2018-07-24 13:26:53","FALSE","0","2","0","Food","Tamil Nadu","India",FALSE
"5","The new Robot Themed Restaurant in Coimbatore is already the TalkOfTheTown What more? It is just 10 minutes away f  ","2018-07-24 08:33:50","FALSE","0","2","-1","Food","Tamil Nadu","India",FALSE
"6","RT @EconomicTimes: Robot themed restaurant launched in Coimbatore: Tamil Nadu  

Download the ET App here:  ","2018-07-23 01:07:56","TRUE","12","0","3","Food","Tamil Nadu","India",FALSE
"7","@SamanthaJoGoes @PardesiYT  Robot service in Coimbatore,Tamilnadu Please check out Chef @MattsCravat  ","2018-07-22 21:12:22","FALSE","0","1","1","Food","Tamil Nadu","India",FALSE
"8","RT @EconomicTimes: Robot themed restaurant launched in Coimbatore: Tamil Nadu  

Download the ET App here:  ","2018-07-22 14:40:55","TRUE","12","0","1","Food","Tamil Nadu","India",TRUE
"9","RT @EconomicTimes: Robot themed restaurant launched in Coimbatore: Tamil Nadu  

Download the ET App here:  ","2018-07-22 14:33:38","TRUE","12","0","0","Food","Tamil Nadu","India",TRUE
"10","RT @EconomicTimes: Robot themed restaurant launched in Coimbatore: Tamil Nadu  

Download the ET App here:  ","2018-07-22 12:01:56","TRUE","12","0","1","Food","Tamil Nadu","India",TRUE
"11","RT @EconomicTimes: Robot themed restaurant launched in Coimbatore: Tamil Nadu  

Download the ET App here:  ","2018-07-22 11:09:01","TRUE","12","0","1","Food","Tamil Nadu","India",TRUE
"12","RT @EconomicTimes: Robot themed restaurant launched in Coimbatore: Tamil Nadu  

Download the ET App here:  ","2018-07-22 11:05:10","TRUE","12","0","-2","Food","Tamil Nadu","India",TRUE
"13","RT @EconomicTimes: Robot themed restaurant launched in Coimbatore: Tamil Nadu  

Download the ET App here:  ","2018-07-22 10:54:41","TRUE","12","0","1","Food","Tamil Nadu","India",TRUE
"14","RT @EconomicTimes: Robot themed restaurant launched in Coimbatore: Tamil Nadu  

Download the ET App here:  ","2018-07-22 10:44:09","TRUE","12","0","0","Food","Tamil Nadu","India",TRUE
"15","RT @EconomicTimes: Robot themed restaurant launched in Coimbatore: Tamil Nadu  

Download the ET App here:  ","2018-07-22 10:43:03","TRUE","12","0","1","Food","Tamil Nadu","India",TRUE
