"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @CMOKerala: CM Pinarayi Vijayan wished a quick recovery to former Tamil Nadu chief minister and DMK leader M Karunanidhi who is currentl","2018-07-29 14:13:10","TRUE","59","0","-1","Health Care","Tamil Nadu","India",FALSE
"2","RT @ANI: Chennai: Vice President Venkaiah Naidu meets DMK Chief M Karunanidhi at Kauvery hospital where the former Tamil Nadu Chief Ministe","2018-07-29 14:08:49","TRUE","25","0","-1","Health Care","Tamil Nadu","India",FALSE
"3","  
  ","2018-07-29 13:49:30","FALSE","0","0","-1","Health Care","Tamil Nadu","India",FALSE
"4","Vice President Naidu visits hospital to inquire about Karunanidhis health ..  ","2018-07-29 13:40:25","FALSE","0","1","0","Health Care","Tamil Nadu","India",FALSE
"5","RT @scroll_in: Tamil Nadu: Venkaiah Naidu visits ailing Karunanidhi, party releases first photo from hospital  ","2018-07-29 13:34:29","TRUE","1","0","-1","Health Care","Tamil Nadu","India",FALSE
"6","Chennai: Vice President Venkaiah Naidu meets DMK Chief M Karunanidhi at Kauvery hospital where the former Tamil Nad  ","2018-07-29 13:34:02","FALSE","0","2","3","Health Care","Tamil Nadu","India",FALSE
"7","RT @vnbtncc: Newspaper Clipping 
RahulGandhi Birthday Celebration , Tamil Nadu Congress Committee Minority Department Chairman Dr @JAslamB","2018-07-29 13:30:30","TRUE","12","0","1","Health Care","Tamil Nadu","India",FALSE
"8","Tamil Nadu: Venkaiah Naidu visits ailing Karunanidhi, party releases first photo from hospital  ","2018-07-29 13:18:02","FALSE","1","3","1","Health Care","Tamil Nadu","India",FALSE
"9","RT @ANI: Tamil Nadu: DMK president M. Karunanidhi is being taken to Chennai's Kauvery Hospital. Visuals from outside his residence, where s","2018-07-29 12:45:30","TRUE","27","0","0","Health Care","Tamil Nadu","India",FALSE
"10","RT @the_hindu: An ambulance arrived at the DMK chief's Gopalapuram residence and Karunanidhi has been shifted to Kauvery Hospital.
 ","2018-07-29 12:45:14","TRUE","15","0","1","Health Care","Tamil Nadu","India",FALSE
"11","RT @News18TamilNadu:        -   ...

 ","2018-07-29 12:09:06","TRUE","18","0","1","Health Care","Tamil Nadu","India",FALSE
"12","RT @News18TamilNadu:        -   ...

 ","2018-07-29 11:56:51","TRUE","18","0","-2","Health Care","Tamil Nadu","India",TRUE
"13","RT @News18TamilNadu:        -   ...

 ","2018-07-29 11:14:40","TRUE","18","0","1","Health Care","Tamil Nadu","India",TRUE
"14","RT @khaskhabar:         
 ","2018-07-29 11:10:20","TRUE","1","0","0","Health Care","Tamil Nadu","India",FALSE
"15","        
 ","2018-07-29 11:06:14","FALSE","1","1","1","Health Care","Tamil Nadu","India",FALSE
"16","RT @ndtv: Vice President @MVenkaiahNaidu meets DMK chief Karunanidhi at Chennai's Kauvery hospital where the former Tamil Nadu chief mini","2018-07-29 11:01:07","TRUE","16","0","1","Health Care","Tamil Nadu","India",FALSE
"17","RT @ndtv: Vice President @MVenkaiahNaidu meets DMK chief Karunanidhi at Chennai's Kauvery hospital where the former Tamil Nadu chief mini","2018-07-29 11:00:45","TRUE","16","0","0","Health Care","Tamil Nadu","India",TRUE
"18","RT @bsindia: Tamil Nadu Governor and Vice-President visit Karunanidhi at Kauvery Hospital

Karunanidhiunwell KarunanidhiHealth  ","2018-07-29 10:59:00","TRUE","7","0","1","Health Care","Tamil Nadu","India",FALSE
"19","RT @ANI: Tamil Nadu: Vice President Venkaiah Naidu to meet DMK chief Karunanidhi at Kauvery hospital in Chennai today. Karunanidhi was admi","2018-07-29 10:58:10","TRUE","16","0","1","Health Care","Tamil Nadu","India",FALSE
"20","RT @IndiaToday: A photograph from inside the Kauvery Hospital in Chennai where DMK chief M Karunanidhi is admitted has surfaced 
 ","2018-07-29 10:48:12","TRUE","1","0","0","Health Care","Tamil Nadu","India",FALSE
"21","RT @News18TamilNadu:        -   ...

 ","2018-07-29 10:41:41","TRUE","18","0","0","Health Care","Tamil Nadu","India",TRUE
"22","Photo of Karunanidhi in Kauvery Hospital out, condition stable  ","2018-07-29 10:38:31","FALSE","0","0","1","Health Care","Tamil Nadu","India",FALSE
"23","A photograph from inside the Kauvery Hospital in Chennai where DMK chief M Karunanidhi is admitted has surfaced 
 ","2018-07-29 10:37:33","FALSE","1","13","0","Health Care","Tamil Nadu","India",FALSE
"24","A photograph from inside the Kauvery Hospital in Chennai where DMK chief M Karunanidhi is admitted has surfaced tod  ","2018-07-29 10:32:21","FALSE","0","0","1","Health Care","Tamil Nadu","India",FALSE
"25","RT @News18TamilNadu:        -   ...

 ","2018-07-29 10:17:29","TRUE","18","0","0","Health Care","Tamil Nadu","India",TRUE
