"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 15:26:19","TRUE","20","0","-1","Education","Uttar Pradesh","India",FALSE
"2","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 15:10:53","TRUE","20","0","-1","Education","Uttar Pradesh","India",TRUE
"3","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 15:05:44","TRUE","20","0","-1","Education","Uttar Pradesh","India",TRUE
"4","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 15:05:01","TRUE","20","0","0","Education","Uttar Pradesh","India",TRUE
"5","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 14:52:05","TRUE","20","0","-1","Education","Uttar Pradesh","India",TRUE
"6","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 14:42:08","TRUE","20","0","3","Education","Uttar Pradesh","India",TRUE
"7","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 14:33:33","TRUE","20","0","1","Education","Uttar Pradesh","India",TRUE
"8","In Uttar Pradesh, mid-day meal continues to be a recipe for disaster  ","2018-07-29 14:31:28","FALSE","0","1","1","Education","Uttar Pradesh","India",FALSE
"9","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 14:30:56","TRUE","20","0","0","Education","Uttar Pradesh","India",TRUE
"10","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 14:29:13","TRUE","20","0","1","Education","Uttar Pradesh","India",TRUE
"11","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 14:28:45","TRUE","20","0","1","Education","Uttar Pradesh","India",TRUE
"12","         ,        ","2018-07-29 14:14:41","FALSE","0","2","-2","Education","Uttar Pradesh","India",FALSE
"13","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 14:12:11","TRUE","20","0","1","Education","Uttar Pradesh","India",TRUE
"14","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 14:12:11","TRUE","20","0","0","Education","Uttar Pradesh","India",TRUE
"15","RT @Aojhaaap:       AAP
 @SanjayAzadSln  -       
 ","2018-07-29 14:11:10","TRUE","20","0","1","Education","Uttar Pradesh","India",TRUE
"16","     -2018  8673     ","2018-07-29 13:41:54","FALSE","0","0","1","Education","Uttar Pradesh","India",FALSE
"17","      AAP
 @SanjayAzadSln  -       
 ","2018-07-29 12:30:44","FALSE","20","55","0","Education","Uttar Pradesh","India",FALSE
"18","         
 ","2018-07-29 12:19:31","FALSE","0","0","1","Education","Uttar Pradesh","India",FALSE
