"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@narendramodi @Dev_Fadnavis Dear sir.
              In behalf of many students I want to say that galgotia college  ","2018-07-28 12:56:48","FALSE","0","0","-1","Education","Uttar Pradesh","India",FALSE
"2"," ","2018-07-28 05:36:34","FALSE","0","0","-1","Education","Uttar Pradesh","India",FALSE
"3","@yadavakhilesh
@myogiadityanath
@narendramodi
@PMOIndia
@Manekagandhibjp
@santoshgangwar
@deeptibharadwaj  ","2018-07-27 15:49:22","FALSE","0","1","-1","Education","Uttar Pradesh","India",FALSE
"4","RT @CNNnews18: BREAKING  Uttar Pradesh STF has busted a gang which was running a fake MBBS admission racket in government medical college","2018-07-27 12:05:03","TRUE","7","0","0","Education","Uttar Pradesh","India",FALSE
"5","An Olabs workshop for 100 teachers was conducted in Springdale College of Management, Pilibhit, Bareilly, Uttar Pr  ","2018-07-27 11:58:46","FALSE","0","3","-1","Education","Uttar Pradesh","India",FALSE
"6","RT @CNNnews18: BREAKING  Uttar Pradesh STF has busted a gang which was running a fake MBBS admission racket in government medical college","2018-07-27 10:41:13","TRUE","7","0","3","Education","Uttar Pradesh","India",TRUE
"7","BREAKING  Uttar Pradesh STF has busted a gang which was running a fake MBBS admission racket in government medica  ","2018-07-27 10:23:30","FALSE","0","0","1","Education","Uttar Pradesh","India",FALSE
"8","RT @CNNnews18: BREAKING  Uttar Pradesh STF has busted a gang which was running a fake MBBS admission racket in government medical college","2018-07-27 10:09:41","TRUE","7","0","1","Education","Uttar Pradesh","India",TRUE
"9","RT @CNNnews18: BREAKING  Uttar Pradesh STF has busted a gang which was running a fake MBBS admission racket in government medical college","2018-07-27 10:02:00","TRUE","7","0","0","Education","Uttar Pradesh","India",TRUE
"10","RT @CNNnews18: BREAKING  Uttar Pradesh STF has busted a gang which was running a fake MBBS admission racket in government medical college","2018-07-27 10:01:35","TRUE","7","0","1","Education","Uttar Pradesh","India",TRUE
"11","RT @CNNnews18: BREAKING  Uttar Pradesh STF has busted a gang which was running a fake MBBS admission racket in government medical college","2018-07-27 10:01:29","TRUE","7","0","1","Education","Uttar Pradesh","India",TRUE
"12","RT @CNNnews18: BREAKING  Uttar Pradesh STF has busted a gang which was running a fake MBBS admission racket in government medical college","2018-07-27 10:01:07","TRUE","7","0","-2","Education","Uttar Pradesh","India",TRUE
"13","BREAKING  Uttar Pradesh STF has busted a gang which was running a fake MBBS admission racket in government medica  ","2018-07-27 09:59:50","FALSE","7","13","1","Education","Uttar Pradesh","India",TRUE
"14","RT @bijendra125:       ,         | meerut girl students drink liquor in college camp","2018-07-26 10:32:53","TRUE","6","0","0","Education","Uttar Pradesh","India",FALSE
"15","Awardee No. 10 : Global Outreach Education Award 2019
Dr. Amitav Bhattacharyya (Assistant Professor, Department of  ","2018-07-26 02:10:18","FALSE","0","0","1","Education","Uttar Pradesh","India",FALSE
"16","RT @mediaamantra: .            
DoctorDevendra ChildrenHospital","2018-07-25 15:30:37","TRUE","3","0","1","Education","Uttar Pradesh","India",FALSE
"17","RT @mediaamantra: .            
DoctorDevendra ChildrenHospital","2018-07-25 15:04:31","TRUE","3","0","0","Education","Uttar Pradesh","India",TRUE
"18",".            
DoctorDevendra  ","2018-07-25 14:00:59","FALSE","3","5","1","Education","Uttar Pradesh","India",FALSE
"19","RT @milligazette: Gorakhpur: BRD's Department For Disabled Children Runs Without Doctors, Workers Are Not Paid.11 contractual workers of th","2018-07-25 12:57:35","TRUE","6","0","1","Education","Uttar Pradesh","India",FALSE
"20","RT @milligazette: Gorakhpur: BRD's Department For Disabled Children Runs Without Doctors, Workers Are Not Paid.11 contractual workers of th","2018-07-25 08:11:58","TRUE","6","0","0","Education","Uttar Pradesh","India",TRUE
"21","RT @milligazette: Gorakhpur: BRD's Department For Disabled Children Runs Without Doctors, Workers Are Not Paid.11 contractual workers of th","2018-07-25 02:20:01","TRUE","6","0","0","Education","Uttar Pradesh","India",TRUE
