"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @NaukriLatest: Vizag Steel Plant Jobs 2018: RINL, Visakhapatnam recruitment of 95 job vacancies of ITI and Engineering Diploma","2018-07-29 14:38:48","TRUE","1","0","-1","Employment","Uttar Pradesh","India",FALSE
"2","RT @INCashishsaini: @LekhrajSingh55 @RLDparty @jayantrld @AjitSinghRLD @RajBabbarMP @rajesthan @yadavakhilesh @samajwadiparty @rahulranarld","2018-07-29 11:54:43","TRUE","2","0","-1","Employment","Uttar Pradesh","India",FALSE
"3","RT @EconomicTimes: The projects, which will be launched today, will create around 2.1 lakh job opportunity in the state 
 ","2018-07-29 10:53:35","TRUE","5","0","-1","Employment","Uttar Pradesh","India",FALSE
"4","I've just posted a new blog:         ","2018-07-29 09:48:37","FALSE","0","0","0","Employment","Uttar Pradesh","India",FALSE
"5","RT @EconomicTimes: The projects, which will be launched today, will create around 2.1 lakh job opportunity in the state 
 ","2018-07-29 09:40:54","TRUE","5","0","-1","Employment","Uttar Pradesh","India",TRUE
"6","RT @EconomicTimes: The projects, which will be launched today, will create around 2.1 lakh job opportunity in the state 
 ","2018-07-29 09:29:34","TRUE","5","0","3","Employment","Uttar Pradesh","India",TRUE
"7","@Poojasocialist Ek aur add kariye 2.5 lakhs job in uttar pradesh","2018-07-29 09:11:10","FALSE","0","0","1","Employment","Uttar Pradesh","India",FALSE
"8","RT @EconomicTimes: The projects, which will be launched today, will create around 2.1 lakh job opportunity in the state 
 ","2018-07-29 09:04:19","TRUE","5","0","1","Employment","Uttar Pradesh","India",TRUE
"9","The projects, which will be launched today, will create around 2.1 lakh job opportunity in the state 
 ","2018-07-29 09:00:00","FALSE","5","33","0","Employment","Uttar Pradesh","India",FALSE
"10","Work for Nokia and grow your career
Job Title - DDI Engineer
Location - Noida, Uttar Pradesh  ","2018-07-29 08:30:11","FALSE","0","1","1","Employment","Uttar Pradesh","India",FALSE
"11","Ruling UP is the toughest job in the world!! Why can't the govt delineate guidelines to divide this vast Ganga Yamu  ","2018-07-29 08:17:11","FALSE","0","0","1","Employment","Uttar Pradesh","India",FALSE
"12","RT @Anupams398Singh: @PrakashJavdekar Sir, in Uttar Pradesh, more than 7 lakh BTC trainees are engaged in the job line, what is the reason","2018-07-29 08:05:53","TRUE","3","0","-2","Employment","Uttar Pradesh","India",FALSE
"13","sales manager in Lucknow, Uttar Pradesh, India: estate, lucknow, sales manager, sales, bike  ","2018-07-29 07:50:33","FALSE","0","1","1","Employment","Uttar Pradesh","India",FALSE
"14","sales executive in Lucknow, Uttar Pradesh, India: sales executive, executive, lucknow, bike  ","2018-07-29 07:30:32","FALSE","0","1","0","Employment","Uttar Pradesh","India",FALSE
"15","            : 
 ","2018-07-29 06:59:28","FALSE","0","2","1","Employment","Uttar Pradesh","India",FALSE
"16","@C_NyaKundiH Rima Patel the marketer must be straight from the villages in Uttar Pradesh.
How did she land a job in  ","2018-07-29 06:37:45","FALSE","0","3","1","Employment","Uttar Pradesh","India",FALSE
"17","RT @Anupams398Singh: @PrakashJavdekar Sir, in Uttar Pradesh, more than 7 lakh BTC trainees are engaged in the job line, what is the reason","2018-07-29 05:35:15","TRUE","3","0","0","Employment","Uttar Pradesh","India",TRUE
"18","RT @sikarwarravi201: upsi_2016 request to uttar pradesh government to increase vacancy in upsi 2016. Youth preparing 5-6 years to get job","2018-07-29 04:52:00","TRUE","85","0","1","Employment","Uttar Pradesh","India",FALSE
"19","RT @Anupams398Singh: @PrakashJavdekar Sir, in Uttar Pradesh, more than 7 lakh BTC trainees are engaged in the job line, what is the reason","2018-07-29 04:37:10","TRUE","3","0","1","Employment","Uttar Pradesh","India",TRUE
"20","@PrakashJavdekar Sir, in Uttar Pradesh, more than 7 lakh BTC trainees are engaged in the job line, what is the reas  ","2018-07-29 04:31:28","FALSE","3","1","0","Employment","Uttar Pradesh","India",FALSE
"21","RT @INCashishsaini: @LekhrajSingh55 @RLDparty @jayantrld @AjitSinghRLD @RajBabbarMP @rajesthan @yadavakhilesh @samajwadiparty @rahulranarld","2018-07-29 02:50:23","TRUE","2","0","0","Employment","Uttar Pradesh","India",TRUE
"22","@LekhrajSingh55 @RLDparty @jayantrld @AjitSinghRLD @RajBabbarMP @rajesthan @yadavakhilesh @samajwadiparty  ","2018-07-29 02:25:46","FALSE","2","2","1","Employment","Uttar Pradesh","India",FALSE
"23"," ","2018-07-28 23:11:54","FALSE","0","0","0","Employment","Uttar Pradesh","India",FALSE
"24","RT @sikarwarravi201: upsi_2016 request to uttar pradesh government to increase vacancy in upsi 2016. Youth preparing 5-6 years to get job","2018-07-28 17:56:43","TRUE","85","0","1","Employment","Uttar Pradesh","India",TRUE
"25","content writer in Lucknow, Uttar Pradesh, India: writer, writers  ","2018-07-28 17:01:56","FALSE","0","0","0","Employment","Uttar Pradesh","India",FALSE
"26","I liked a @YouTube video  ","2018-07-28 15:50:11","FALSE","0","0","0","Employment","Uttar Pradesh","India",FALSE
