"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","MahanBharat ModiMahan!!  

JusticeForGoat ChaloJeeteHain Bihar INDvENG Aadhaar Delhi
Bollywood Uttar Pradesh  ","2018-07-29 14:54:51","FALSE","0","0","-1","Health Care","Uttar Pradesh","India",FALSE
"2","RT @YeHaiBhimSena:    -                  ","2018-07-29 14:49:43","TRUE","86","0","-1","Health Care","Uttar Pradesh","India",FALSE
"3","RT @YeHaiBhimSena:    -                  ","2018-07-29 13:33:08","TRUE","86","0","-1","Health Care","Uttar Pradesh","India",TRUE
"4","RT @YeHaiBhimSena:    -                  ","2018-07-29 12:54:05","TRUE","86","0","0","Health Care","Uttar Pradesh","India",TRUE
"5","RT @YeHaiBhimSena:    -                  ","2018-07-29 12:26:04","TRUE","86","0","-1","Health Care","Uttar Pradesh","India",TRUE
"6","RT @YeHaiBhimSena:    -                  ","2018-07-29 11:32:44","TRUE","86","0","3","Health Care","Uttar Pradesh","India",TRUE
"7","RT @YeHaiBhimSena:    -                  ","2018-07-29 11:18:27","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"8","RT @YeHaiBhimSena:    -                  ","2018-07-29 10:54:24","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"9","RT @Imdineshpurohit:       ,        ","2018-07-29 09:47:51","TRUE","2","0","0","Health Care","Uttar Pradesh","India",FALSE
"10","RT @YeHaiBhimSena:    -                  ","2018-07-29 08:58:59","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"11"," ","2018-07-29 08:34:18","FALSE","1","6","1","Health Care","Uttar Pradesh","India",FALSE
"12","RT @YeHaiBhimSena:    -                  ","2018-07-29 08:18:00","TRUE","86","0","-2","Health Care","Uttar Pradesh","India",TRUE
"13","RT @YeHaiBhimSena:    -                  ","2018-07-29 08:15:24","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"14","RT @SamajwadiYRB:    -                  ","2018-07-29 07:57:10","TRUE","6","0","0","Health Care","Uttar Pradesh","India",FALSE
"15","RT @YeHaiBhimSena:    -                  ","2018-07-29 07:53:49","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"16","      ,        ","2018-07-29 07:42:15","FALSE","2","4","1","Health Care","Uttar Pradesh","India",FALSE
"17","RT @YeHaiBhimSena:    -                  ","2018-07-29 07:07:53","TRUE","86","0","0","Health Care","Uttar Pradesh","India",TRUE
"18","RT @YeHaiBhimSena:    -                  ","2018-07-29 06:35:49","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"19","RT @YeHaiBhimSena:    -                  ","2018-07-29 06:11:01","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"20","RT @YeHaiBhimSena:    -                  ","2018-07-29 06:03:15","TRUE","86","0","0","Health Care","Uttar Pradesh","India",TRUE
"21","RT @YeHaiBhimSena:    -                  ","2018-07-29 05:38:00","TRUE","86","0","0","Health Care","Uttar Pradesh","India",TRUE
"22","RT @YeHaiBhimSena:    -                  ","2018-07-29 05:22:24","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"23","RT @YeHaiBhimSena:    -                  ","2018-07-29 05:17:02","TRUE","86","0","0","Health Care","Uttar Pradesh","India",TRUE
"24","RT @YeHaiBhimSena:    -                  ","2018-07-29 05:05:44","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"25","RT @SamajwadiYRB:    -                  ","2018-07-29 04:50:45","TRUE","6","0","0","Health Care","Uttar Pradesh","India",TRUE
"26","RT @YeHaiBhimSena:    -                  ","2018-07-29 04:50:28","TRUE","86","0","0","Health Care","Uttar Pradesh","India",TRUE
"27","RT @SamajwadiYRB:    -                  ","2018-07-29 04:45:40","TRUE","6","0","1","Health Care","Uttar Pradesh","India",TRUE
"28","RT @SamajwadiYRB:    -                  ","2018-07-29 04:29:23","TRUE","6","0","1","Health Care","Uttar Pradesh","India",TRUE
"29","RT @YeHaiBhimSena:    -                  ","2018-07-29 04:26:09","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"30","RT @YeHaiBhimSena:    -                  ","2018-07-29 04:22:02","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
"31","RT @YeHaiBhimSena:    -                  ","2018-07-29 04:20:43","TRUE","86","0","1","Health Care","Uttar Pradesh","India",TRUE
