"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1"," :             ","2018-07-29 06:15:17","FALSE","1","2","-1","Health Care","Uttar Pradesh","India",FALSE
"2","@ArvindKejriwal kyun nhi bolta
 ","2018-07-26 09:53:12","FALSE","0","0","-1","Health Care","Uttar Pradesh","India",FALSE
"3","RT @Vijaykarnataka:     '' 
   UttarPradesh  ","2018-07-24 16:23:11","TRUE","1","0","-1","Health Care","Uttar Pradesh","India",FALSE
"4","    '' 
   UttarPradesh  ","2018-07-24 10:32:37","FALSE","1","4","0","Health Care","Uttar Pradesh","India",FALSE
"5","       ,       ","2018-07-22 09:21:27","FALSE","0","0","-1","Health Care","Uttar Pradesh","India",FALSE
"6","RT @WeUttarPradesh:        ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP ht","2018-07-22 08:20:48","TRUE","11","0","3","Health Care","Uttar Pradesh","India",FALSE
"7","RT @WeUttarPradesh:        ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP ht","2018-07-22 08:02:27","TRUE","11","0","1","Health Care","Uttar Pradesh","India",TRUE
"8","RT @WeUttarPradesh:        ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP ht","2018-07-22 08:02:16","TRUE","11","0","1","Health Care","Uttar Pradesh","India",TRUE
"9","RT @WeUttarPradesh:        ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP ht","2018-07-22 07:54:31","TRUE","11","0","0","Health Care","Uttar Pradesh","India",TRUE
"10","RT @WeUttarPradesh:        ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP ht","2018-07-22 07:52:21","TRUE","11","0","1","Health Care","Uttar Pradesh","India",TRUE
"11","       ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP  ","2018-07-22 07:52:15","FALSE","0","0","1","Health Care","Uttar Pradesh","India",FALSE
"12","RT @WeUttarPradesh:        ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP ht","2018-07-22 07:49:34","TRUE","11","0","-2","Health Care","Uttar Pradesh","India",TRUE
"13","RT @WeUttarPradesh:        ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP ht","2018-07-22 07:48:42","TRUE","11","0","1","Health Care","Uttar Pradesh","India",TRUE
"14","RT @WeUttarPradesh:        ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP ht","2018-07-22 07:48:14","TRUE","11","0","0","Health Care","Uttar Pradesh","India",TRUE
"15","       ,     . @SidharthNSingh @CMOfficeUP @myogiadityanath @BJP4UP  ","2018-07-22 07:47:04","FALSE","11","23","1","Health Care","Uttar Pradesh","India",TRUE
"16","RT @SINGHSHOBHNATH3:                     ,      ","2018-07-22 05:49:03","TRUE","1","0","1","Health Care","Uttar Pradesh","India",FALSE
