"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","   ,   ,,   ,,               ","2018-07-29 12:34:35","FALSE","0","1","-1","Transportation","Uttar Pradesh","India",FALSE
"2","                -    ","2018-07-29 11:04:14","FALSE","0","0","-1","Transportation","Uttar Pradesh","India",FALSE
"3","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:37:38","TRUE","10","0","-1","Transportation","Uttar Pradesh","India",FALSE
"4","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:36:08","TRUE","10","0","0","Transportation","Uttar Pradesh","India",TRUE
"5","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:33:26","TRUE","10","0","-1","Transportation","Uttar Pradesh","India",TRUE
"6","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:29:25","TRUE","10","0","3","Transportation","Uttar Pradesh","India",TRUE
"7","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:27:00","TRUE","10","0","1","Transportation","Uttar Pradesh","India",TRUE
"8","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 06:41:45","TRUE","10","0","1","Transportation","Uttar Pradesh","India",TRUE
"9","RT @Sachinhitman: [gorakhpur deputy sp crime co gorakhnath and dy sp traffic pravin kumar singh bows down to up cm on guru purnima day yest","2018-07-29 02:59:50","TRUE","1","0","0","Transportation","Uttar Pradesh","India",FALSE
"10","   ''  CMO  -  ,     ","2018-07-28 14:22:05","FALSE","10","12","1","Transportation","Uttar Pradesh","India",FALSE
"11","[gorakhpur deputy sp crime co gorakhnath and dy sp traffic pravin kumar singh bows down to up cm on guru purnima da  ","2018-07-28 13:00:08","FALSE","1","2","1","Transportation","Uttar Pradesh","India",FALSE
"12","@myogiadityanath why do these government officials think that it is their daddy's road. This car has been parked in  ","2018-07-28 09:04:08","FALSE","0","0","-2","Transportation","Uttar Pradesh","India",FALSE
"13","                       2-3   ","2018-07-28 08:07:18","FALSE","0","1","1","Transportation","Uttar Pradesh","India",FALSE
"14","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 07:01:10","FALSE","0","0","0","Transportation","Uttar Pradesh","India",FALSE
"15","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 07:00:43","FALSE","0","0","1","Transportation","Uttar Pradesh","India",TRUE
"16","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 07:00:06","FALSE","0","0","1","Transportation","Uttar Pradesh","India",TRUE
"17","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 06:59:24","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
"18","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 06:56:18","FALSE","0","0","1","Transportation","Uttar Pradesh","India",TRUE
"19","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 06:23:55","FALSE","0","0","1","Transportation","Uttar Pradesh","India",TRUE
"20","      , ,    17   
 ","2018-07-27 09:44:09","FALSE","0","1","0","Transportation","Uttar Pradesh","India",FALSE
"21","RT @indiatvnews: Heavy rains wreak havoc across north India; 27 killed in Uttar Pradesh, normal life affected in Delhi  StuckInDelhiRains","2018-07-27 08:46:43","TRUE","1","0","0","Transportation","Uttar Pradesh","India",FALSE
"22","Heavy rains wreak havoc across north India; 27 killed in Uttar Pradesh, normal life affected in Delhi  ","2018-07-27 08:38:20","FALSE","1","8","1","Transportation","Uttar Pradesh","India",FALSE
"23","RT @News18UP:         ,       

 ","2018-07-25 12:34:25","TRUE","15","0","0","Transportation","Uttar Pradesh","India",FALSE
"24","RT @speedsteradarsh: Hello @myogiadityanath @noida_authority @PMOIndia. Daily traffic jam @noidatraffic because Garbage dumping is still co","2018-07-24 15:16:32","TRUE","1","0","1","Transportation","Uttar Pradesh","India",FALSE
"25","Hello @myogiadityanath @noida_authority @PMOIndia. Daily traffic jam @noidatraffic because Garbage dumping is still  ","2018-07-24 11:38:01","FALSE","1","0","0","Transportation","Uttar Pradesh","India",FALSE
"26","RT @News18India:        ,       
  &gt;&gt;  ","2018-07-24 07:48:32","TRUE","8","0","0","Transportation","Uttar Pradesh","India",FALSE
"27","RT @WorldOris:  :           ,   .
 ","2018-07-24 05:56:27","TRUE","1","0","1","Transportation","Uttar Pradesh","India",FALSE
"28","RT @SudhirKumarLKO: .     @bindasbhidu @lucknowtraffic     ,      
 ","2018-07-23 17:40:40","TRUE","6","0","1","Transportation","Uttar Pradesh","India",FALSE
"29"," :           ,   .
 ","2018-07-23 13:26:59","FALSE","1","1","1","Transportation","Uttar Pradesh","India",FALSE
"30","@bindasbhidu        ,      ;     ","2018-07-23 12:42:08","FALSE","1","4","1","Transportation","Uttar Pradesh","India",FALSE
"31","             @gorakhpurpolice UttarPradesh 

 ","2018-07-23 10:01:34","FALSE","0","0","1","Transportation","Uttar Pradesh","India",FALSE
"32"," ","2018-07-23 09:12:28","FALSE","0","1","0","Transportation","Uttar Pradesh","India",FALSE
"33","RT @News18India:        ,       
  &gt;&gt;  ","2018-07-23 08:59:41","TRUE","8","0","0","Transportation","Uttar Pradesh","India",TRUE
"34","RT @News18UP:         ,       

 ","2018-07-23 08:56:33","TRUE","15","0","0","Transportation","Uttar Pradesh","India",TRUE
"35","RT @SudhirKumarLKO: .     @bindasbhidu @lucknowtraffic     ,      
 ","2018-07-23 08:36:13","TRUE","6","0","0","Transportation","Uttar Pradesh","India",TRUE
"36","RT @News18UP:         ,       

 ","2018-07-23 08:31:10","TRUE","15","0","1","Transportation","Uttar Pradesh","India",TRUE
"37","RT @News18India:        ,       
  &gt;&gt;  ","2018-07-23 08:17:44","TRUE","8","0","0","Transportation","Uttar Pradesh","India",TRUE
"38","         , VIDEO   Lucknow 
prasthanam UttarPradesh  ","2018-07-23 07:59:54","FALSE","0","0","-2","Transportation","Uttar Pradesh","India",FALSE
"39","RT @News18India:        ,       
  &gt;&gt;  ","2018-07-23 07:59:42","TRUE","8","0","0","Transportation","Uttar Pradesh","India",TRUE
"40"," ","2018-07-23 07:48:08","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
"41","RT @News18India:        ,       
  &gt;&gt;  ","2018-07-23 07:33:46","TRUE","8","0","0","Transportation","Uttar Pradesh","India",TRUE
"42","       ,       
  &gt;&gt;  ","2018-07-23 07:31:22","FALSE","0","0","0","Transportation","Uttar Pradesh","India",FALSE
"43","RT @News18India:        ,       
  &gt;&gt;  ","2018-07-23 07:29:14","TRUE","8","0","0","Transportation","Uttar Pradesh","India",TRUE
"44","RT @News18India:        ,       
  &gt;&gt;  ","2018-07-23 07:29:13","TRUE","8","0","-1","Transportation","Uttar Pradesh","India",TRUE
"45","       ,       
  &gt;&gt;  ","2018-07-23 07:29:09","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
"46","RT @News18India:        ,       
  &gt;&gt;  ","2018-07-23 07:29:04","TRUE","8","0","0","Transportation","Uttar Pradesh","India",TRUE
"47","       ,       
  &gt;&gt;  ","2018-07-23 07:28:26","FALSE","0","4","0","Transportation","Uttar Pradesh","India",TRUE
"48","       ,       
  &gt;&gt;  ","2018-07-23 07:28:21","FALSE","8","49","0","Transportation","Uttar Pradesh","India",TRUE
"49","       ,         ","2018-07-23 07:03:54","FALSE","0","0","0","Transportation","Uttar Pradesh","India",FALSE
"50","Lucknows famous traffic cop Jackie Shroff | Jackie cleared the trafficWATCH VIDEO  ","2018-07-23 06:46:35","FALSE","0","0","0","Transportation","Uttar Pradesh","India",FALSE
"51","RT @WeUttarPradesh:   @bindasbhidu     , @Twitter    .  ","2018-07-23 06:38:15","TRUE","2","0","0","Transportation","Uttar Pradesh","India",FALSE
"52","       ,         ","2018-07-23 06:35:25","FALSE","0","4","1","Transportation","Uttar Pradesh","India",TRUE
"53","RT @WeUttarPradesh:   @bindasbhidu     , @Twitter    .  ","2018-07-23 06:14:53","TRUE","2","0","1","Transportation","Uttar Pradesh","India",TRUE
"54","  @bindasbhidu     , @Twitter    .  ","2018-07-23 06:13:55","FALSE","2","3","1","Transportation","Uttar Pradesh","India",FALSE
"55","RT @SudhirKumarLKO: .     @bindasbhidu @lucknowtraffic     ,      
 ","2018-07-23 06:05:59","TRUE","6","0","0","Transportation","Uttar Pradesh","India",TRUE
"56","RT @SudhirKumarLKO: .     @bindasbhidu @lucknowtraffic     ,      
 ","2018-07-23 06:05:09","TRUE","6","0","1","Transportation","Uttar Pradesh","India",TRUE
"57","RT @SudhirKumarLKO: .     @bindasbhidu @lucknowtraffic     ,      
 ","2018-07-23 05:57:45","TRUE","6","0","0","Transportation","Uttar Pradesh","India",TRUE
"58","RT @News18UP:         ,       

 ","2018-07-23 05:44:24","TRUE","15","0","0","Transportation","Uttar Pradesh","India",TRUE
"59","RT @SudhirKumarLKO: .     @bindasbhidu @lucknowtraffic     ,      
 ","2018-07-23 05:43:53","TRUE","6","0","0","Transportation","Uttar Pradesh","India",TRUE
"60","RT @News18UP:         ,       

 ","2018-07-23 05:39:50","TRUE","15","0","0","Transportation","Uttar Pradesh","India",TRUE
"61",".     @bindasbhidu @lucknowtraffic     ,       ","2018-07-23 05:25:58","FALSE","6","11","0","Transportation","Uttar Pradesh","India",FALSE
"62","RT @News18UP:         ,       

 ","2018-07-23 05:16:40","TRUE","15","0","0","Transportation","Uttar Pradesh","India",TRUE
"63","RT @News18UP:         ,       

 ","2018-07-23 05:10:04","TRUE","15","0","0","Transportation","Uttar Pradesh","India",TRUE
"64","RT @News18UP:         ,       

 ","2018-07-23 05:04:52","TRUE","15","0","0","Transportation","Uttar Pradesh","India",TRUE
"65","RT @News18UP:         ,       

 ","2018-07-23 05:04:09","TRUE","15","0","0","Transportation","Uttar Pradesh","India",TRUE
"66","RT @News18UP:         ,       

 ","2018-07-23 05:01:02","TRUE","15","0","0","Transportation","Uttar Pradesh","India",TRUE
"67","RT @News18UP:         ,       

 ","2018-07-23 05:00:56","TRUE","15","0","0","Transportation","Uttar Pradesh","India",TRUE
"68","        ,       

 ","2018-07-23 05:00:01","FALSE","15","78","0","Transportation","Uttar Pradesh","India",FALSE
"69","RT @dmills3710: Train Passenger Helps Rescue 26 Girls From ChildTraffickers On Train in Uttar Pradesh, north India

Adarsh Shrivastava","2018-07-19 22:02:12","TRUE","95","0","-2","Transportation","Uttar Pradesh","India",FALSE
"70","   ,   ,,   ,,               ","2018-07-29 12:34:35","FALSE","0","1","2","Transportation","Uttar Pradesh","India",TRUE
"71","                -    ","2018-07-29 11:04:14","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
"72","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:37:38","TRUE","10","0","0","Transportation","Uttar Pradesh","India",TRUE
"73","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:36:08","TRUE","10","0","1","Transportation","Uttar Pradesh","India",TRUE
"74","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:33:26","TRUE","10","0","0","Transportation","Uttar Pradesh","India",TRUE
"75","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:29:25","TRUE","10","0","1","Transportation","Uttar Pradesh","India",TRUE
"76","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 07:27:00","TRUE","10","0","0","Transportation","Uttar Pradesh","India",TRUE
"77","RT @SPSHARM00799790:    ''  CMO  -  ,     ","2018-07-29 06:41:45","TRUE","10","0","0","Transportation","Uttar Pradesh","India",TRUE
"78","RT @Sachinhitman: [gorakhpur deputy sp crime co gorakhnath and dy sp traffic pravin kumar singh bows down to up cm on guru purnima day yest","2018-07-29 02:59:50","TRUE","1","0","0","Transportation","Uttar Pradesh","India",TRUE
"79","   ''  CMO  -  ,     ","2018-07-28 14:22:05","FALSE","10","12","0","Transportation","Uttar Pradesh","India",TRUE
"80","[gorakhpur deputy sp crime co gorakhnath and dy sp traffic pravin kumar singh bows down to up cm on guru purnima da  ","2018-07-28 13:00:08","FALSE","1","2","0","Transportation","Uttar Pradesh","India",TRUE
"81","@myogiadityanath why do these government officials think that it is their daddy's road. This car has been parked in  ","2018-07-28 09:04:08","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
"82","                       2-3   ","2018-07-28 08:07:18","FALSE","0","1","0","Transportation","Uttar Pradesh","India",TRUE
"83","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 07:01:10","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
"84","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 07:00:43","FALSE","0","0","1","Transportation","Uttar Pradesh","India",TRUE
"85","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 07:00:06","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
"86","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 06:59:24","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
"87","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 06:56:18","FALSE","0","0","1","Transportation","Uttar Pradesh","India",TRUE
"88","TIL Desk UP/ Heavy rains lashed northern parts of the country, claiming 27 lives in Uttar Pradesh and leading to wa  ","2018-07-28 06:23:55","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
"89","      , ,    17   
 ","2018-07-27 09:44:09","FALSE","0","1","1","Transportation","Uttar Pradesh","India",TRUE
"90","RT @indiatvnews: Heavy rains wreak havoc across north India; 27 killed in Uttar Pradesh, normal life affected in Delhi  StuckInDelhiRains","2018-07-27 08:46:43","TRUE","1","0","1","Transportation","Uttar Pradesh","India",TRUE
"91","Heavy rains wreak havoc across north India; 27 killed in Uttar Pradesh, normal life affected in Delhi  ","2018-07-27 08:38:20","FALSE","1","8","0","Transportation","Uttar Pradesh","India",TRUE
"92","RT @News18UP:         ,       

 ","2018-07-25 12:34:25","TRUE","15","0","1","Transportation","Uttar Pradesh","India",TRUE
"93","RT @speedsteradarsh: Hello @myogiadityanath @noida_authority @PMOIndia. Daily traffic jam @noidatraffic because Garbage dumping is still co","2018-07-24 15:16:32","TRUE","1","0","0","Transportation","Uttar Pradesh","India",TRUE
"94","Hello @myogiadityanath @noida_authority @PMOIndia. Daily traffic jam @noidatraffic because Garbage dumping is still  ","2018-07-24 11:38:01","FALSE","1","0","0","Transportation","Uttar Pradesh","India",TRUE
"95","RT @News18India:        ,       
  &gt;&gt;  ","2018-07-24 07:48:32","TRUE","8","0","0","Transportation","Uttar Pradesh","India",TRUE
"96","RT @WorldOris:  :           ,   .
 ","2018-07-24 05:56:27","TRUE","1","0","0","Transportation","Uttar Pradesh","India",TRUE
"97","RT @SudhirKumarLKO: .     @bindasbhidu @lucknowtraffic     ,      
 ","2018-07-23 17:40:40","TRUE","6","0","0","Transportation","Uttar Pradesh","India",TRUE
"98"," :           ,   .
 ","2018-07-23 13:26:59","FALSE","1","1","0","Transportation","Uttar Pradesh","India",TRUE
"99","@bindasbhidu        ,      ;     ","2018-07-23 12:42:08","FALSE","1","4","0","Transportation","Uttar Pradesh","India",TRUE
"100","             @gorakhpurpolice UttarPradesh 

 ","2018-07-23 10:01:34","FALSE","0","0","0","Transportation","Uttar Pradesh","India",TRUE
