"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-29 13:16:42","TRUE","1","0","-1","Education","West Bengal","India",FALSE
"2","Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In par  ","2018-07-29 13:15:00","FALSE","1","3","-1","Education","West Bengal","India",FALSE
"3","L- LIC Housing

M- Madhu Koda

N- Non-banking financial companies 

O- Oriental Bank

P- Punjab State Council of Ed  ","2018-07-29 13:06:32","FALSE","0","2","-1","Education","West Bengal","India",FALSE
"4","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-29 09:19:25","FALSE","0","0","0","Education","West Bengal","India",FALSE
"5","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-29 09:16:00","FALSE","0","0","-1","Education","West Bengal","India",TRUE
"6","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-29 09:15:56","FALSE","0","0","3","Education","West Bengal","India",TRUE
"7","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-29 08:43:19","TRUE","11","0","1","Education","West Bengal","India",TRUE
"8","@MamataOfficial 
We do not want a leader who just seeks and gives support to form an opposition.

But I would love  ","2018-07-29 07:53:02","FALSE","0","0","1","Education","West Bengal","India",FALSE
"9","Smile Education Consultancy Helpline 9903-033-033
4 Lake West Road,
Arambagh Food Mart Building (3rd Floor),
(Near  ","2018-07-29 06:37:37","FALSE","0","1","0","Education","West Bengal","India",FALSE
"10","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-28 19:05:24","FALSE","0","0","1","Education","West Bengal","India",TRUE
"11","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-28 19:05:20","FALSE","0","0","1","Education","West Bengal","India",TRUE
"12","                        
      ","2018-07-28 16:03:00","FALSE","0","1","-2","Education","West Bengal","India",FALSE
"13","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-28 14:58:24","TRUE","11","0","1","Education","West Bengal","India",TRUE
"14","Education News West Bengal government seeking termination of the No Detention policy  ","2018-07-28 11:33:29","FALSE","0","3","0","Education","West Bengal","India",FALSE
"15","RT @sarennimai29: For improvement of the education infrastructure WestBengal govt has decided to open five more universities. Bengal Bes","2018-07-28 08:28:24","TRUE","2","0","1","Education","West Bengal","India",FALSE
"16","RT @sarennimai29: For improvement of the education infrastructure WestBengal govt has decided to open five more universities. Bengal Bes","2018-07-28 08:01:42","TRUE","2","0","1","Education","West Bengal","India",TRUE
"17","For improvement of the education infrastructure WestBengal govt has decided to open five more universities.  ","2018-07-28 07:56:59","FALSE","2","2","0","Education","West Bengal","India",FALSE
"18","Four New Varsities To Come Up In West Bengal  ","2018-07-28 02:25:58","FALSE","0","0","1","Education","West Bengal","India",FALSE
"19","RT @kavita_tewari: Met the youngest headmaster Sri Babar Ali who is inspired by Swami Vivekananda and giving free education to 500 students","2018-07-27 17:58:43","TRUE","98","0","1","Education","West Bengal","India",FALSE
"20","RT @kavita_tewari: Met the youngest headmaster Sri Babar Ali who is inspired by Swami Vivekananda and giving free education to 500 students","2018-07-27 17:36:31","TRUE","98","0","0","Education","West Bengal","India",TRUE
"21","Four New Varsities To Come Up In West Bengal  ","2018-07-27 16:47:33","FALSE","0","0","0","Education","West Bengal","India",TRUE
"22","RT @kavita_tewari: Met the youngest headmaster Sri Babar Ali who is inspired by Swami Vivekananda and giving free education to 500 students","2018-07-27 16:42:42","TRUE","98","0","1","Education","West Bengal","India",TRUE
"23","RT @kavita_tewari: Met the youngest headmaster Sri Babar Ali who is inspired by Swami Vivekananda and giving free education to 500 students","2018-07-27 15:31:06","TRUE","98","0","0","Education","West Bengal","India",TRUE
"24","RT @IndianExpress: Four new universities to come up in West Bengal

 ","2018-07-27 15:12:05","TRUE","3","0","1","Education","West Bengal","India",FALSE
"25","Four new universities to come up in West Bengal..  ","2018-07-27 14:43:58","FALSE","0","0","0","Education","West Bengal","India",FALSE
"26","RT @kavita_tewari: Met the youngest headmaster Sri Babar Ali who is inspired by Swami Vivekananda and giving free education to 500 students","2018-07-27 14:32:57","TRUE","98","0","0","Education","West Bengal","India",TRUE
"27","RT @kavita_tewari: Met the youngest headmaster Sri Babar Ali who is inspired by Swami Vivekananda and giving free education to 500 students","2018-07-27 14:31:15","TRUE","98","0","1","Education","West Bengal","India",TRUE
"28","RT @kavita_tewari: Met the youngest headmaster Sri Babar Ali who is inspired by Swami Vivekananda and giving free education to 500 students","2018-07-27 14:28:44","TRUE","98","0","1","Education","West Bengal","India",TRUE
"29","RT @IndianExpress: Four new universities to come up in West Bengal

 ","2018-07-27 14:25:52","TRUE","3","0","1","Education","West Bengal","India",TRUE
"30","RT @IndianExpress: Four new universities to come up in West Bengal

 ","2018-07-27 14:22:35","TRUE","3","0","1","Education","West Bengal","India",TRUE
