"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @NH_India: St Stephens College withdraws invite to West Bengal CM Mamata Banerjee  ","2018-07-29 16:41:32","TRUE","3","0","-1","Education","West Bengal","India",FALSE
"2","RT @republic: St. Stephen's college withdraws invite to Mamata Banerjee. Here's why

 ","2018-07-29 15:33:39","TRUE","53","0","-1","Education","West Bengal","India",FALSE
"3","St Stephens College withdraws invite to West Bengal CM Mamata Banerjee  ","2018-07-29 14:14:59","FALSE","3","12","-1","Education","West Bengal","India",FALSE
"4","RT @YogeshKumarMJan: Yes! This is what's required to be done now by every nationalist in the country. @kapoorashok25 @a09ea2180ded422 @Asho","2018-07-29 14:14:34","TRUE","4","0","0","Education","West Bengal","India",FALSE
"5","RT @IndiaToday: West Bengal Minister Sovandeb Chattopadhyay hits out at BJP over  cancellation of TMC chief Mamata Banerjee's engagement by","2018-07-29 13:45:25","TRUE","4","0","-1","Education","West Bengal","India",FALSE
"6","RT @bksingh1712: Delhis St. Stephen's college withdraws invite to West Bengal CM Mamata Banerjee
 ","2018-07-29 13:44:04","TRUE","2","0","3","Education","West Bengal","India",FALSE
"7","RT @TimesNow: West Bengal CM Mamata Banerjees event at St Stephens college in Delhi was canceled as authorities later wrote saying that th","2018-07-29 13:30:02","TRUE","7","0","1","Education","West Bengal","India",FALSE
"8","RT @republic: St. Stephen's college withdraws invite to Mamata Banerjee. Here's why

 ","2018-07-29 13:21:14","TRUE","53","0","1","Education","West Bengal","India",TRUE
"9","RT @IndiaToday: West Bengal Minister Sovandeb Chattopadhyay hits out at BJP over  cancellation of TMC chief Mamata Banerjee's engagement by","2018-07-29 12:44:04","TRUE","4","0","0","Education","West Bengal","India",TRUE
"10","RT @IndiaToday: West Bengal Minister Sovandeb Chattopadhyay hits out at BJP over  cancellation of TMC chief Mamata Banerjee's engagement by","2018-07-29 12:43:57","TRUE","4","0","1","Education","West Bengal","India",TRUE
"11","West Bengal Minister Sovandeb Chattopadhyay hits out at BJP over  cancellation of TMC chief Mamata Banerjee's engag  ","2018-07-29 12:38:06","FALSE","4","24","1","Education","West Bengal","India",FALSE
"12","West Bengal Chief Minister Mamata Banerjee will not address students at St Stephen's College on August 1.  ","2018-07-29 12:30:02","FALSE","0","2","-2","Education","West Bengal","India",FALSE
"13","RT @YogeshKumarMJan: Yes! This is what's required to be done now by every nationalist in the country. @kapoorashok25 @a09ea2180ded422 @Asho","2018-07-29 11:33:33","TRUE","4","0","1","Education","West Bengal","India",TRUE
"14","RT @republic: St. Stephen's college withdraws invite to Mamata Banerjee. Here's why

 ","2018-07-29 10:22:08","TRUE","53","0","0","Education","West Bengal","India",TRUE
"15","RT @republic: St. Stephen's college withdraws invite to Mamata Banerjee. Here's why

 ","2018-07-29 09:28:07","TRUE","53","0","1","Education","West Bengal","India",TRUE
"16","The Trinamool Congress (TMC) leadership on Saturday sniffed a BJP-RSS hand behind the cancellation of party supremo  ","2018-07-29 09:24:31","FALSE","0","0","1","Education","West Bengal","India",FALSE
"17","Delhis St. Stephen's college withdraws invite to West Bengal CM Mamata Banerjee - Republic World  ","2018-07-29 08:20:21","FALSE","0","0","0","Education","West Bengal","India",FALSE
"18","          ","2018-07-29 08:04:27","FALSE","0","1","1","Education","West Bengal","India",FALSE
"19","RT @republic: St. Stephen's college withdraws invite to Mamata Banerjee. Here's why

 ","2018-07-29 07:41:01","TRUE","53","0","1","Education","West Bengal","India",TRUE
"20","RT @imSaffronAshu:  ,    ,  ,        ........     ","2018-07-29 07:38:10","TRUE","6","0","0","Education","West Bengal","India",FALSE
"21","RT @republic: St. Stephen's college withdraws invite to Mamata Banerjee. Here's why

 ","2018-07-29 07:26:25","TRUE","53","0","0","Education","West Bengal","India",TRUE
"22","@republic A leader when a college student asks a question in a media talk show and she blasted off with anger towar  ","2018-07-29 07:12:04","FALSE","0","0","1","Education","West Bengal","India",FALSE
"23","West Bengal CM Mamata Banerjee's address at St Stephen's College called off  ","2018-07-29 07:09:34","FALSE","0","0","0","Education","West Bengal","India",FALSE
"24","RT @NewsWestBengal: Delhi's St. Stephen's College withdraws invite to West Bengal Chief Minister Mamata Banerjee - The New Indian Express h","2018-07-29 06:33:16","TRUE","2","0","1","Education","West Bengal","India",FALSE
"25","RT @TimesNow: West Bengal CM Mamata Banerjees event at St Stephens college in Delhi was canceled as authorities later wrote saying that th","2018-07-29 06:33:02","TRUE","7","0","0","Education","West Bengal","India",TRUE
"26","@SunidhiChauhan5 It was a big regret when I missed your concert at AOT college West Bengal about 5 to 6 years ago!!  ","2018-07-29 06:27:08","FALSE","0","1","0","Education","West Bengal","India",FALSE
"27","RT @Suneetsukl: Delhis St Stephens College has cancelled an August 1 address of its students by West Bengal CM Mamata Banerjee citing pro","2018-07-29 06:14:22","TRUE","1","0","1","Education","West Bengal","India",FALSE
"28","Citing institutional procedural norms, St Stephens college on Friday cancelled an address by West Bengal CM Mamata  ","2018-07-29 06:09:45","FALSE","0","0","1","Education","West Bengal","India",FALSE
"29","Delhis St Stephens College has cancelled an August 1 address of its students by West Bengal CM Mamata Banerjee ci  ","2018-07-29 06:05:27","FALSE","1","0","1","Education","West Bengal","India",FALSE
"30","RT @republic: St. Stephen's college withdraws invite to Mamata Banerjee. Here's why

 ","2018-07-29 05:56:59","TRUE","53","0","1","Education","West Bengal","India",TRUE
"31","RT @TimesNow: West Bengal CM Mamata Banerjees event at St Stephens college in Delhi was canceled as authorities later wrote saying that th","2018-07-29 05:52:41","TRUE","7","0","1","Education","West Bengal","India",TRUE
"32","RT @TimesNow: West Bengal CM Mamata Banerjees event at St Stephens college in Delhi was canceled as authorities later wrote saying that th","2018-07-29 05:38:06","TRUE","7","0","0","Education","West Bengal","India",TRUE
"33","RT @TimesNow: West Bengal CM Mamata Banerjees event at St Stephens college in Delhi was canceled as authorities later wrote saying that th","2018-07-29 05:34:03","TRUE","7","0","0","Education","West Bengal","India",TRUE
"34","RT @TimesNow: West Bengal CM Mamata Banerjees event at St Stephens college in Delhi was canceled as authorities later wrote saying that th","2018-07-29 05:33:57","TRUE","7","0","0","Education","West Bengal","India",TRUE
