"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","WBPSC West Bengal Works Accountant Recruitment employmentnotice recruitmentnotification employmentnews jobalert  ","2018-07-29 14:51:42","FALSE","0","0","-1","Employment","West Bengal","India",FALSE
"2","@derekobrienmp Half the population of Bengal has sought employment refuge in other states leaving only a handful of  ","2018-07-29 14:19:40","FALSE","0","0","-1","Employment","West Bengal","India",FALSE
"3","Employment Bank (YUVASREE) 10 no New List -25/07/2018 (west bengal):  ","2018-07-29 14:00:48","FALSE","0","0","-1","Employment","West Bengal","India",FALSE
"4","State is still backward in terms of industries,  technological advancement, generation of employment and it is the  ","2018-07-29 03:58:04","FALSE","0","0","0","Employment","West Bengal","India",FALSE
"5","RT @HIMESH_SS: It is heart wrenching to read a news that 3 children of rickshaw puller from West Bengal Bangla suspected to hv died of hun","2018-07-28 13:47:20","TRUE","4","0","-1","Employment","West Bengal","India",FALSE
"6","RT @HIMESH_SS: It is heart wrenching to read a news that 3 children of rickshaw puller from West Bengal Bangla suspected to hv died of hun","2018-07-28 06:20:32","TRUE","4","0","3","Employment","West Bengal","India",TRUE
"7","RT @HIMESH_SS: It is heart wrenching to read a news that 3 children of rickshaw puller from West Bengal Bangla suspected to hv died of hun","2018-07-28 06:18:47","TRUE","4","0","1","Employment","West Bengal","India",TRUE
"8","RT @HIMESH_SS: It is heart wrenching to read a news that 3 children of rickshaw puller from West Bengal Bangla suspected to hv died of hun","2018-07-28 06:13:48","TRUE","4","0","1","Employment","West Bengal","India",TRUE
"9","It is heart wrenching to read a news that 3 children of rickshaw puller from West Bengal Bangla suspected to hv di  ","2018-07-28 06:11:13","FALSE","4","1","0","Employment","West Bengal","India",FALSE
"10","WBHRB Staff Nurse Recruitment 2018 | West employmentnotice recruitmentnotification employmentnews jobalert  ","2018-07-27 08:50:28","FALSE","0","0","1","Employment","West Bengal","India",FALSE
"11","RT @mygovindia: Young farmers from all across West Bengal, talking about fish hatcheries and how they are providing employment, in a live i","2018-07-27 08:35:19","TRUE","134","0","1","Employment","West Bengal","India",FALSE
"12","RT @abishekbagchi: West Bengal has become the best performing State both in terms of allotting Jobs and Utilizing funds under the Mahatma G","2018-07-26 13:23:29","TRUE","15","0","-2","Employment","West Bengal","India",FALSE
"13","WBPSC Lecturer Recruitment 2018 | West Bengal employmentnotice recruitmentnotification employmentnews jobalert  ","2018-07-26 02:49:53","FALSE","0","0","1","Employment","West Bengal","India",FALSE
"14","RT @abishekbagchi: West Bengal has become the best performing State both in terms of allotting Jobs and Utilizing funds under the Mahatma G","2018-07-25 21:04:31","TRUE","15","0","0","Employment","West Bengal","India",TRUE
"15","@shubhada1234 @Worldcu55617750 @JhaSanjay @timesofindia @RahulGandhi Dekhiea apna west Bengal may momota may bola b  ","2018-07-25 15:47:58","FALSE","0","0","1","Employment","West Bengal","India",FALSE
"16","WBPSC Motor Vehicle Inspector Recruitment 2018 employmentnotice recruitmentnotification employmentnews jobalert  ","2018-07-25 14:50:31","FALSE","0","0","1","Employment","West Bengal","India",FALSE
"17","WBHRB Staff Nurse Recruitment 2018 | West Bengal Health Recruitment Board (WBHRB) Recruitment 2018 for 4976 Staff N  ","2018-07-24 12:49:19","FALSE","0","0","0","Employment","West Bengal","India",FALSE
"18","WBHRB Staff Nurse Recruitment 2018 | West Bengal Health Recruitment Board (WBHRB) Recruitment 2018 for 4976 Staff N  ","2018-07-24 12:49:15","FALSE","0","0","1","Employment","West Bengal","India",TRUE
"19","WBHRB Staff Nurse Recruitment 2018 | West Bengal Health Recruitment Board (WBHRB) Recruitment 2018 for 4976 Staff N  ","2018-07-24 12:49:10","FALSE","0","0","1","Employment","West Bengal","India",TRUE
