"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Associate Professor - Ophthalmology - MD - Hospital (5-10 yrs) Durgapur/West Bengal (Medical Faculty)...","2018-07-29 15:09:06","FALSE","0","0","-1","Health Care","West Bengal","India",FALSE
"2","Health and Family Welfare Dept of the Govt of West Bengal has issued a notification by which beneficiaries of RSBY  ","2018-07-29 14:14:39","FALSE","0","2","-1","Health Care","West Bengal","India",FALSE
"3","RT @thatsTamil:     .       ","2018-07-29 13:54:06","TRUE","2","0","-1","Health Care","West Bengal","India",FALSE
"4","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-29 12:32:07","TRUE","167","0","0","Health Care","West Bengal","India",FALSE
"5","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-29 10:10:58","TRUE","167","0","-1","Health Care","West Bengal","India",TRUE
"6","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-29 08:52:56","TRUE","167","0","3","Health Care","West Bengal","India",TRUE
"7","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-29 07:16:10","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"8","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-29 05:38:21","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"9","    .       ","2018-07-29 04:40:07","FALSE","2","11","0","Health Care","West Bengal","India",FALSE
"10","RT @LegalKant: @lexbery @narendramodi More than 100 Cr were spent on West Bengal State Haj House by @MamataOfficial 

Tell me one public ho","2018-07-28 19:19:44","TRUE","3","0","1","Health Care","West Bengal","India",FALSE
"11","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 18:46:37","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"12","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 18:30:08","TRUE","167","0","-2","Health Care","West Bengal","India",TRUE
"13","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 17:56:35","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"14","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 16:34:12","TRUE","167","0","0","Health Care","West Bengal","India",TRUE
"15","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 16:07:47","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"16","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 16:05:57","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"17","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 15:56:43","TRUE","167","0","0","Health Care","West Bengal","India",TRUE
"18","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 15:23:46","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"19","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 15:05:50","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"20","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 14:35:42","TRUE","167","0","0","Health Care","West Bengal","India",TRUE
"21","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 14:31:15","TRUE","167","0","0","Health Care","West Bengal","India",TRUE
"22","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 14:20:37","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"23","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 13:47:16","TRUE","167","0","0","Health Care","West Bengal","India",TRUE
"24","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 13:27:48","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"25","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 13:14:28","TRUE","167","0","0","Health Care","West Bengal","India",TRUE
"26","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 13:01:21","TRUE","167","0","0","Health Care","West Bengal","India",TRUE
"27","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 12:32:28","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"28","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 12:21:00","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"29","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 12:17:36","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"30","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 11:50:17","TRUE","167","0","1","Health Care","West Bengal","India",TRUE
"31","Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reported  ","2018-07-28 11:30:25","FALSE","0","1","1","Health Care","West Bengal","India",FALSE
"32","RT @amritabhinder: Local BJP leader in West Bengal hacked to death

Shaktipada Sardar, a member of BJPs Mandal Committee was reportedly at","2018-07-28 11:30:16","TRUE","167","0","0","Health Care","West Bengal","India",TRUE
