"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @News18India:              
 ","2018-07-28 18:37:30","TRUE","2","0","0","Climate","Bihar","India",FALSE
"2","RT @News18India:              
 ","2018-07-28 18:12:28","TRUE","2","0","0","Climate","Bihar","India",TRUE
"3","RT @sardeepsingh:              
 ","2018-07-28 18:11:50","TRUE","1","0","0","Climate","Bihar","India",FALSE
"4","RT @News18hindi:              
 ","2018-07-28 18:11:38","TRUE","1","0","0","Climate","Bihar","India",FALSE
"5","             
 ","2018-07-28 18:09:22","FALSE","1","0","0","Climate","Bihar","India",FALSE
"6","RT @HindiNews18:              
 ","2018-07-28 18:08:45","TRUE","1","0","0","Climate","Bihar","India",FALSE
"7","             
 ","2018-07-28 18:07:41","FALSE","1","0","0","Climate","Bihar","India",TRUE
"8","             
 ","2018-07-28 18:06:56","FALSE","2","20","0","Climate","Bihar","India",TRUE
"9","             
 ","2018-07-28 18:06:51","FALSE","1","3","0","Climate","Bihar","India",TRUE
"10","@CMOBihar , @NitishKumar , @SushilModi , @PMOIndia , @yadavtejashwi @ndtv, @ravishndtv @aajtak, @abpnewstv ,  ","2018-07-28 15:44:08","FALSE","0","0","0","Climate","Bihar","India",FALSE
"11","heavy rain at isolated places very likely over East MadhyaPradesh, Bihar , Sub Himalayan WestBengal Sikkim,  ","2018-07-28 15:07:13","FALSE","0","0","-1","Climate","Bihar","India",FALSE
"12","   2     - ABP News  ","2018-07-28 15:03:18","FALSE","0","0","0","Climate","Bihar","India",FALSE
"13","Weather Forecast for July 29: Heavy rain in Bihar, Jharkhand, West Bengal  ","2018-07-28 14:47:15","FALSE","0","0","0","Climate","Bihar","India",FALSE
"14","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 13:25:27","TRUE","32","0","-1","Climate","Bihar","India",FALSE
"15","Weather Forecast for July 29: Heavy rain in Bihar, Jharkhand, West Bengal - Skymet Weather  ","2018-07-28 13:12:12","FALSE","0","0","0","Climate","Bihar","India",FALSE
"16","RT @ZeeBiharNews:                  . 
 ","2018-07-28 13:01:28","TRUE","1","0","0","Climate","Bihar","India",FALSE
"17",":       ,           ","2018-07-28 12:34:06","FALSE","0","0","0","Climate","Bihar","India",FALSE
"18","Weather Forecast for July 29: Heavy rain in Bihar Jharkhand WestBengal @ZeeBiharNews @TOIIndiaNews @htTweets  ","2018-07-28 12:30:00","FALSE","0","4","0","Climate","Bihar","India",FALSE
"19","RT @expressswaraj: -,     19    48    
 ","2018-07-28 12:01:39","TRUE","1","0","0","Climate","Bihar","India",FALSE
"20","-,     19    48    
 ","2018-07-28 11:46:09","FALSE","1","1","0","Climate","Bihar","India",FALSE
"21","    ,    -               ","2018-07-28 11:09:14","FALSE","0","0","0","Climate","Bihar","India",FALSE
"22","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 10:19:35","TRUE","32","0","-1","Climate","Bihar","India",TRUE
"23","@ramanmann1974 @PMOIndia @_YogendraYadav Monsoon reappears in Bihar and UP  two days back, paddy planting is below  ","2018-07-28 10:05:07","FALSE","0","0","0","Climate","Bihar","India",FALSE
"24","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 09:47:30","TRUE","32","0","-1","Climate","Bihar","India",TRUE
"25","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 09:31:59","TRUE","32","0","-1","Climate","Bihar","India",TRUE
"26","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 09:25:07","TRUE","32","0","-1","Climate","Bihar","India",TRUE
"27","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 09:14:11","TRUE","32","0","-1","Climate","Bihar","India",TRUE
"28","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 08:54:43","TRUE","32","0","-1","Climate","Bihar","India",TRUE
"29","Rain plays spoilsport for RJD leader TejashwiYadav's ""NDA Bhagao, Beti Bachao"" cycle yatra starting from Gaya.
Bihar 
@NewIndianXpress","2018-07-28 08:51:58","FALSE","0","0","0","Climate","Bihar","India",FALSE
"30","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 08:49:37","TRUE","32","0","-1","Climate","Bihar","India",TRUE
"31","    ,         ","2018-07-28 08:28:20","FALSE","0","0","0","Climate","Bihar","India",FALSE
"32","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 08:27:31","TRUE","32","0","-1","Climate","Bihar","India",TRUE
"33","RT @Live_Hindustan: ,     19      ,  48     
 ","2018-07-28 08:24:27","TRUE","6","0","0","Climate","Bihar","India",FALSE
"34","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 08:14:45","TRUE","32","0","-1","Climate","Bihar","India",TRUE
"35","RT @Live_Hindustan: ,     19      ,  48     
 ","2018-07-28 08:09:56","TRUE","6","0","0","Climate","Bihar","India",TRUE
