"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-28 16:31:28","TRUE","19","0","-1","Climate","Chhattisgarh","India",FALSE
"2","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-28 16:08:42","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"3","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-28 15:24:34","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"4","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-28 12:18:14","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"5","       ,    
 ","2018-07-28 09:08:51","FALSE","0","0","0","Climate","Chhattisgarh","India",FALSE
"6","     ,       :
 ","2018-07-28 04:58:04","FALSE","1","1","0","Climate","Chhattisgarh","India",FALSE
"7","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-27 17:56:51","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"8","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-27 15:53:12","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"9","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-27 14:18:01","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"10","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-27 13:56:24","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"11","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-27 13:56:04","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"12","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-27 13:38:26","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"13","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-27 13:24:47","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"14","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-27 13:24:15","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
"15","Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp;  ","2018-07-27 13:23:01","FALSE","0","1","-1","Climate","Chhattisgarh","India",FALSE
"16","RT @ANI: Balrampur: Students of a government school in Jagima village study under a tree due to dispute between the govt &amp; some villagers o","2018-07-27 13:07:52","TRUE","19","0","-1","Climate","Chhattisgarh","India",TRUE
