"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Delhis air quality turned good yesterday for first time this year due to rain  ","2018-07-29 15:46:50","FALSE","0","0","-1","Climate","Delhi","India",FALSE
"2","@ArvindKejriwal abb to rain bhi ho gayi Delhi mein sadd ji...doob maro ussi mein","2018-07-29 15:44:10","FALSE","0","0","-1","Climate","Delhi","India",FALSE
"3","Waterlogging, traffic snarls, road cave-in in NCR: 3 hours of rain drowned 3 governments' claims of development  ","2018-07-29 15:37:41","FALSE","0","0","-1","Climate","Delhi","India",FALSE
"4","12 killed in rain-related incidents in UP; Yamuna flows above danger mark in Delhi - Business Standard  ","2018-07-29 15:21:42","FALSE","0","0","0","Climate","Delhi","India",FALSE
"5","RT @GuptaMj1: @DilliAajtaktv AS RAIN COMES ---MCD sleeps ---As always Delhi weeps @Swamy39 ,@nitin_gadkari @LtGovDelhi @narendramodi","2018-07-29 15:19:44","TRUE","1","0","-1","Climate","Delhi","India",FALSE
"6","@DilliAajtaktv AS RAIN COMES ---MCD sleeps ---As always Delhi weeps @Swamy39 ,@nitin_gadkari @LtGovDelhi @narendramodi","2018-07-29 15:19:09","FALSE","1","0","3","Climate","Delhi","India",FALSE
"7","Indian Politicians only make fool of Citizens. We just see them at the time of Elections. Delhi called a capital of  ","2018-07-29 15:13:07","FALSE","0","0","1","Climate","Delhi","India",FALSE
"8","@ParivahanUP The condition of Janrath between Dehradun and Delhi is very bad bad. The seats are broken and unclean.  ","2018-07-29 14:59:35","FALSE","0","0","1","Climate","Delhi","India",FALSE
"9","The water level in has crossed the danger level mark in Delhi today following water discharge from Haryana and cont  ","2018-07-29 14:25:02","FALSE","0","0","0","Climate","Delhi","India",FALSE
"10","RT @Live_Hindustan: -NCR   , MP      ,    
 ","2018-07-29 13:44:07","TRUE","2","0","1","Climate","Delhi","India",FALSE
"11","             
Delhi

 ","2018-07-29 13:41:32","FALSE","0","0","1","Climate","Delhi","India",FALSE
"12","RT @moneycontrolcom: Rain fury claims 31 lives in UP; Yamuna breaches danger mark in Delhi  ","2018-07-29 13:26:34","TRUE","3","0","-2","Climate","Delhi","India",FALSE
"13","Waterlogging, traffic snarls, road cave-in in NCR: 3 hours of rain drowned 3 governments' claims of development  ","2018-07-29 13:16:49","FALSE","0","0","1","Climate","Delhi","India",TRUE
"14","@spectatorindex @ValLisitsa Delhi belly..
Bangkok has acid rain... the puddles in the street eroded my skin every day...","2018-07-29 12:56:57","FALSE","0","0","0","Climate","Delhi","India",FALSE
"15","""Flood Warning Issued in Delhi as Yamuna Water Rises Due to Rain - The Wire""  ","2018-07-29 12:43:03","FALSE","0","0","1","Climate","Delhi","India",FALSE
"16","@PenduShehari @_mwaseem_ Rimjhim nahin, mausladhaar baarish hoti hai air lagataar hoti hai.
 In contrast, I and my  ","2018-07-29 12:41:20","FALSE","0","0","1","Climate","Delhi","India",FALSE
