"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","The water level in has crossed the danger level mark in Delhi today following water discharge from Haryana and cont  ","2018-07-28 17:06:05","FALSE","0","0","-1","Climate","Haryana","India",FALSE
"2","Evacuation Begins As Yamuna Water Level Crosses Danger Mark In Delhi.

Floods Delhi Rain Haryana  ","2018-07-28 15:28:02","FALSE","0","1","-1","Climate","Haryana","India",FALSE
"3","Delhi rain live updates: Haryana releases more water, Kejriwal calls emergency meeting  ","2018-07-28 15:06:48","FALSE","0","0","-1","Climate","Haryana","India",FALSE
"4","Delhi rain live updates: Haryana releases more water, Kejriwal calls emergency meeting  ","2018-07-28 14:57:09","FALSE","0","0","-1","Climate","Haryana","India",TRUE
"5","   :    :   ,       ","2018-07-28 14:28:24","FALSE","0","0","0","Climate","Haryana","India",FALSE
"6","DelhiRains
Yamuna river has become shallow that even 1 or 2 days rain &amp; some water from Haryana has made it cross  ","2018-07-28 14:22:08","FALSE","0","2","-1","Climate","Haryana","India",FALSE
"7","Now SAD ji @ArvindKejriwal will say there was no Rain in Delhi and flood is because Haryana has released some 5 lakh .....

@TajinderBagga","2018-07-28 14:07:02","FALSE","0","0","-1","Climate","Haryana","India",FALSE
"8","The water level in has crossed the danger level mark in Delhi today following water discharge from Haryana and cont  ","2018-07-28 14:01:54","FALSE","0","0","-1","Climate","Haryana","India",TRUE
"9","RT @punjabkesari:    :    :   ,     
HaryanaHighAlert Yamuna WaterLevelHigh
 ","2018-07-28 13:55:08","TRUE","1","0","0","Climate","Haryana","India",FALSE
"10","RT @PIB_India: MonsoonUpdate: Heavy rain at isolated places over Arunachal Pradesh,
Nagaland,   Manipur,   Mizoram   &amp;   Tripura,   Ganget","2018-07-28 13:25:27","TRUE","32","0","-1","Climate","Haryana","India",FALSE
"11","   :    :   ,     
HaryanaHighAlert Yamuna  ","2018-07-28 13:19:45","FALSE","1","4","0","Climate","Haryana","India",FALSE
