"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@nadaanparindey_ climate looks awesome...enjoy zoya....i miss kerala's rain and green!","2018-07-28 12:07:34","FALSE","0","1","-1","Climate","Kerala","India",FALSE
"2","RT @isowmyatweets: Started listening to Malayalam melody songs and they are calling me to Kerala 
Feeling : atleast I want Kerala climate","2018-07-28 04:35:03","TRUE","3","0","-1","Climate","Kerala","India",FALSE
"3","RT @isowmyatweets: Started listening to Malayalam melody songs and they are calling me to Kerala 
Feeling : atleast I want Kerala climate","2018-07-28 04:34:23","TRUE","3","0","-1","Climate","Kerala","India",TRUE
"4","RT @arikring: WOW!
Tell The Hulk
Transportation = Going Green!
 ","2018-07-27 20:15:27","TRUE","50","0","0","Climate","Kerala","India",FALSE
"5","The land of God, Kerala is believed to be a gift of the Arabian Sea

 photography photographer photos photo  ","2018-07-27 03:29:42","FALSE","0","0","-1","Climate","Kerala","India",FALSE
"6","RT @isowmyatweets: Started listening to Malayalam melody songs and they are calling me to Kerala 
Feeling : atleast I want Kerala climate","2018-07-27 03:04:01","TRUE","3","0","3","Climate","Kerala","India",TRUE
"7","Started listening to Malayalam melody songs and they are calling me to Kerala 
Feeling : atleast I want Kerala climate here.","2018-07-27 03:02:57","FALSE","3","19","1","Climate","Kerala","India",FALSE
"8","RT @SkfcArun: Sema climate in kerala border 
Cloudy sky   ","2018-07-27 02:56:25","TRUE","3","0","1","Climate","Kerala","India",FALSE
"9","RT @SkfcArun: Sema climate in kerala border 
Cloudy sky   ","2018-07-27 01:22:18","TRUE","3","0","0","Climate","Kerala","India",TRUE
"10","RT @arikring: WOW!
Tell The Hulk
Transportation = Going Green!
 ","2018-07-27 01:06:38","TRUE","50","0","1","Climate","Kerala","India",TRUE
"11","Sema climate in kerala border 
Cloudy sky   ","2018-07-27 01:02:10","FALSE","3","6","1","Climate","Kerala","India",FALSE
"12","RT @arikring: WOW!
Tell The Hulk
Transportation = Going Green!
 ","2018-07-26 21:11:44","TRUE","50","0","-2","Climate","Kerala","India",TRUE
"13","RT @arikring: WOW!
Tell The Hulk
Transportation = Going Green!
 ","2018-07-26 20:58:36","TRUE","50","0","1","Climate","Kerala","India",TRUE
"14","RT @arikring: WOW!
Tell The Hulk
Transportation = Going Green!
 ","2018-07-26 20:53:06","TRUE","50","0","0","Climate","Kerala","India",TRUE
"15","RT @arikring: WOW!
Tell The Hulk
Transportation = Going Green!
 ","2018-07-26 20:52:26","TRUE","50","0","1","Climate","Kerala","India",TRUE
"16","RT @arikring: WOW!
Tell The Hulk
Transportation = Going Green!
 ","2018-07-26 20:51:14","TRUE","50","0","1","Climate","Kerala","India",TRUE
"17","Sixty-odd families from Nettara in Wayanad district have been cut-off from the mainland as heavy rains lash the sta  ","2018-07-26 13:50:06","FALSE","0","1","0","Climate","Kerala","India",FALSE
"18","Kerala's climate refugees increase as sea eats into coast  

 ","2018-07-26 03:51:26","FALSE","0","0","1","Climate","Kerala","India",FALSE
"19","@priyabrijesh @DrAbijith @MicrosoftIndia @Nissan @tech_mahindra @vijayanpinarayi @Subytweets @chief_tribal  ","2018-07-25 07:39:24","FALSE","0","5","1","Climate","Kerala","India",FALSE
"20","Haha... TN entire cabinet almost all probably landed r land n Delhi... 
TN climate too hot.....Dont worry Kamal Ha  ","2018-07-24 14:44:46","FALSE","0","2","0","Climate","Kerala","India",FALSE
"21","RT @TrueIndology: This is a myth.There was no Nangeli in history and there was never any breast-tax on ""lower"" caste women in Kerala.

Kera","2018-07-24 09:49:14","TRUE","2713","0","0","Climate","Kerala","India",FALSE
"22","3/ Ayurveda as practiced in Kerala is different from Ayurveda practiced in other parts of India &amp; is in tune w/the  ","2018-07-24 07:08:53","FALSE","0","1","1","Climate","Kerala","India",FALSE
"23","Keralas climate refugees increase as the sea eats into the coast  ","2018-07-23 21:17:28","FALSE","0","0","0","Climate","Kerala","India",FALSE
"24","RT @WaterAgg: More water profiteering in India  ","2018-07-22 22:45:24","TRUE","1","0","1","Climate","Kerala","India",FALSE
"25","RT @WaterAgg: More water profiteering in India  ","2018-07-22 22:20:18","FALSE","0","1","0","Climate","Kerala","India",TRUE
"26","More water profiteering in India  ","2018-07-22 20:44:37","FALSE","1","0","0","Climate","Kerala","India",FALSE
"27","Mumbai, Bhubaneswar, Kerala, Bikaner, Himachal and so on. The way urban areas are flooding are only initial signs o  ","2018-07-22 15:48:35","FALSE","0","1","1","Climate","Kerala","India",FALSE
"28","Before &amp; after photos of our village in Kerala. How climate change is affecting the most vulnerable communities aro  ","2018-07-22 15:27:11","FALSE","0","0","1","Climate","Kerala","India",FALSE
"29","blessed guruvayoor Kerala good people..nice climate   ","2018-07-22 07:44:46","FALSE","0","0","1","Climate","Kerala","India",FALSE
"30","RT @WeatherUpdate18: Kerala Monsoon ceasing. 
After a period of Surplus Monsoon, Kerala weather is going dry from July last week. Vigorous","2018-07-22 06:31:48","TRUE","1","0","1","Climate","Kerala","India",FALSE
"31","Kerala Monsoon ceasing. 
After a period of Surplus Monsoon, Kerala weather is going dry from July last week. Vigoro  ","2018-07-22 05:02:00","FALSE","1","0","1","Climate","Kerala","India",FALSE
"32","climate kerala breeze","2018-07-21 05:20:46","FALSE","0","0","0","Climate","Kerala","India",FALSE
"33"," ","2018-07-20 15:08:54","FALSE","0","0","0","Climate","Kerala","India",FALSE
"34","@HeidiCullen 
In Kerala, India, we have unexpected monsoon rainfall and going through a disaster phase. I believe t  ","2018-07-20 10:26:51","FALSE","0","0","0","Climate","Kerala","India",FALSE
"35","@SouleFacts i even bought a Scotch......it is also raining here in Kerala......super climate to enjoy comedy show....","2018-07-20 07:06:49","FALSE","0","2","0","Climate","Kerala","India",FALSE
"36","RT @iam_yadu333: @MelbourneCity @EtihadAirways You will fell like home at God's own country. Kerala climate is very similar to Australia's.","2018-07-19 13:36:57","TRUE","1","0","1","Climate","Kerala","India",FALSE
