"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-28 03:14:00","TRUE","15","0","-1","Climate","Maharashtra","India",FALSE
"2","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-26 08:28:06","TRUE","15","0","-1","Climate","Maharashtra","India",TRUE
"3","- We are developing climate resilient varieties of crops with an eye to the climate-change induced floods.
- 5000 v  ","2018-07-25 13:51:45","FALSE","0","1","-1","Climate","Maharashtra","India",FALSE
"4","RT @SpwdWastelands: Seven out of the top 10 climate hotspots in India in the Vidarbha region of Maharashtra, says a World Bank study.  ","2018-07-24 15:10:46","TRUE","4","0","0","Climate","Maharashtra","India",FALSE
"5","RT @CMOMaharashtra: Project on Climate Resilient Agriculture (PoCRA), Smart Agriculture @WorldBank Project &amp; Village Social Transformation","2018-07-24 13:21:10","TRUE","84","0","-1","Climate","Maharashtra","India",FALSE
"6","Retweeted CMO Maharashtra (@CMOMaharashtra):

Project on Climate Resilient Agriculture (PoCRA), Smart Agriculture  ","2018-07-24 11:25:30","FALSE","0","1","3","Climate","Maharashtra","India",FALSE
"7","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-24 09:14:57","TRUE","15","0","1","Climate","Maharashtra","India",TRUE
"8","How is the World Bank Group investing for ClimateAction? In India, a $420 million project will help strengthen cl  ","2018-07-24 09:00:14","FALSE","0","2","1","Climate","Maharashtra","India",FALSE
"9","@iFreakSoul @MumbaiPolice @CPMumbaiPolice Thanks sir for giving parkings on footpaths of Mumbai Maharashtra India c  ","2018-07-23 16:57:01","FALSE","0","1","0","Climate","Maharashtra","India",FALSE
"10","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-23 16:37:25","TRUE","15","0","1","Climate","Maharashtra","India",TRUE
"11","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-23 13:18:24","TRUE","15","0","1","Climate","Maharashtra","India",TRUE
"12","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-23 11:57:59","TRUE","15","0","-2","Climate","Maharashtra","India",TRUE
"13","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-23 11:42:44","TRUE","15","0","1","Climate","Maharashtra","India",TRUE
"14","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-23 10:44:55","TRUE","15","0","0","Climate","Maharashtra","India",TRUE
"15","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-23 09:56:51","TRUE","15","0","1","Climate","Maharashtra","India",TRUE
"16","RT @WBG_Climate: How is the World Bank Group investing for ClimateAction? In india, this $420 million project will help strengthen the cl","2018-07-23 09:26:39","TRUE","15","0","1","Climate","Maharashtra","India",TRUE
