"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-29 10:52:41","TRUE","7","0","-1","Climate","Maharashtra","India",FALSE
"2","RT @Eenadu_Marathi:     ,    
 ","2018-07-29 09:43:24","TRUE","1","0","-1","Climate","Maharashtra","India",FALSE
"3","    ,    
 ","2018-07-29 09:25:42","FALSE","1","0","-1","Climate","Maharashtra","India",FALSE
"4","RT @sarvankarthik6: Drive carefully or you may fall in Love .... MumbaiRains 

Happy National Rain Day! NationalRainDay 

DriveSafe Su","2018-07-29 04:08:33","TRUE","4","0","0","Climate","Maharashtra","India",FALSE
"5","RT @sarvankarthik6: Drive carefully or you may fall in Love .... MumbaiRains 

Happy National Rain Day! NationalRainDay 

DriveSafe Su","2018-07-29 04:07:13","TRUE","4","0","-1","Climate","Maharashtra","India",TRUE
"6","RT @sarvankarthik6: Drive carefully or you may fall in Love .... MumbaiRains 

Happy National Rain Day! NationalRainDay 

DriveSafe Su","2018-07-29 04:06:13","TRUE","4","0","3","Climate","Maharashtra","India",TRUE
"7","RT @AGROWON:   ;  
 ","2018-07-29 04:06:01","TRUE","2","0","1","Climate","Maharashtra","India",FALSE
"8","RT @sarvankarthik6: Drive carefully or you may fall in Love .... MumbaiRains 

Happy National Rain Day! NationalRainDay 

DriveSafe Su","2018-07-29 04:04:43","TRUE","4","0","1","Climate","Maharashtra","India",TRUE
"9","Drive carefully or you may fall in Love .... MumbaiRains 

Happy National Rain Day! NationalRainDay 

DriveSafe  ","2018-07-29 04:00:00","FALSE","4","3","0","Climate","Maharashtra","India",FALSE
"10","  ;  
 ","2018-07-29 03:48:57","FALSE","2","2","1","Climate","Maharashtra","India",FALSE
"11","     465  ..! 
Maharashtra  /  Kerala  /  Westbengal  /  ","2018-07-29 03:13:20","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"12","Monsoon in India: 537 killed in rain-related incidents in six states this season, says MHA data; highest toll in Ma  ","2018-07-28 19:55:08","FALSE","0","0","-2","Climate","Maharashtra","India",FALSE
"13","RT @firstpost: Monsoon in India: Several NDRF teams have been deployed countrywide to help with rain relief operations.  ","2018-07-28 19:34:42","TRUE","4","0","1","Climate","Maharashtra","India",FALSE
"14","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-28 18:40:09","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"15","RT @firstpost: Monsoon in India: Several NDRF teams have been deployed countrywide to help with rain relief operations.  ","2018-07-28 17:14:42","TRUE","4","0","1","Climate","Maharashtra","India",TRUE
"16","Monsoon in India: Several NDRF teams have been deployed countrywide to help with rain relief operations.  ","2018-07-28 16:56:40","FALSE","4","5","1","Climate","Maharashtra","India",FALSE
"17","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-28 16:08:39","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"18","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-28 15:36:29","TRUE","7","0","1","Climate","Maharashtra","India",TRUE
"19","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-28 13:43:28","TRUE","7","0","1","Climate","Maharashtra","India",TRUE
"20","MarathaReservation Maharashtra Mumbai mrperfect punekar  rain Hindutva  ","2018-07-28 13:39:50","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"21","RT @AmarUjalaNews:         465   ,      
Rain Monsoon DeathToll W","2018-07-28 13:27:26","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"22","        465   ,      
Rain Monsoon  ","2018-07-28 13:22:43","FALSE","7","27","1","Climate","Maharashtra","India",FALSE
"23","Old guy sowing rice plant bhor ricefield paddyfields sowing stream clouds hills waterfall rain  ","2018-07-28 12:33:36","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"24","6316  27JUL18  Rain Equipment Manufacturer wants ERP Solution (Mumbai/Maharashtra)

More at  ","2018-07-28 10:39:11","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"25","RT @swaradaw:  
  
  
  
  ...
myclick tealovers iphoneclick rain 
maharashtra_ig @itz_","2018-07-28 07:29:51","TRUE","1","0","0","Climate","Maharashtra","India",FALSE
"26","Standing in a rain for almost 4 hrs, Finally I was able to take 2 nice shots of Century's longest LunarEclipse in  ","2018-07-28 06:50:24","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"27","Rain Gods making you smile ... rains rain Rain Rains river River waterfall Waterfall Koyna Konkan  ","2018-07-28 06:31:13","FALSE","0","2","1","Climate","Maharashtra","India",FALSE
"28","Datta Guru Sankul A Project by Gurubal Builders &amp; Developers, Kolhapur Maharashtra. Ready Possession ! Car Parking  ","2018-07-28 04:47:39","FALSE","0","1","1","Climate","Maharashtra","India",FALSE
"29","monsoon break starts in central and northwest india. rain will continue in uttarakhand,uttar pradesh,bihar and  wes  ","2018-07-28 02:52:59","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"30"," ","2018-07-28 01:24:25","FALSE","0","1","1","Climate","Maharashtra","India",FALSE
"31","@YakultIndia ContestAlert Bamboo Umbrella

:People use bamboo water-proofing to save themselves from rain: My memo  ","2018-07-27 16:59:24","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"32","A windy evening in Ratnagiri, Maharashtra, as the clouds decided to gather for another spell. I can never get enoug  ","2018-07-27 13:47:57","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"33","RT @ndmaindia: heavy to very heavy rain at isolated places very likely over West
Madhya   Pradesh and heavy rain   at   isolated   places o","2018-07-27 06:59:48","TRUE","1","0","0","Climate","Maharashtra","India",FALSE
"34","RT @ndmaindia: IMDWarning Heavy to very heavy rain with extremely heavy falls at isolated places very likely over West UttarPradesh, heav","2018-07-27 06:59:41","TRUE","3","0","0","Climate","Maharashtra","India",FALSE
"35","        Rainfall Monsoon
 ","2018-07-27 04:54:36","FALSE","0","3","0","Climate","Maharashtra","India",FALSE
"36","RT @7b7f43e61443497: @shabasarah @marizulca @cc_chicco @malemalefica @Isobg69 @MdAntonieta @EliLeonarda @peac4love @Cesuryorum @Japan_kenpo","2018-07-27 04:40:46","TRUE","58","0","1","Climate","Maharashtra","India",FALSE
"37","August 4-19 Forecast : 
Normal rains over Maharashtra 

August 20-30 Forecast : 
normal rains over Maharashtra ( so  ","2018-07-27 02:36:09","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"38","RT @vhphotoart: Nature at its best during the monsoon in Maharashtra. 
stairwaytoheaven magical maldunge near panvel clicked with a @","2018-07-26 14:13:03","TRUE","1","0","-2","Climate","Maharashtra","India",FALSE
