"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Intermittent rain likely to continue during next 24 hours
 ","2018-07-29 12:30:01","FALSE","0","0","-1","Climate","Punjab","India",FALSE
"2","@anuradha_dighe @Er_958 @ANI how do you hold on when reservoirs are full to capacity, better tell these to Rain god  ","2018-07-29 09:55:28","FALSE","0","0","-1","Climate","Punjab","India",FALSE
"3","RT @ArfaSays_: Domestic has become a formality for PCB. Ongoing Senior Inter-District is severely damaged in Punjab due to Rain. About Lah","2018-07-29 09:50:23","TRUE","6","0","-1","Climate","Punjab","India",FALSE
"4","RT @ArfaSays_: Domestic has become a formality for PCB. Ongoing Senior Inter-District is severely damaged in Punjab due to Rain. About Lah","2018-07-29 08:29:20","TRUE","6","0","0","Climate","Punjab","India",TRUE
"5","        
 ","2018-07-29 08:11:03","FALSE","0","7","-1","Climate","Punjab","India",FALSE
"6","RT @ArfaSays_: Domestic has become a formality for PCB. Ongoing Senior Inter-District is severely damaged in Punjab due to Rain. About Lah","2018-07-29 07:54:03","TRUE","6","0","3","Climate","Punjab","India",TRUE
"7","RT @ArfaSays_: Domestic has become a formality for PCB. Ongoing Senior Inter-District is severely damaged in Punjab due to Rain. About Lah","2018-07-29 07:51:00","TRUE","6","0","1","Climate","Punjab","India",TRUE
"8","Punjab Rain and Tractors  ","2018-07-29 07:42:20","FALSE","0","6","1","Climate","Punjab","India",FALSE
"9","RT @ArfaSays_: Domestic has become a formality for PCB. Ongoing Senior Inter-District is severely damaged in Punjab due to Rain. About Lah","2018-07-29 06:18:09","TRUE","6","0","0","Climate","Punjab","India",TRUE
"10","RT @ArfaSays_: Domestic has become a formality for PCB. Ongoing Senior Inter-District is severely damaged in Punjab due to Rain. About Lah","2018-07-29 06:13:55","TRUE","6","0","1","Climate","Punjab","India",TRUE
"11","Domestic has become a formality for PCB. Ongoing Senior Inter-District is severely damaged in Punjab due to Rain.  ","2018-07-29 06:10:26","FALSE","6","37","1","Climate","Punjab","India",FALSE
"12","rain Punjab photoshot  ","2018-07-29 04:32:30","FALSE","0","0","-2","Climate","Punjab","India",FALSE
"13","RT @Nawaiwaqt_: BreakingNews
       
Punjab Weather Rain PleasantWeather @WeatherPK @pid_gov  ","2018-07-29 04:17:48","TRUE","2","0","1","Climate","Punjab","India",FALSE
"14","BreakingNews
       
Punjab Weather Rain PleasantWeather @WeatherPK  ","2018-07-29 04:15:46","FALSE","2","27","0","Climate","Punjab","India",FALSE
"15","@PunjabiRooh @s_oworld In Punjab I love the rain because it washes my car","2018-07-28 13:14:04","FALSE","0","2","1","Climate","Punjab","India",FALSE
"16","    ,  '    ..  ","2018-07-28 11:41:21","FALSE","0","4","1","Climate","Punjab","India",FALSE
"17","RT @SkymetWeather: Rain in Delhi to reduce; moderate rain in parts of Haryana, Punjab will continue:  ","2018-07-28 11:38:14","TRUE","1","0","0","Climate","Punjab","India",FALSE
"18","Rain in Delhi to reduce; moderate rain in parts of Haryana, Punjab will continue:  ","2018-07-28 10:30:07","FALSE","1","5","1","Climate","Punjab","India",FALSE
"19","MET predicts more rain in Punjab in coming days | 27 July 2018 |92NewsHD  ","2018-07-28 08:51:38","FALSE","0","0","1","Climate","Punjab","India",FALSE
"20","    '  

more at  ","2018-07-28 05:14:07","FALSE","0","0","0","Climate","Punjab","India",FALSE
"21","  ,       48     

 ","2018-07-28 04:50:48","FALSE","0","1","0","Climate","Punjab","India",FALSE
"22","RT @Nawaiwaqt_: BreakingNews
:      
Lahore Rain Weather Punjab @WeatherPK  ","2018-07-28 04:08:17","TRUE","1","0","1","Climate","Punjab","India",FALSE
"23","BreakingNews
:      
Lahore Rain Weather Punjab @WeatherPK  ","2018-07-28 04:03:51","FALSE","1","11","0","Climate","Punjab","India",FALSE
"24","Will be A heavy rain...in punjab at 6:20am  ","2018-07-28 01:20:12","FALSE","0","0","1","Climate","Punjab","India",FALSE
"25","JHANJAR TV NEWS FROM PUNJAB PATHANKOT A CRACK ON THE ROAD LEADING UP TO THE AIRPORT DUE TO RAIN WATE:  ","2018-07-27 18:30:46","FALSE","0","0","0","Climate","Punjab","India",FALSE
"26","Moderate rain forecast for next 36-48 hours in Punjab. PTCNews WeatherForecast  ","2018-07-27 17:55:00","FALSE","0","0","0","Climate","Punjab","India",FALSE
"27","Moderate rain forecast for next 36-48 hours in Punjab. PTCNews   ","2018-07-27 16:01:26","FALSE","0","0","1","Climate","Punjab","India",FALSE
"28","        7   
 ","2018-07-27 14:27:36","FALSE","0","0","1","Climate","Punjab","India",FALSE
"29","        7     ","2018-07-27 14:27:24","FALSE","0","0","1","Climate","Punjab","India",FALSE
"30","RT @Nawaiwaqt_:            
 ","2018-07-27 10:04:32","TRUE","1","0","1","Climate","Punjab","India",FALSE
"31","           
 ","2018-07-27 10:01:42","FALSE","1","13","1","Climate","Punjab","India",FALSE
