"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","      ,     537     ","2018-07-29 07:37:14","FALSE","0","0","-1","Climate","Rajasthan","India",FALSE
"2","RT @SachinPilot: Saddened to learn about the deaths of 22 people in several parts of Rajasthan due to thunderstorm and bad weather. My hear","2018-07-29 05:58:18","TRUE","432","0","-1","Climate","Rajasthan","India",FALSE
"3","RT @SumitFotography: voice of weather !!

SumitPhotography rajasthan jaipur travel weather music SundayMotivation  MonsoonSession ","2018-07-28 18:15:48","TRUE","2","0","-1","Climate","Rajasthan","India",FALSE
"4","RT @SumitFotography: voice of weather !!

SumitPhotography rajasthan jaipur travel weather music SundayMotivation  MonsoonSession ","2018-07-28 18:12:57","TRUE","2","0","0","Climate","Rajasthan","India",TRUE
"5","voice of weather !!

SumitPhotography rajasthan jaipur travel weather music SundayMotivation  ","2018-07-28 17:56:37","FALSE","2","3","-1","Climate","Rajasthan","India",FALSE
"6","RT @SkymetWeather: Monsoon will remain normal over Odisha, Chhattisgarh, and parts of East MadhyaPradesh Haryana, Punjab, Jammu and K","2018-07-28 07:44:15","TRUE","1","0","3","Climate","Rajasthan","India",FALSE
"7","Monsoon will remain normal over Odisha, Chhattisgarh, and parts of East MadhyaPradesh Haryana, Punjab, Jammu  ","2018-07-28 07:30:08","FALSE","1","6","1","Climate","Rajasthan","India",FALSE
"8","RT @SumitFotography: Singing weather !!

SumitPhotography travel jaipur IncredibleIndia indianable SaturdayMotivation monsoon amerf","2018-07-27 22:15:48","TRUE","2","0","1","Climate","Rajasthan","India",FALSE
"9","RT @SumitFotography: Singing weather !!

SumitPhotography travel jaipur IncredibleIndia indianable SaturdayMotivation monsoon amerf","2018-07-27 22:12:55","TRUE","2","0","0","Climate","Rajasthan","India",TRUE
"10","Singing weather !!

SumitPhotography travel jaipur IncredibleIndia indianable SaturdayMotivation monsoon  ","2018-07-27 21:29:28","FALSE","2","0","1","Climate","Rajasthan","India",FALSE
