"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-29 12:18:36","TRUE","439","0","-1","Climate","Rajasthan","India",FALSE
"2","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-29 07:27:42","TRUE","439","0","-1","Climate","Rajasthan","India",TRUE
"3","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-29 04:14:03","TRUE","439","0","-1","Climate","Rajasthan","India",TRUE
"4","RT @ANI: Temperature can go up to 47-50 degree Celsius in parts of Rajasthan. Temperature would by around 45 degree Celsius in Jaipur, in t","2018-07-28 13:29:43","TRUE","48","0","0","Climate","Rajasthan","India",FALSE
"5","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-28 12:04:38","TRUE","439","0","-1","Climate","Rajasthan","India",TRUE
"6","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-28 11:57:18","TRUE","439","0","3","Climate","Rajasthan","India",TRUE
"7","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-28 04:40:56","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"8","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-28 01:43:19","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"9","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-28 01:19:12","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"10","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-28 01:17:27","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"11","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-28 01:15:37","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"12","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-28 00:50:19","TRUE","439","0","-2","Climate","Rajasthan","India",TRUE
"13","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-27 19:38:59","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"14","India There is a reason why Jaisalmer, in Rajasthan, is called the Golden City. It could be for its gold nuanc  ","2018-07-27 19:05:10","FALSE","0","0","0","Climate","Rajasthan","India",FALSE
"15","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-27 16:07:57","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"16","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-27 16:05:52","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"17","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-27 13:44:21","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"18","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-27 08:53:14","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"19","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-27 07:51:12","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"20","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 18:46:42","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"21","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 18:15:10","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"22","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 18:15:05","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"23","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 18:05:18","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"24","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 17:54:43","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"25","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 17:52:28","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"26","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 17:46:55","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"27","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 17:37:32","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"28","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 17:33:38","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"29","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 17:12:48","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"30","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 16:51:35","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"31","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 16:49:52","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"32","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 15:45:01","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"33","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 15:39:37","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"34","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 15:25:56","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"35","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 14:19:21","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"36","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-26 10:56:00","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"37","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-25 21:48:31","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"38","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-25 16:13:43","TRUE","439","0","-2","Climate","Rajasthan","India",TRUE
"39","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-24 19:23:11","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"40","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-24 13:36:37","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"41","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-24 10:46:44","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"42","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-24 08:46:43","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"43","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-24 06:14:32","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"44","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-24 03:03:17","TRUE","439","0","-1","Climate","Rajasthan","India",TRUE
"45","@shetroublemaker Is In Rajasthan Now Really Wonder What Will Be The Temperature There When One Hotness Meets Another Hot Place ","2018-07-23 20:11:22","FALSE","0","0","0","Climate","Rajasthan","India",FALSE
"46","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-23 18:18:41","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"47","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-22 09:53:39","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"48","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-22 09:44:46","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"49","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-22 09:41:31","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"50","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-22 07:13:46","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"51","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-21 15:14:59","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"52","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-21 13:22:52","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"53","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-21 08:50:35","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"54","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-21 08:48:04","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"55","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-21 08:33:44","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"56","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-21 02:28:02","TRUE","439","0","1","Climate","Rajasthan","India",TRUE
"57","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-21 01:47:18","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"58","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-20 18:25:21","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"59","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-20 18:24:58","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"60","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-20 18:13:54","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"61","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-20 18:11:38","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"62","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-20 17:54:23","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"63","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-20 17:51:05","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"64","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-20 17:50:18","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
"65","RT @ajaykumar2697: A very welcome change for the BSF &amp; Army 
Fridge, Electric Kettle &amp; ACs have been Installed at BSF's
observed posts in","2018-07-20 17:37:01","TRUE","439","0","0","Climate","Rajasthan","India",TRUE
