"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","PM MODI GOVERNMENT SHOULD BUILD WIND TURBINE ENERGY PRODUCTION ON DAMAGED HILL AND MOUNTAINS TOP TO STOP STRONG WIN  ","2018-07-29 03:55:27","FALSE","0","0","-1","Climate","Tamil Nadu","India",FALSE
"2","@reachumayun @AnandaVikatan @CMOTamilNadu @OfficeOfOPS Tamil Nadu government should build more check dams to preven  ","2018-07-28 11:52:38","FALSE","0","0","-1","Climate","Tamil Nadu","India",FALSE
"3","     
Tamilnadu | Rain | Chennai
 ","2018-07-27 10:43:57","FALSE","1","2","-1","Climate","Tamil Nadu","India",FALSE
"4","Today's Forecast for Tamil Nadu:

Rain or thundershowers likely in few places over Vellore, TV Malai, Kanchipuram  ","2018-07-27 06:54:40","FALSE","0","3","0","Climate","Tamil Nadu","India",FALSE
"5","  !
rain chennairain
  ","2018-07-26 12:58:12","FALSE","0","0","-1","Climate","Tamil Nadu","India",FALSE
"6","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-26 02:16:58","TRUE","31","0","3","Climate","Tamil Nadu","India",FALSE
"7","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 23:32:53","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"8","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 19:41:28","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"9","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 17:31:39","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"10","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 17:28:09","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"11","RT @vikatan: '    !' -     | Chennai | RainFall |  ","2018-07-25 16:59:31","TRUE","6","0","1","Climate","Tamil Nadu","India",FALSE
"12","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 14:55:50","TRUE","31","0","-2","Climate","Tamil Nadu","India",TRUE
"13","Tamil Nadu was fighting for water so far and when there was heavy rain and water released to TN, water has not been  ","2018-07-25 14:38:03","FALSE","0","0","1","Climate","Tamil Nadu","India",FALSE
"14","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 14:02:30","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"15","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 13:12:11","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"16","RT @vikatan: '    !' -     | Chennai | RainFall |  ","2018-07-25 12:53:20","TRUE","6","0","1","Climate","Tamil Nadu","India",TRUE
"17","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 12:14:41","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"18","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 12:10:04","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"19","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 12:09:44","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"20","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 12:08:20","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"21","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 11:47:54","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"22","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 11:18:13","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"23","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 11:14:01","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"24","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 11:01:44","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"25","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 10:50:56","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"26","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 10:35:15","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"27","    
Karnataka Cauverywater TamilNadu krsdam Water Rain
 ","2018-07-25 10:25:31","FALSE","0","1","1","Climate","Tamil Nadu","India",FALSE
"28","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 10:20:05","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"29","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 09:59:26","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"30","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 09:58:54","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"31","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 09:56:13","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"32","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 09:44:39","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"33","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 08:58:50","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"34","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 08:16:21","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"35","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 07:55:58","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"36","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 07:40:39","TRUE","31","0","1","Climate","Tamil Nadu","India",TRUE
"37","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 07:32:19","TRUE","31","0","0","Climate","Tamil Nadu","India",TRUE
"38","RT @churumuri: Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi to cancel","2018-07-25 07:30:59","TRUE","31","0","-2","Climate","Tamil Nadu","India",TRUE
"39","Is the BJP beginning to feel the chill down South? The prospect of occasional morning rain prompts @narendramodi  ","2018-07-25 07:29:50","FALSE","31","58","0","Climate","Tamil Nadu","India",FALSE
"40","Today's Forecast for Tamil Nadu:

1. Thundershowers likely at few places over South Tamil Nadu.
2. Moderate inten  ","2018-07-25 07:20:38","FALSE","0","7","0","Climate","Tamil Nadu","India",FALSE
"41","RT @indiawater: News this week: All districts but three in Bihar experience drought; Karnataka releases 80,000 cusecs of water to Tamil","2018-07-24 11:14:18","TRUE","1","0","0","Climate","Tamil Nadu","India",FALSE
"42","RT @vikatan: '    !' -     | Chennai | RainFall |  ","2018-07-24 11:07:00","TRUE","6","0","0","Climate","Tamil Nadu","India",TRUE
"43","News this week: All districts but three in Bihar experience drought; Karnataka releases 80,000 cusecs of water t  ","2018-07-24 10:51:54","FALSE","1","2","0","Climate","Tamil Nadu","India",FALSE
"44","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 09:58:25","TRUE","115","0","-1","Climate","Tamil Nadu","India",FALSE
"45","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 05:31:10","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"46","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 05:08:10","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"47","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 04:42:56","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"48","People doing pooja coz the dam is full. This news report shows our dependency on good rain. Sadly, we are collectiv  ","2018-07-24 03:32:06","FALSE","0","0","0","Climate","Tamil Nadu","India",FALSE
"49","@akshaysampathk1 Will Tamil Nadu get good rain or not?","2018-07-24 02:43:36","FALSE","0","0","0","Climate","Tamil Nadu","India",FALSE
"50","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 02:37:59","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"51","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 02:35:08","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"52","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 02:15:20","TRUE","115","0","1","Climate","Tamil Nadu","India",TRUE
"53","RT @vikatan: '    !' -     | Chennai | RainFall |  ","2018-07-24 02:02:51","TRUE","6","0","1","Climate","Tamil Nadu","India",TRUE
"54","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 01:52:54","TRUE","115","0","1","Climate","Tamil Nadu","India",TRUE
"55","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 01:35:17","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"56","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-24 01:27:45","TRUE","115","0","1","Climate","Tamil Nadu","India",TRUE
"57","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-23 22:41:31","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"58","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-23 18:25:30","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"59","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-23 17:51:12","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"60","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-23 17:49:36","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"61","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-23 17:28:29","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"62","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-23 17:17:43","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"63","RT @sumanthraman: Mettur Dam will reach its full level in the next few hours. Rain Gods have saved the day for Tamil Nadu farmers for this","2018-07-23 17:06:29","TRUE","115","0","0","Climate","Tamil Nadu","India",TRUE
"64","RT @vikatan: '    !' -     | Chennai | RainFall |  ","2018-07-23 16:54:05","TRUE","6","0","0","Climate","Tamil Nadu","India",TRUE
