"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Uttar Pradesh: Seventy people killed in rain-related incidents in four days

Read More:  ","2018-07-29 15:08:48","FALSE","0","0","-1","Climate","Uttar Pradesh","India",FALSE
"2","          70   ","2018-07-29 15:06:09","FALSE","0","0","-1","Climate","Uttar Pradesh","India",FALSE
"3","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 14:49:08","TRUE","82","0","-1","Climate","Uttar Pradesh","India",FALSE
"4","As many as 70 people have died and 77  injured in rain-related incidents in Uttar Pradesh since Thursday as heavy r  ","2018-07-29 13:44:44","FALSE","0","3","0","Climate","Uttar Pradesh","India",FALSE
"5","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 13:24:19","TRUE","82","0","-1","Climate","Uttar Pradesh","India",TRUE
"6","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 13:00:28","TRUE","82","0","3","Climate","Uttar Pradesh","India",TRUE
"7","   ,           !
Rain heavyrain 
 ","2018-07-29 12:47:12","FALSE","0","0","1","Climate","Uttar Pradesh","India",FALSE
"8","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 12:42:51","TRUE","82","0","1","Climate","Uttar Pradesh","India",TRUE
"9","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 12:25:36","TRUE","82","0","0","Climate","Uttar Pradesh","India",TRUE
"10","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 12:07:53","TRUE","82","0","1","Climate","Uttar Pradesh","India",TRUE
"11","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 11:59:05","TRUE","82","0","1","Climate","Uttar Pradesh","India",TRUE
"12","RT @SkymetWeather: 29   :  , ,   :  ","2018-07-29 11:55:41","TRUE","1","0","-2","Climate","Uttar Pradesh","India",FALSE
"13","       60    -  ","2018-07-29 11:51:04","FALSE","0","0","1","Climate","Uttar Pradesh","India",FALSE
"14","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 11:51:03","TRUE","82","0","0","Climate","Uttar Pradesh","India",TRUE
"15","RT @JagranNews:            
 ","2018-07-29 11:45:16","TRUE","15","0","1","Climate","Uttar Pradesh","India",FALSE
"16"," ","2018-07-29 11:11:51","FALSE","0","0","1","Climate","Uttar Pradesh","India",FALSE
"17","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 11:07:24","TRUE","82","0","0","Climate","Uttar Pradesh","India",TRUE
"18","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 11:06:47","TRUE","82","0","1","Climate","Uttar Pradesh","India",TRUE
"19","HIGH ALERT!      , UP   7       ","2018-07-29 10:58:56","FALSE","0","0","1","Climate","Uttar Pradesh","India",FALSE
"20","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 10:57:58","TRUE","82","0","0","Climate","Uttar Pradesh","India",TRUE
"21","RT @EconomicTimes: A many as 49 people have lost their lives in rain-related incidents in Uttar Pradesh since Thursday, with Saharanpur acc","2018-07-29 10:55:47","TRUE","7","0","0","Climate","Uttar Pradesh","India",FALSE
"22","RT @PIB_India: MonsoonUpdate: Heavy to very heavy rain at isolated places very likely over East Uttar Pradesh, Bihar, Assam &amp; Meghalaya: @","2018-07-29 10:43:09","TRUE","14","0","1","Climate","Uttar Pradesh","India",FALSE
"23","RT @apnlivehindi:        , 45   ","2018-07-29 10:34:02","TRUE","10","0","0","Climate","Uttar Pradesh","India",FALSE
"24","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 10:26:45","TRUE","82","0","1","Climate","Uttar Pradesh","India",TRUE
"25","RT @ChinaDailyUSA: At least 49 people have been killed in rain-related incidents in the northern Indian state of Uttar Pradesh in the pas","2018-07-29 10:21:36","TRUE","82","0","0","Climate","Uttar Pradesh","India",TRUE
