"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SkymetWeather: Due to cyclonic circulation over central parts of Assam and incursion of moist winds from Bay of Bengal, moderate to he","2018-07-29 14:14:45","TRUE","1","0","-1","Climate","West Bengal","India",FALSE
"2","Due to cyclonic circulation over central parts of Assam and incursion of moist winds from Bay of Bengal, moderate  ","2018-07-29 14:00:20","FALSE","1","5","-1","Climate","West Bengal","India",FALSE
"3","Weather Forecast for July 29: Heavy rain in Bihar, Jharkhand, West Bengal  ","2018-07-29 13:27:00","FALSE","0","1","-1","Climate","West Bengal","India",FALSE
"4","RT @SkymetWeather: WeatherForecast For July 29: Heavy Rain In Bihar, Jharkhand, West Bengal:  ","2018-07-29 11:55:45","TRUE","2","0","0","Climate","West Bengal","India",FALSE
"5","RT @SkymetWeather: WeatherForecast For July 29: Heavy Rain In Bihar, Jharkhand, West Bengal:  ","2018-07-29 10:10:35","TRUE","2","0","-1","Climate","West Bengal","India",TRUE
"6","Weather Forecast for July 29: Heavy rain in Bihar, Jharkhand, West Bengal

 ","2018-07-29 03:54:15","FALSE","0","0","3","Climate","West Bengal","India",FALSE
"7","WeatherForecast For July 29: Heavy Rain In Bihar, Jharkhand, West Bengal:  ","2018-07-29 03:30:14","FALSE","2","4","1","Climate","West Bengal","India",FALSE
"8","RT @Ei_Samay:   ,     
 ","2018-07-28 16:22:39","TRUE","2","0","1","Climate","West Bengal","India",FALSE
"9","RT @Ei_Samay:   ,     
 ","2018-07-28 15:54:04","TRUE","2","0","0","Climate","West Bengal","India",TRUE
"10","  ,     
 ","2018-07-28 15:11:18","FALSE","2","4","1","Climate","West Bengal","India",FALSE
"11","Weather Forecast for July 29: Heavy rain in Bihar, Jharkhand, West Bengal  ","2018-07-28 14:47:15","FALSE","0","0","1","Climate","West Bengal","India",TRUE
"12","Weather Forecast for July 29: Heavy rain in Bihar, Jharkhand, West Bengal - Skymet Weather  ","2018-07-28 13:12:12","FALSE","0","0","-2","Climate","West Bengal","India",FALSE
"13","We expect good rainfall activity in coming days over all the northeastern states along with West Bengal and Sikkim  ","2018-07-28 13:00:07","FALSE","0","14","1","Climate","West Bengal","India",FALSE
"14","experiencing a very bad weather in West Bengal","2018-07-28 11:16:32","FALSE","0","1","0","Climate","West Bengal","India",FALSE
"15",",   !      ,    ","2018-07-27 12:28:57","FALSE","0","0","1","Climate","West Bengal","India",FALSE
"16","RT @SkymetWeather: Fresh low pressure area to bring rains over deficient pockets of WestBengal, Jharkhand, Bihar.  ","2018-07-27 05:54:03","TRUE","2","0","1","Climate","West Bengal","India",FALSE
"17",",   !      ,   
 ","2018-07-27 05:11:46","FALSE","0","0","0","Climate","West Bengal","India",FALSE
"18","RT @SkymetWeather: Fresh low pressure area to bring rains over deficient pockets of WestBengal, Jharkhand, Bihar.  ","2018-07-26 14:43:07","TRUE","2","0","1","Climate","West Bengal","India",TRUE
"19","Fresh low pressure area to bring rains over deficient pockets of WestBengal, Jharkhand, Bihar.  ","2018-07-26 14:30:24","FALSE","2","15","1","Climate","West Bengal","India",FALSE
"20","     !       ","2018-07-26 12:40:18","FALSE","0","0","0","Climate","West Bengal","India",FALSE
"21","     !       ","2018-07-26 09:06:51","FALSE","0","0","0","Climate","West Bengal","India",TRUE
"22","   !            ","2018-07-26 02:25:10","FALSE","0","0","1","Climate","West Bengal","India",FALSE
"23","RT @CHENNAIWEATHER1: Weather forecast July 26,
Heavy rain is likely to occur isolated places over ghat areas of Coimbatore and Nilgiris d","2018-07-25 18:20:47","TRUE","3","0","0","Climate","West Bengal","India",FALSE
"24","RT @CHENNAIWEATHER1: Weather forecast July 26,
Heavy rain is likely to occur isolated places over ghat areas of Coimbatore and Nilgiris d","2018-07-25 18:00:36","TRUE","3","0","1","Climate","West Bengal","India",TRUE
"25","RT @CHENNAIWEATHER1: Weather forecast July 26,
Heavy rain is likely to occur isolated places over ghat areas of Coimbatore and Nilgiris d","2018-07-25 18:00:21","TRUE","3","0","0","Climate","West Bengal","India",TRUE
"26","Weather forecast July 26,
Heavy rain is likely to occur isolated places over ghat areas of Coimbatore and  ","2018-07-25 17:59:29","FALSE","3","1","0","Climate","West Bengal","India",FALSE
"27","RT @SkymetWeather: Good Rainfall In Gangetic WestBengal Result In Rain Deficiency To Reduce.  ","2018-07-25 05:53:36","TRUE","1","0","1","Climate","West Bengal","India",FALSE
"28","Good rainfall in Gangetic West Bengal result in rain deficiency to reduce - Skymet Weather  ","2018-07-24 16:07:57","FALSE","0","0","1","Climate","West Bengal","India",FALSE
"29","Good Rainfall In Gangetic WestBengal Result In Rain Deficiency To Reduce.  ","2018-07-24 15:45:00","FALSE","1","6","1","Climate","West Bengal","India",FALSE
"30","Weather Shyamnagar India: 28C; Haze; Wind: 11 Km/h;   ","2018-07-23 20:28:19","FALSE","0","0","1","Climate","West Bengal","India",FALSE
"31","Weather Shyamnagar India: 28C; Haze; Wind: 11 Km/h;   ","2018-07-23 20:26:08","FALSE","0","0","1","Climate","West Bengal","India",TRUE
"32","Weather Shyamnagar India: 28C; Haze; Wind: 11 Km/h;   ","2018-07-23 20:23:36","FALSE","0","0","0","Climate","West Bengal","India",TRUE
"33","Weather Shyamnagar India: 28C; Haze; Wind: 11 Km/h;   ","2018-07-23 20:21:10","FALSE","0","0","0","Climate","West Bengal","India",TRUE
"34","EISAMAY:        ","2018-07-23 14:27:31","FALSE","0","0","0","Climate","West Bengal","India",FALSE
"35","RT @MahilaCongress: Deepest condolences to the families of those who have lost their lives in the unfortunate severe storms across India, y","2018-07-23 08:32:08","TRUE","130","0","0","Climate","West Bengal","India",FALSE
"36","       ","2018-07-23 06:32:51","FALSE","0","0","1","Climate","West Bengal","India",FALSE
"37","     
 ","2018-07-23 04:48:10","FALSE","0","14","0","Climate","West Bengal","India",FALSE
"38","I liked a @YouTube video  ","2018-07-23 02:51:08","FALSE","0","0","-2","Climate","West Bengal","India",FALSE
"39","  !     ,   
 ","2018-07-23 02:49:30","FALSE","0","0","0","Climate","West Bengal","India",FALSE
"40"," !   , -   
 ","2018-07-22 13:05:13","FALSE","0","0","0","Climate","West Bengal","India",FALSE
"41","RT @parthasri201475:  Depression over North Odisha and adjoining Jharkhand likely to move in WNW direction during next 24 hours.

Very","2018-07-22 12:41:11","TRUE","2","0","0","Climate","West Bengal","India",FALSE
