"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","SAFE wins the first prize of Global Development Awards 2017, at an award ceremony held in New Delhi, in March 2018,  ","2018-07-27 10:14:38","FALSE","0","1","5","Climate","Assam","India",FALSE
"2","RT @Nyksindia: To encourage environmental consciousness, the Club Members , Nehru Yuva Kendra NYKS, Baksa, Assam  undertook plantation act","2018-07-27 02:58:46","TRUE","2","0","1","Climate","Assam","India",FALSE
"3","Global Climate Action Summit: China s Special Representative for Climate Change Affairs Xie Zenhua included as its  ","2018-07-26 06:54:41","FALSE","0","0","0","Climate","Assam","India",FALSE
"4","RT @Indian_Rivers: Amid monsoon; Assam facing HOTTEST SUMMER in 6 decades. 
2 people die, 21 collapsed due to heat stroke as temperature to","2018-07-23 12:41:04","TRUE","6","0","0","Climate","Assam","India",FALSE
"5","RT @Nyksindia: To encourage environmental consciousness, the Club Members , Nehru Yuva Kendra NYKS, Baksa, Assam  undertook plantation act","2018-07-23 10:59:07","TRUE","2","0","1","Climate","Assam","India",TRUE
"6","RT @JamwalNidhi: @Indian_Rivers @ICD_climate @third_pole It is not just Assam, all met subdivisions in northeast facing grim situation. In","2018-07-23 08:53:54","TRUE","2","0","-1","Climate","Assam","India",FALSE
"7","RT @Indian_Rivers: Amid monsoon; Assam facing HOTTEST SUMMER in 6 decades. 
2 people die, 21 collapsed due to heat stroke as temperature to","2018-07-23 08:29:01","TRUE","6","0","0","Climate","Assam","India",TRUE
"8","RT @Indian_Rivers: Amid monsoon; Assam facing HOTTEST SUMMER in 6 decades. 
2 people die, 21 collapsed due to heat stroke as temperature to","2018-07-23 08:15:39","TRUE","6","0","0","Climate","Assam","India",TRUE
"9","RT @JamwalNidhi: @Indian_Rivers @ICD_climate @third_pole It is not just Assam, all met subdivisions in northeast facing grim situation. In","2018-07-23 07:35:12","TRUE","2","0","-1","Climate","Assam","India",TRUE
"10","RT @Indian_Rivers: Amid monsoon; Assam facing HOTTEST SUMMER in 6 decades. 
2 people die, 21 collapsed due to heat stroke as temperature to","2018-07-23 07:35:04","TRUE","6","0","0","Climate","Assam","India",TRUE
"11","@vikramchandra @GargiRawat Assam is recording 40 plus in many towns which were earlier less than 37...climate chang  ","2018-07-23 07:08:49","FALSE","0","0","0","Climate","Assam","India",FALSE
"12","RT @Indian_Rivers: Amid monsoon; Assam facing HOTTEST SUMMER in 6 decades. 
2 people die, 21 collapsed due to heat stroke as temperature to","2018-07-23 06:50:26","TRUE","6","0","0","Climate","Assam","India",TRUE
"13","@Indian_Rivers @ICD_climate @third_pole It is not just Assam, all met subdivisions in northeast facing grim situat  ","2018-07-23 06:45:43","FALSE","2","2","-1","Climate","Assam","India",FALSE
"14","RT @Indian_Rivers: Amid monsoon; Assam facing HOTTEST SUMMER in 6 decades. 
2 people die, 21 collapsed due to heat stroke as temperature to","2018-07-23 06:41:46","TRUE","6","0","0","Climate","Assam","India",TRUE
"15","Amid monsoon; Assam facing HOTTEST SUMMER in 6 decades. 
2 people die, 21 collapsed due to heat stroke as temperatu  ","2018-07-23 06:24:31","FALSE","6","8","0","Climate","Assam","India",FALSE
"16","To encourage environmental consciousness, the Club Members , Nehru Yuva Kendra NYKS, Baksa, Assam  undertook plant  ","2018-07-23 05:23:35","FALSE","2","1","1","Climate","Assam","India",FALSE
"17","Assam adopts water management practices to keep pace with climate change - The Sentinel  ","2018-07-19 17:05:34","FALSE","0","0","0","Climate","Assam","India",FALSE
"18","Assam adopts water management practices to keep pace with climate change  ","2018-07-18 11:41:14","FALSE","0","0","0","Climate","Assam","India",FALSE
"19","Assam adopts water management practices to keep pace with climate change  ","2018-07-18 11:36:26","FALSE","0","0","0","Climate","Assam","India",TRUE
