"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @anuragojha71:            461    , ,   ,","2018-07-29 16:28:06","TRUE","4","0","-1","Crime Rate","Delhi","India",FALSE
"2","RT @anuragojha71:            461    , ,   ,","2018-07-29 16:14:54","TRUE","4","0","-1","Crime Rate","Delhi","India",TRUE
"3","@aajtak If CCTV is to be installed for safety and crime control then delhi police should take a call. But if u want  ","2018-07-29 16:10:58","FALSE","0","0","-1","Crime Rate","Delhi","India",FALSE
"4","RT @aajtak:              .        .    ","2018-07-29 16:05:37","TRUE","4","0","0","Crime Rate","Delhi","India",FALSE
"5","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 15:53:34","TRUE","137","0","-1","Crime Rate","Delhi","India",FALSE
"6","RT @aajtak:              .        .    ","2018-07-29 15:47:28","TRUE","4","0","3","Crime Rate","Delhi","India",TRUE
"7","RT @aajtak:              .        .    ","2018-07-29 15:47:09","TRUE","4","0","1","Crime Rate","Delhi","India",TRUE
"8","             .        .    ","2018-07-29 15:45:55","FALSE","4","56","1","Crime Rate","Delhi","India",FALSE
"9","RT @anuragojha71:            461    , ,   ,","2018-07-29 15:33:43","TRUE","4","0","0","Crime Rate","Delhi","India",TRUE
"10","RT @anuragojha71:            461    , ,   ,","2018-07-29 15:29:24","TRUE","4","0","1","Crime Rate","Delhi","India",TRUE
"11","  ..
  ","2018-07-29 15:25:40","FALSE","0","2","1","Crime Rate","Delhi","India",FALSE
"12","           461    , ,    ","2018-07-29 15:25:14","FALSE","4","0","-2","Crime Rate","Delhi","India",FALSE
"13","Again!
Woman raped by head priest inside temple near Delhi  ","2018-07-29 15:10:03","FALSE","0","0","1","Crime Rate","Delhi","India",FALSE
"14","india is a crime infested country. new delhi is the capital of criminals. desi thullas (cops) are useless. They tak  ","2018-07-29 14:27:54","FALSE","0","0","0","Crime Rate","Delhi","India",FALSE
"15","@ArvindKejriwal Tere Maa baap ne tujhe kuch nahi sikhaya,galat parvarish ke karan teri soch aaj aisi he.. You are a  ","2018-07-29 13:56:03","FALSE","0","0","1","Crime Rate","Delhi","India",FALSE
"16","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 13:03:38","TRUE","137","0","1","Crime Rate","Delhi","India",TRUE
"17","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 12:46:12","TRUE","137","0","0","Crime Rate","Delhi","India",TRUE
"18","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 12:12:55","TRUE","137","0","1","Crime Rate","Delhi","India",TRUE
"19","I am very sorry to say that our national capital Delhi has been turned into crime capital by shameful corruption in  ","2018-07-29 12:07:53","FALSE","0","0","1","Crime Rate","Delhi","India",FALSE
"20","Woman raped by head priest inside temple near Delhi  ","2018-07-29 11:28:43","FALSE","0","0","0","Crime Rate","Delhi","India",FALSE
"21","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 11:27:21","TRUE","137","0","0","Crime Rate","Delhi","India",TRUE
"22","RT @TimesNow: Upon investigation accused told police that he opened fire and accidentally shot the victim just to prove that the gun he w","2018-07-29 11:19:50","TRUE","3","0","1","Crime Rate","Delhi","India",FALSE
"23","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 11:19:29","TRUE","137","0","0","Crime Rate","Delhi","India",TRUE
"24","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 11:17:12","TRUE","137","0","1","Crime Rate","Delhi","India",TRUE
"25","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 11:10:15","TRUE","137","0","0","Crime Rate","Delhi","India",TRUE
"26","RT @MirrorNow: In a tragic incident being reported from Delhi, a minor was sexually assaulted multiple times by many men. Moreover, she was","2018-07-29 10:51:44","TRUE","2","0","0","Crime Rate","Delhi","India",FALSE
"27","@lakshikamarya @saxenadocile_ @TwitterIndia @SheraLovesHina @DCP_CCC_Delhi @TwitterSupport @ShilpaShindeTM  ","2018-07-29 10:39:27","FALSE","0","1","1","Crime Rate","Delhi","India",FALSE
"28","RT @MirrorNow: In a tragic incident being reported from Delhi, a minor was sexually assaulted multiple times by many men. Moreover, she was","2018-07-29 10:22:05","TRUE","2","0","1","Crime Rate","Delhi","India",TRUE
"29","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 10:21:31","TRUE","137","0","1","Crime Rate","Delhi","India",TRUE
"30","Delhi :                ","2018-07-29 10:12:53","FALSE","0","0","1","Crime Rate","Delhi","India",FALSE
"31","In a tragic incident being reported from Delhi, a minor was sexually assaulted multiple times by many men. Moreover  ","2018-07-29 10:00:00","FALSE","2","3","1","Crime Rate","Delhi","India",FALSE
"32","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 09:30:38","TRUE","137","0","0","Crime Rate","Delhi","India",TRUE
"33","RT @DeccanChronicle: Woman raped by head priest inside temple near Delhi  ","2018-07-29 09:18:44","TRUE","1","0","0","Crime Rate","Delhi","India",FALSE
"34","Woman raped by head priest inside temple near Delhi  ","2018-07-29 09:17:58","FALSE","1","0","0","Crime Rate","Delhi","India",TRUE
"35","RT @meenalj189: No hungama on such gruesome crime? @NitishKumar a person from ur cabinet is involved,An NGO is involved.What is happening ?","2018-07-29 09:14:54","TRUE","137","0","0","Crime Rate","Delhi","India",TRUE
"36","RT @domparisangh:         ?    8               ","2018-07-29 09:13:09","TRUE","17","0","1","Crime Rate","Delhi","India",FALSE
