"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:44:35","TRUE","1994","0","-5","Crime Rate","Haryana","India",FALSE
"2","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:44:31","TRUE","1994","0","-5","Crime Rate","Haryana","India",TRUE
"3","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:44:25","TRUE","1994","0","-5","Crime Rate","Haryana","India",TRUE
"4","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:44:03","TRUE","1994","0","-5","Crime Rate","Haryana","India",TRUE
"5","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:43:25","TRUE","1994","0","-5","Crime Rate","Haryana","India",TRUE
"6","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:43:23","TRUE","1994","0","-5","Crime Rate","Haryana","India",TRUE
"7","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:42:51","TRUE","1994","0","-5","Crime Rate","Haryana","India",TRUE
"8","@peta @PetaIndia @watsbuzzin @Ruvs @ThokoSinghSidhu @PallaviDeo5 @incredibleindia 
 ","2018-07-28 19:42:28","FALSE","0","0","0","Crime Rate","Haryana","India",FALSE
"9","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:40:06","TRUE","1994","0","-5","Crime Rate","Haryana","India",TRUE
"10","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:39:16","TRUE","1994","0","-5","Crime Rate","Haryana","India",TRUE
"11","RT @Imamofpeace: Can @peta please condemn this atrocious crime against this poor goat? And acknowledge the real problem behind it without","2018-07-28 19:36:38","TRUE","1994","0","-5","Crime Rate","Haryana","India",TRUE
