"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","fake police: Karnataka State News - Latest Karnataka News Headlines - Vijaya Karnataka  ","2018-07-28 18:13:07","FALSE","0","0","-1","Crime Rate","Karnataka","India",FALSE
"2","RT @gopalkeshri: Bengaluru turning into a crime city... day light robbery, gun culture and now kidnap &amp; rape. Biggest gift to Karnataka by","2018-07-28 17:02:35","TRUE","21","0","-2","Crime Rate","Karnataka","India",FALSE
"3","RT @gopalkeshri: Bengaluru turning into a crime city... day light robbery, gun culture and now kidnap &amp; rape. Biggest gift to Karnataka by","2018-07-28 16:54:35","TRUE","21","0","-2","Crime Rate","Karnataka","India",TRUE
"4","RT @gopalkeshri: Bengaluru turning into a crime city... day light robbery, gun culture and now kidnap &amp; rape. Biggest gift to Karnataka by","2018-07-28 15:54:22","TRUE","21","0","-2","Crime Rate","Karnataka","India",TRUE
"5","RT @gopalkeshri: Bengaluru turning into a crime city... day light robbery, gun culture and now kidnap &amp; rape. Biggest gift to Karnataka by","2018-07-28 11:44:26","TRUE","21","0","-2","Crime Rate","Karnataka","India",TRUE
"6","RT @gopalkeshri: Bengaluru turning into a crime city... day light robbery, gun culture and now kidnap &amp; rape. Biggest gift to Karnataka by","2018-07-28 10:36:54","TRUE","21","0","-2","Crime Rate","Karnataka","India",TRUE
"7","RT @gopalkeshri: Bengaluru turning into a crime city... day light robbery, gun culture and now kidnap &amp; rape. Biggest gift to Karnataka by","2018-07-28 10:01:55","TRUE","21","0","-2","Crime Rate","Karnataka","India",TRUE
"8","RT @gopalkeshri: Bengaluru turning into a crime city... day light robbery, gun culture and now kidnap &amp; rape. Biggest gift to Karnataka by","2018-07-28 08:08:09","TRUE","21","0","-2","Crime Rate","Karnataka","India",TRUE
"9","RT @gopalkeshri: Bengaluru turning into a crime city... day light robbery, gun culture and now kidnap &amp; rape. Biggest gift to Karnataka by","2018-07-28 05:17:49","TRUE","21","0","-2","Crime Rate","Karnataka","India",TRUE
"10","RT @gopalkeshri: Bengaluru turning into a crime city... day light robbery, gun culture and now kidnap &amp; rape. Biggest gift to Karnataka by","2018-07-28 05:15:42","TRUE","21","0","-2","Crime Rate","Karnataka","India",TRUE
