"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Hanan, a BSc student of Kerala earns her livelihood by selling fishes.Was it crime to do any kind of menial works to tiding over poverty ?","2018-07-29 08:21:55","FALSE","0","0","-1","Crime Rate","Kerala","India",FALSE
"2","RT @nitin33K: Being innocent is crime in INDIA
Only warning for FakeCases
BreakIndiaPolitics 
genderbiasedlaws 
@rsprasad @PMOIndia
NOT","2018-07-29 07:29:23","TRUE","37","0","-1","Crime Rate","Kerala","India",FALSE
"3","RT @nitin33K: Being innocent is crime in INDIA
Only warning for FakeCases
BreakIndiaPolitics 
genderbiasedlaws 
@rsprasad @PMOIndia
NOT","2018-07-29 06:51:19","TRUE","37","0","-1","Crime Rate","Kerala","India",TRUE
"4","RT @nitin33K: Being innocent is crime in INDIA
Only warning for FakeCases
BreakIndiaPolitics 
genderbiasedlaws 
@rsprasad @PMOIndia
NOT","2018-07-29 06:24:25","TRUE","37","0","0","Crime Rate","Kerala","India",TRUE
"5","RT @nitin33K: Being innocent is crime in INDIA
Only warning for FakeCases
BreakIndiaPolitics 
genderbiasedlaws 
@rsprasad @PMOIndia
NOT","2018-07-29 05:20:11","TRUE","37","0","-1","Crime Rate","Kerala","India",TRUE
"6","RT @nitin33K: Being innocent is crime in INDIA
Only warning for FakeCases
BreakIndiaPolitics 
genderbiasedlaws 
@rsprasad @PMOIndia
NOT","2018-07-29 04:59:54","TRUE","37","0","3","Crime Rate","Kerala","India",TRUE
"7","RT @nitin33K: Being innocent is crime in INDIA
Only warning for FakeCases
BreakIndiaPolitics 
genderbiasedlaws 
@rsprasad @PMOIndia
NOT","2018-07-29 04:55:52","TRUE","37","0","1","Crime Rate","Kerala","India",TRUE
"8","DulquerSalmaan In Kuruppu as Sukumarakuruppu, the most infamous criminal in the most mysterious crime in the his  ","2018-07-29 04:24:35","FALSE","0","16","1","Crime Rate","Kerala","India",FALSE
"9","@sarvatrra @waglenikhil When  a crime occurs, searching the religion behind it is condemnale.. in Hanan's case both  ","2018-07-29 04:10:23","FALSE","0","0","0","Crime Rate","Kerala","India",FALSE
"10","@Shahid10942600 @Uppolice @ramitsha @upcoprahul @igrangealld Sure. Try telling that to police handles in Kerala, As  ","2018-07-29 03:48:49","FALSE","0","0","1","Crime Rate","Kerala","India",FALSE
"11","@ChurchCandace Here is one..it seems like a organised crime, gang of criminals spread across world 

 ","2018-07-29 03:42:28","FALSE","0","0","1","Crime Rate","Kerala","India",FALSE
"12","RT @CyberdomeKerala: We are extremely happy and privileged to announce that Kerala Police Cyberdome has been awarded the Special Jury Award","2018-07-29 03:20:09","TRUE","4","0","-2","Crime Rate","Kerala","India",FALSE
